"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID","FILENAME_TX","LINE_NUMBER_CT"
"MIN197904170",5,0,"hollj102",1,0,1,"goltd101",1,38,"1979MIN.EVA.regular.sub.csv",2
"MIN197904170",5,0,"redfp101",1,0,1,"hollj102",1,40,"1979MIN.EVA.regular.sub.csv",3
"MIN197904180",2,0,"hollj102",1,0,1,"ericr101",1,20,"1979MIN.EVA.regular.sub.csv",4
"MIN197904180",3,1,"milld101",0,0,1,"knapc101",1,37,"1979MIN.EVA.regular.sub.csv",5
"MIN197904180",6,0,"serug101",1,0,1,"hollj102",1,54,"1979MIN.EVA.regular.sub.csv",6
"MIN197904180",6,1,"cleam001",0,0,1,"milld101",1,62,"1979MIN.EVA.regular.sub.csv",7
"MIN197904180",9,0,"marsm101",1,0,1,"serug101",1,87,"1979MIN.EVA.regular.sub.csv",8
"MIN197904190",2,0,"riveb101",1,7,9,"sofir101",9,9,"1979MIN.EVA.regular.sub.csv",9
"MIN197904190",8,0,"castj001",1,1,5,"cubbm101",5,61,"1979MIN.EVA.regular.sub.csv",10
"MIN197904190",8,0,"marsm101",1,0,1,"hartp001",1,61,"1979MIN.EVA.regular.sub.csv",11
"MIN197904190",8,1,"larod101",0,0,1,"aased001",1,68,"1979MIN.EVA.regular.sub.csv",12
"MIN197904190",8,1,"moraj001",1,9,11,"wilfr001",4,71,"1979MIN.EVA.regular.sub.csv",13
"MIN197904190",8,1,"randb101",1,9,12,"moraj001",11,72,"1979MIN.EVA.regular.sub.csv",14
"MIN197904190",9,0,"randb101",1,9,4,"randb101",12,73,"1979MIN.EVA.regular.sub.csv",15
"MIN197904190",9,1,"kusic101",1,5,11,"adamg101",10,80,"1979MIN.EVA.regular.sub.csv",16
"MIN197904210",4,1,"montj101",0,0,1,"bannf001",1,39,"1979MIN.EVA.regular.sub.csv",17
"MIN197904210",7,0,"redfp101",1,0,1,"koosj001",1,60,"1979MIN.EVA.regular.sub.csv",18
"MIN197904210",8,0,"marsm101",1,0,1,"redfp101",1,66,"1979MIN.EVA.regular.sub.csv",19
"MIN197904210",8,0,"simpj101",0,7,11,"valeb102",7,66,"1979MIN.EVA.regular.sub.csv",20
"MIN197904210",8,0,"meyed001",0,8,11,"cox-l101",2,67,"1979MIN.EVA.regular.sub.csv",21
"MIN197904210",8,0,"halej101",0,9,11,"mendm101",6,68,"1979MIN.EVA.regular.sub.csv",22
"MIN197904210",8,1,"simpj101",0,7,7,"simpj101",11,70,"1979MIN.EVA.regular.sub.csv",23
"MIN197904210",8,1,"stinb101",0,8,2,"meyed001",11,70,"1979MIN.EVA.regular.sub.csv",24
"MIN197904210",8,1,"milbl001",0,9,6,"halej101",11,70,"1979MIN.EVA.regular.sub.csv",25
"MIN197904210",9,0,"pacit001",0,2,12,"steib001",5,74,"1979MIN.EVA.regular.sub.csv",26
"MIN197904220",8,0,"castj001",1,1,5,"cubbm101",5,56,"1979MIN.EVA.regular.sub.csv",27
"MIN197904220",8,1,"riveb101",1,5,12,"adamg101",9,65,"1979MIN.EVA.regular.sub.csv",28
"MIN197904220",9,0,"riveb101",1,5,9,"riveb101",12,67,"1979MIN.EVA.regular.sub.csv",29
"MIN197905030",2,0,"bretk101",1,0,1,"ericr101",1,18,"1979MIN.EVA.regular.sub.csv",30
"MIN197905030",5,1,"burns101",0,0,1,"younk101",1,48,"1979MIN.EVA.regular.sub.csv",31
"MIN197905030",5,1,"riveb101",1,4,11,"adamg101",9,49,"1979MIN.EVA.regular.sub.csv",32
"MIN197905030",6,0,"riveb101",1,4,9,"riveb101",11,51,"1979MIN.EVA.regular.sub.csv",33
"MIN197905030",6,0,"rodra101",0,8,11,"mankp101",5,52,"1979MIN.EVA.regular.sub.csv",34
"MIN197905030",6,1,"rodra101",0,8,5,"rodra101",11,54,"1979MIN.EVA.regular.sub.csv",35
"MIN197905030",6,1,"hillj101",0,0,1,"burns101",1,57,"1979MIN.EVA.regular.sub.csv",36
"MIN197905030",6,1,"randb101",1,9,11,"wilfr001",4,57,"1979MIN.EVA.regular.sub.csv",37
"MIN197905030",6,1,"castj001",1,1,11,"cubbm101",5,58,"1979MIN.EVA.regular.sub.csv",38
"MIN197905030",6,1,"moraj001",1,4,11,"riveb101",9,61,"1979MIN.EVA.regular.sub.csv",39
"MIN197905030",7,0,"castj001",1,1,5,"castj001",11,62,"1979MIN.EVA.regular.sub.csv",40
"MIN197905030",7,0,"edwad101",1,4,9,"moraj001",11,62,"1979MIN.EVA.regular.sub.csv",41
"MIN197905030",7,0,"randb101",1,9,4,"randb101",11,62,"1979MIN.EVA.regular.sub.csv",42
"MIN197905030",7,0,"marsm101",1,0,1,"bretk101",1,67,"1979MIN.EVA.regular.sub.csv",43
"MIN197905030",7,0,"jonel001",0,5,12,"staur001",10,67,"1979MIN.EVA.regular.sub.csv",44
"MIN197905030",7,1,"billj101",0,0,1,"hillj101",1,73,"1979MIN.EVA.regular.sub.csv",45
"MIN197905030",8,1,"corct001",0,1,9,"leflr101",8,79,"1979MIN.EVA.regular.sub.csv",46
"MIN197905030",8,1,"moraj101",0,7,8,"moraj101",9,79,"1979MIN.EVA.regular.sub.csv",47
"MIN197905030",8,1,"sofir101",1,4,11,"edwad101",9,81,"1979MIN.EVA.regular.sub.csv",48
"MIN197905030",9,0,"sofir101",1,4,9,"sofir101",11,85,"1979MIN.EVA.regular.sub.csv",49
"MIN197905030",9,0,"wagnm001",0,4,12,"thomj001",3,87,"1979MIN.EVA.regular.sub.csv",50
"MIN197905040",5,0,"serug101",1,0,1,"redfp101",1,45,"1979MIN.EVA.regular.sub.csv",51
"MIN197905040",6,0,"bacsm101",1,0,1,"serug101",1,59,"1979MIN.EVA.regular.sub.csv",52
"MIN197905040",6,1,"lopea001",0,0,1,"wilcm001",1,60,"1979MIN.EVA.regular.sub.csv",53
"MIN197905040",7,0,"corct001",0,9,11,"trama001",6,67,"1979MIN.EVA.regular.sub.csv",54
"MIN197905040",7,0,"marsm101",1,0,1,"bacsm101",1,67,"1979MIN.EVA.regular.sub.csv",55
"MIN197905040",7,1,"wagnm001",0,9,6,"corct001",11,69,"1979MIN.EVA.regular.sub.csv",56
"MIN197905040",8,0,"riveb101",1,4,9,"adamg101",9,73,"1979MIN.EVA.regular.sub.csv",57
"MIN197905040",8,1,"hillj101",0,0,1,"lopea001",1,79,"1979MIN.EVA.regular.sub.csv",58
"MIN197905040",8,1,"castj001",1,1,11,"cubbm101",5,79,"1979MIN.EVA.regular.sub.csv",59
"MIN197905040",9,0,"castj001",1,1,5,"castj001",11,82,"1979MIN.EVA.regular.sub.csv",60
"MIN197905040",9,0,"wockj001",0,9,11,"wagnm001",6,85,"1979MIN.EVA.regular.sub.csv",61
"MIN197905050",5,0,"bacsm101",1,0,1,"hartp001",1,43,"1979MIN.EVA.regular.sub.csv",62
"MIN197905050",5,1,"burns101",0,0,1,"fidrm101",1,46,"1979MIN.EVA.regular.sub.csv",63
"MIN197905050",5,1,"riveb101",1,9,11,"sofir101",9,46,"1979MIN.EVA.regular.sub.csv",64
"MIN197905050",5,1,"castj001",1,1,11,"cubbm101",5,47,"1979MIN.EVA.regular.sub.csv",65
"MIN197905050",6,0,"riveb101",1,9,9,"riveb101",11,50,"1979MIN.EVA.regular.sub.csv",66
"MIN197905050",6,0,"castj001",1,1,5,"castj001",11,50,"1979MIN.EVA.regular.sub.csv",67
"MIN197905050",6,1,"moraj001",1,4,11,"adamg101",10,54,"1979MIN.EVA.regular.sub.csv",68
"MIN197905050",6,1,"randb101",1,7,11,"wilfr001",4,57,"1979MIN.EVA.regular.sub.csv",69
"MIN197905050",6,1,"billj101",0,0,1,"burns101",1,58,"1979MIN.EVA.regular.sub.csv",70
"MIN197905050",7,0,"randb101",1,7,4,"randb101",11,60,"1979MIN.EVA.regular.sub.csv",71
"MIN197905050",8,0,"bretk101",1,0,1,"bacsm101",1,72,"1979MIN.EVA.regular.sub.csv",72
"MIN197905050",8,1,"jonel001",0,1,8,"leflr101",8,76,"1979MIN.EVA.regular.sub.csv",73
"MIN197905050",8,1,"rodra101",0,7,5,"mankp101",5,76,"1979MIN.EVA.regular.sub.csv",74
"MIN197905050",9,0,"serug101",1,0,1,"bretk101",1,80,"1979MIN.EVA.regular.sub.csv",75
"MIN197905060",4,1,"lopea001",0,0,1,"bakes101",1,31,"1979MIN.EVA.regular.sub.csv",76
"MIN197905060",7,1,"hillj101",0,0,1,"lopea001",1,61,"1979MIN.EVA.regular.sub.csv",77
"MIN197905060",7,1,"castj001",1,5,11,"cubbm101",5,61,"1979MIN.EVA.regular.sub.csv",78
"MIN197905060",7,1,"riveb101",1,7,11,"wilfr001",4,63,"1979MIN.EVA.regular.sub.csv",79
"MIN197905060",8,0,"riveb101",1,7,9,"riveb101",11,64,"1979MIN.EVA.regular.sub.csv",80
"MIN197905060",8,0,"castj001",1,5,5,"castj001",11,64,"1979MIN.EVA.regular.sub.csv",81
"MIN197905060",8,0,"randb101",1,9,4,"sofir101",9,64,"1979MIN.EVA.regular.sub.csv",82
"MIN197905060",8,0,"marsm101",1,0,1,"koosj001",1,66,"1979MIN.EVA.regular.sub.csv",83
"MIN197905060",8,0,"whitl001",0,7,11,"rodra101",5,67,"1979MIN.EVA.regular.sub.csv",84
"MIN197905060",8,1,"whitl001",0,7,4,"whitl001",11,68,"1979MIN.EVA.regular.sub.csv",85
"MIN197905060",8,1,"mankp101",0,8,5,"wagnm001",4,68,"1979MIN.EVA.regular.sub.csv",86
"MIN197905070",3,1,"jeffj101",0,0,1,"huffp001",1,27,"1979MIN.EVA.regular.sub.csv",87
"MIN197905070",7,1,"murpt101",0,0,1,"jeffj101",1,60,"1979MIN.EVA.regular.sub.csv",88
"MIN197905070",8,0,"castj001",1,5,5,"cubbm101",5,63,"1979MIN.EVA.regular.sub.csv",89
"MIN197905080",5,1,"willm101",0,0,1,"undet001",1,48,"1979MIN.EVA.regular.sub.csv",90
"MIN197905080",6,0,"redfp101",1,0,1,"ericr101",1,52,"1979MIN.EVA.regular.sub.csv",91
"MIN197905080",6,0,"bretk101",1,0,1,"redfp101",1,53,"1979MIN.EVA.regular.sub.csv",92
"MIN197905080",6,0,"mckad101",0,8,11,"johnt102",4,54,"1979MIN.EVA.regular.sub.csv",93
"MIN197905080",6,0,"bacsm101",1,0,1,"bretk101",1,57,"1979MIN.EVA.regular.sub.csv",94
"MIN197905080",6,1,"mckad101",0,8,4,"mckad101",11,58,"1979MIN.EVA.regular.sub.csv",95
"MIN197905080",6,1,"edwad101",1,9,12,"borgg101",2,59,"1979MIN.EVA.regular.sub.csv",96
"MIN197905080",6,1,"kusic101",1,3,12,"jackr002",3,62,"1979MIN.EVA.regular.sub.csv",97
"MIN197905080",6,1,"freid101",0,0,1,"willm101",1,62,"1979MIN.EVA.regular.sub.csv",98
"MIN197905080",6,1,"adamg101",1,4,11,"moraj001",10,62,"1979MIN.EVA.regular.sub.csv",99
"MIN197905080",6,1,"wyneb001",1,5,11,"norww101",8,63,"1979MIN.EVA.regular.sub.csv",100
"MIN197905080",6,1,"moorb101",0,0,1,"freid101",1,68,"1979MIN.EVA.regular.sub.csv",101
"MIN197905080",7,0,"edwad101",1,9,8,"edwad101",12,69,"1979MIN.EVA.regular.sub.csv",102
"MIN197905080",7,0,"wyneb001",1,5,2,"wyneb001",11,69,"1979MIN.EVA.regular.sub.csv",103
"MIN197905080",7,0,"kusic101",1,3,3,"kusic101",12,69,"1979MIN.EVA.regular.sub.csv",104
"MIN197905080",7,1,"wilfr001",1,7,12,"castj001",5,80,"1979MIN.EVA.regular.sub.csv",105
"MIN197905080",7,1,"murpt101",0,0,1,"moorb101",1,80,"1979MIN.EVA.regular.sub.csv",106
"MIN197905080",7,1,"gomel101",0,6,4,"veleo101",9,80,"1979MIN.EVA.regular.sub.csv",107
"MIN197905080",7,1,"mckad101",0,8,5,"mckad101",4,80,"1979MIN.EVA.regular.sub.csv",108
"MIN197905080",7,1,"bailb001",0,2,9,"bailb001",5,80,"1979MIN.EVA.regular.sub.csv",109
"MIN197905080",8,0,"wilfr001",1,7,4,"wilfr001",12,82,"1979MIN.EVA.regular.sub.csv",110
"MIN197905080",8,0,"randb101",1,1,5,"randb101",4,82,"1979MIN.EVA.regular.sub.csv",111
"MIN197905110",8,0,"marsm101",1,0,1,"hartp001",1,55,"1979MIN.EVA.regular.sub.csv",112
"MIN197905110",8,1,"mongs001",0,0,1,"wiser101",1,62,"1979MIN.EVA.regular.sub.csv",113
"MIN197905110",9,0,"cox-t101",0,5,11,"harrt001",5,64,"1979MIN.EVA.regular.sub.csv",114
"MIN197905110",9,1,"cox-t101",0,5,5,"cox-t101",11,66,"1979MIN.EVA.regular.sub.csv",115
"MIN197905110",9,1,"kusic101",1,4,11,"adamg101",10,66,"1979MIN.EVA.regular.sub.csv",116
"MIN197905110",9,1,"castj001",1,5,11,"cubbm101",5,67,"1979MIN.EVA.regular.sub.csv",117
"MIN197905110",9,1,"randb101",1,7,11,"wilfr001",4,69,"1979MIN.EVA.regular.sub.csv",118
"MIN197905120",6,1,"spild001",0,0,1,"paxtm101",1,49,"1979MIN.EVA.regular.sub.csv",119
"MIN197905120",6,1,"mongs001",0,0,1,"spild001",1,54,"1979MIN.EVA.regular.sub.csv",120
"MIN197905120",7,1,"barkl001",0,0,1,"mongs001",1,58,"1979MIN.EVA.regular.sub.csv",121
"MIN197905120",8,0,"marsm101",1,0,1,"koosj001",1,64,"1979MIN.EVA.regular.sub.csv",122
"MIN197905120",9,0,"riveb101",1,8,9,"sofir101",9,70,"1979MIN.EVA.regular.sub.csv",123
"MIN197905120",9,0,"norrj101",0,7,11,"cox-t101",7,70,"1979MIN.EVA.regular.sub.csv",124
"MIN197905130",7,1,"mongs001",0,0,1,"garlw101",1,56,"1979MIN.EVA.regular.sub.csv",125
"MIN197905130",8,1,"moraj001",1,4,11,"adamg101",10,64,"1979MIN.EVA.regular.sub.csv",126
"MIN197905130",9,1,"riveb101",1,6,11,"wilfr001",4,69,"1979MIN.EVA.regular.sub.csv",127
"MIN197905130",9,1,"randb101",1,8,11,"sofir101",9,71,"1979MIN.EVA.regular.sub.csv",128
"MIN197905130",9,1,"cruzv101",0,0,1,"mongs001",1,72,"1979MIN.EVA.regular.sub.csv",129
"MIN197905130",9,1,"cubbm101",1,9,11,"castj001",5,72,"1979MIN.EVA.regular.sub.csv",130
"MIN197905140",6,0,"bacsm101",1,0,1,"ericr101",1,49,"1979MIN.EVA.regular.sub.csv",131
"MIN197905140",6,0,"willb101",0,9,11,"normn001",6,51,"1979MIN.EVA.regular.sub.csv",132
"MIN197905140",6,1,"willb101",0,9,4,"willb101",11,54,"1979MIN.EVA.regular.sub.csv",133
"MIN197905140",6,1,"blanl101",0,8,6,"blanl101",4,54,"1979MIN.EVA.regular.sub.csv",134
"MIN197905140",6,1,"rajsd101",0,0,1,"jenkf101",1,58,"1979MIN.EVA.regular.sub.csv",135
"MIN197905140",7,0,"riveb101",1,9,9,"sofir101",9,60,"1979MIN.EVA.regular.sub.csv",136
"MIN197905140",7,0,"bretk101",1,0,1,"bacsm101",1,60,"1979MIN.EVA.regular.sub.csv",137
"MIN197905140",7,0,"ellij101",0,5,11,"putnp001",3,62,"1979MIN.EVA.regular.sub.csv",138
"MIN197905140",7,0,"robed102",0,5,12,"ellij101",11,63,"1979MIN.EVA.regular.sub.csv",139
"MIN197905140",7,0,"sampb001",0,6,11,"jorgm001",8,63,"1979MIN.EVA.regular.sub.csv",140
"MIN197905140",7,0,"marsm101",1,0,1,"bretk101",1,63,"1979MIN.EVA.regular.sub.csv",141
"MIN197905140",7,1,"robed102",0,5,3,"robed102",12,66,"1979MIN.EVA.regular.sub.csv",142
"MIN197905140",7,1,"grubj001",0,1,8,"grubj001",7,66,"1979MIN.EVA.regular.sub.csv",143
"MIN197905140",7,1,"sampb001",0,6,7,"sampb001",11,66,"1979MIN.EVA.regular.sub.csv",144
"MIN197905140",7,1,"moraj001",1,4,11,"adamg101",10,66,"1979MIN.EVA.regular.sub.csv",145
"MIN197905140",7,1,"kernj001",0,0,1,"rajsd101",1,66,"1979MIN.EVA.regular.sub.csv",146
"MIN197905150",6,0,"bacsm101",1,0,1,"redfp101",1,48,"1979MIN.EVA.regular.sub.csv",147
"MIN197905150",6,1,"normn001",0,9,6,"blanl101",6,51,"1979MIN.EVA.regular.sub.csv",148
"MIN197905150",6,1,"rajsd101",0,0,1,"ellid101",1,54,"1979MIN.EVA.regular.sub.csv",149
"MIN197905150",6,1,"lyles101",0,0,1,"rajsd101",1,55,"1979MIN.EVA.regular.sub.csv",150
"MIN197905150",6,1,"moraj001",1,6,11,"adamg101",10,57,"1979MIN.EVA.regular.sub.csv",151
"MIN197905150",6,1,"randb101",1,7,11,"wilfr001",4,58,"1979MIN.EVA.regular.sub.csv",152
"MIN197905150",7,0,"randb101",1,7,4,"randb101",11,59,"1979MIN.EVA.regular.sub.csv",153
"MIN197905150",8,0,"marsm101",1,0,1,"bacsm101",1,73,"1979MIN.EVA.regular.sub.csv",154
"MIN197905150",8,0,"ellij101",0,8,11,"willb101",4,74,"1979MIN.EVA.regular.sub.csv",155
"MIN197905150",8,1,"chald101",0,8,4,"ellij101",11,75,"1979MIN.EVA.regular.sub.csv",156
"MIN197905150",8,1,"edwad101",1,5,12,"wyneb001",2,77,"1979MIN.EVA.regular.sub.csv",157
"MIN197905150",9,0,"borgg101",1,5,2,"edwad101",12,79,"1979MIN.EVA.regular.sub.csv",158
"MIN197905150",9,0,"bretk101",1,0,1,"marsm101",1,79,"1979MIN.EVA.regular.sub.csv",159
"MIN197905150",9,1,"kernj001",0,0,1,"lyles101",1,85,"1979MIN.EVA.regular.sub.csv",160
"MIN197905160",6,0,"serug101",1,0,1,"hartp001",1,47,"1979MIN.EVA.regular.sub.csv",161
"MIN197905160",6,0,"normn001",0,9,12,"blanl101",6,49,"1979MIN.EVA.regular.sub.csv",162
"MIN197905160",6,1,"normn001",0,9,6,"normn001",12,52,"1979MIN.EVA.regular.sub.csv",163
"MIN197905160",7,1,"kernj001",0,0,1,"matlj101",1,63,"1979MIN.EVA.regular.sub.csv",164
"MIN197905160",7,1,"wilfr001",1,1,11,"randb101",4,63,"1979MIN.EVA.regular.sub.csv",165
"MIN197905160",8,0,"wilfr001",1,1,4,"wilfr001",11,67,"1979MIN.EVA.regular.sub.csv",166
"MIN197905160",8,1,"adamg101",1,8,11,"riveb101",9,73,"1979MIN.EVA.regular.sub.csv",167
"MIN197905160",9,0,"adamg101",1,8,9,"adamg101",11,74,"1979MIN.EVA.regular.sub.csv",168
"MIN197905250",7,0,"marsm101",1,0,1,"ericr101",1,56,"1979MIN.EVA.regular.sub.csv",169
"MIN197905250",7,0,"wyneb001",1,9,2,"borgg101",2,56,"1979MIN.EVA.regular.sub.csv",170
"MIN197905250",8,0,"braus001",0,8,11,"washu001",4,69,"1979MIN.EVA.regular.sub.csv",171
"MIN197905250",8,0,"patef101",0,8,12,"braus001",11,70,"1979MIN.EVA.regular.sub.csv",172
"MIN197905250",8,0,"poqut101",0,9,11,"cruzt001",6,70,"1979MIN.EVA.regular.sub.csv",173
"MIN197905250",8,1,"patef101",0,8,6,"patef101",12,71,"1979MIN.EVA.regular.sub.csv",174
"MIN197905250",8,1,"terrj101",0,9,4,"poqut101",11,71,"1979MIN.EVA.regular.sub.csv",175
"MIN197905250",9,1,"edwad101",1,9,12,"wyneb001",2,82,"1979MIN.EVA.regular.sub.csv",176
"MIN197905250",9,1,"hraba101",0,0,1,"splip001",1,84,"1979MIN.EVA.regular.sub.csv",177
"MIN197905260",7,0,"bretk101",1,0,1,"hartp001",1,56,"1979MIN.EVA.regular.sub.csv",178
"MIN197905260",7,1,"gural001",0,0,1,"galer001",1,60,"1979MIN.EVA.regular.sub.csv",179
"MIN197905260",7,1,"kusic101",1,4,11,"adamg101",7,63,"1979MIN.EVA.regular.sub.csv",180
"MIN197905260",8,0,"edwad101",1,4,7,"kusic101",11,64,"1979MIN.EVA.regular.sub.csv",181
"MIN197905260",8,0,"zdebj101",0,5,11,"lacop101",3,66,"1979MIN.EVA.regular.sub.csv",182
"MIN197905260",8,1,"wathj001",0,5,3,"zdebj101",11,67,"1979MIN.EVA.regular.sub.csv",183
"MIN197905260",8,1,"norww101",1,6,11,"cubbm101",10,68,"1979MIN.EVA.regular.sub.csv",184
"MIN197905260",8,1,"moraj001",1,8,11,"wilfr001",4,70,"1979MIN.EVA.regular.sub.csv",185
"MIN197905260",8,1,"martr001",0,0,1,"gural001",1,71,"1979MIN.EVA.regular.sub.csv",186
"MIN197905260",8,1,"randb101",1,8,12,"moraj001",11,71,"1979MIN.EVA.regular.sub.csv",187
"MIN197905260",9,0,"randb101",1,8,4,"randb101",12,72,"1979MIN.EVA.regular.sub.csv",188
"MIN197905260",9,0,"marsm101",1,0,1,"bretk101",1,76,"1979MIN.EVA.regular.sub.csv",189
"MIN197905260",9,1,"hraba101",0,0,1,"martr001",1,79,"1979MIN.EVA.regular.sub.csv",190
"MIN197905270",9,1,"edwad101",1,5,12,"adamg101",7,67,"1979MIN.EVA.regular.sub.csv",191
"MIN197905280",3,1,"norrm101",0,0,1,"johnj001",1,26,"1979MIN.EVA.regular.sub.csv",192
"MIN197905280",6,1,"heavd101",0,0,1,"norrm101",1,53,"1979MIN.EVA.regular.sub.csv",193
"MIN197905280",6,1,"adamg101",1,1,11,"riveb101",7,54,"1979MIN.EVA.regular.sub.csv",194
"MIN197905280",6,1,"wilfr001",1,2,11,"randb101",4,55,"1979MIN.EVA.regular.sub.csv",195
"MIN197905280",7,0,"adamg101",1,1,7,"adamg101",11,58,"1979MIN.EVA.regular.sub.csv",196
"MIN197905280",7,0,"wilfr001",1,2,4,"wilfr001",11,58,"1979MIN.EVA.regular.sub.csv",197
"MIN197905280",7,0,"marsm101",1,0,1,"goltd101",1,58,"1979MIN.EVA.regular.sub.csv",198
"MIN197905280",7,1,"laceb001",0,0,1,"heavd101",1,65,"1979MIN.EVA.regular.sub.csv",199
"MIN197905280",7,1,"moraj001",1,1,11,"adamg101",7,69,"1979MIN.EVA.regular.sub.csv",200
"MIN197905280",7,1,"edwad101",1,1,12,"moraj001",11,71,"1979MIN.EVA.regular.sub.csv",201
"MIN197905280",7,1,"toddj102",0,0,1,"laceb001",1,72,"1979MIN.EVA.regular.sub.csv",202
"MIN197905280",8,0,"edwad101",1,1,7,"edwad101",12,74,"1979MIN.EVA.regular.sub.csv",203
"MIN197905280",8,1,"bryad102",0,1,7,"murpd002",8,78,"1979MIN.EVA.regular.sub.csv",204
"MIN197905280",8,1,"murrl101",0,2,8,"murrl101",9,78,"1979MIN.EVA.regular.sub.csv",205
"MIN197905280",8,1,"burkg101",0,7,9,"burkg101",7,78,"1979MIN.EVA.regular.sub.csv",206
"MIN197905300",4,1,"ramim101",0,8,4,"edwam101",4,33,"1979MIN.EVA.regular.sub.csv",207
"MIN197905300",5,1,"johnj001",0,0,1,"keoum001",1,46,"1979MIN.EVA.regular.sub.csv",208
"MIN197905300",5,1,"moraj001",1,5,11,"adamg101",7,46,"1979MIN.EVA.regular.sub.csv",209
"MIN197905300",6,0,"riveb101",1,5,7,"moraj001",11,47,"1979MIN.EVA.regular.sub.csv",210
"MIN197905300",6,1,"randb101",1,7,11,"wilfr001",4,51,"1979MIN.EVA.regular.sub.csv",211
"MIN197905300",7,0,"randb101",1,7,4,"randb101",11,53,"1979MIN.EVA.regular.sub.csv",212
"MIN197905300",7,0,"marsm101",1,0,1,"ericr101",1,56,"1979MIN.EVA.regular.sub.csv",213
"MIN197905300",9,1,"toddj102",0,0,1,"johnj001",1,76,"1979MIN.EVA.regular.sub.csv",214
"MIN197905300",9,1,"norww101",1,9,12,"kusic101",10,77,"1979MIN.EVA.regular.sub.csv",215
"MIN197905300",9,1,"laceb001",0,0,1,"toddj102",1,77,"1979MIN.EVA.regular.sub.csv",216
"MIN197905310",1,1,"hamid101",0,0,1,"langr001",1,6,"1979MIN.EVA.regular.sub.csv",217
"MIN197905310",1,1,"riveb101",1,5,11,"adamg101",7,9,"1979MIN.EVA.regular.sub.csv",218
"MIN197905310",2,0,"riveb101",1,5,7,"riveb101",11,11,"1979MIN.EVA.regular.sub.csv",219
"MIN197905310",3,1,"norrm101",0,0,1,"hamid101",1,31,"1979MIN.EVA.regular.sub.csv",220
"MIN197905310",6,0,"edwad101",1,4,8,"landk001",8,60,"1979MIN.EVA.regular.sub.csv",221
"MIN197905310",8,1,"toddj102",0,0,1,"norrm101",1,77,"1979MIN.EVA.regular.sub.csv",222
"MIN197906010",8,1,"moraj001",1,8,11,"castj001",5,68,"1979MIN.EVA.regular.sub.csv",223
"MIN197906010",9,0,"randb101",1,8,5,"moraj001",11,69,"1979MIN.EVA.regular.sub.csv",224
"MIN197906010",9,1,"campb001",0,0,1,"stanb001",1,75,"1979MIN.EVA.regular.sub.csv",225
"MIN197906020",5,1,"hassa001",0,0,1,"rainc001",1,43,"1979MIN.EVA.regular.sub.csv",226
"MIN197906020",5,1,"moraj001",1,5,11,"adamg101",10,44,"1979MIN.EVA.regular.sub.csv",227
"MIN197906020",5,1,"burgt001",0,0,1,"hassa001",1,49,"1979MIN.EVA.regular.sub.csv",228
"MIN197906020",7,0,"brohj101",0,9,11,"alleg001",2,59,"1979MIN.EVA.regular.sub.csv",229
"MIN197906020",7,1,"oberm001",0,9,2,"brohj101",11,61,"1979MIN.EVA.regular.sub.csv",230
"MIN197906030",4,0,"bacsm101",1,0,1,"zahng001",1,24,"1979MIN.EVA.regular.sub.csv",231
"MIN197906030",7,0,"redfp101",1,0,1,"bacsm101",1,50,"1979MIN.EVA.regular.sub.csv",232
"MIN197906030",7,0,"bretk101",1,0,1,"redfp101",1,54,"1979MIN.EVA.regular.sub.csv",233
"MIN197906030",7,0,"serug101",1,0,1,"bretk101",1,58,"1979MIN.EVA.regular.sub.csv",234
"MIN197906030",7,1,"campb001",0,0,1,"renks101",1,59,"1979MIN.EVA.regular.sub.csv",235
"MIN197906120",8,1,"davir001",0,0,1,"guidr001",1,59,"1979MIN.EVA.regular.sub.csv",236
"MIN197906120",8,1,"wilfr001",1,1,11,"randb101",4,60,"1979MIN.EVA.regular.sub.csv",237
"MIN197906120",9,0,"wilfr001",1,1,4,"wilfr001",11,62,"1979MIN.EVA.regular.sub.csv",238
"MIN197906120",9,0,"marsm101",1,0,1,"koosj001",1,67,"1979MIN.EVA.regular.sub.csv",239
"MIN197906120",9,1,"benij001",0,8,7,"whitr101",7,70,"1979MIN.EVA.regular.sub.csv",240
"MIN197906120",9,1,"adamg101",1,4,11,"moraj001",10,71,"1979MIN.EVA.regular.sub.csv",241
"MIN197906120",9,1,"poweh101",1,5,11,"riveb101",9,72,"1979MIN.EVA.regular.sub.csv",242
"MIN197906130",5,0,"redfp101",1,0,1,"goltd101",1,43,"1979MIN.EVA.regular.sub.csv",243
"MIN197906130",5,1,"burrr001",0,0,1,"beatj001",1,55,"1979MIN.EVA.regular.sub.csv",244
"MIN197906130",5,1,"edwad101",1,9,11,"riveb101",7,55,"1979MIN.EVA.regular.sub.csv",245
"MIN197906130",6,0,"edwad101",1,9,7,"edwad101",11,56,"1979MIN.EVA.regular.sub.csv",246
"MIN197906130",7,1,"narrj001",0,3,2,"munst101",2,69,"1979MIN.EVA.regular.sub.csv",247
"MIN197906130",7,1,"johnj002",0,5,9,"pinil001",9,69,"1979MIN.EVA.regular.sub.csv",248
"MIN197906130",7,1,"kaatj101",0,0,1,"burrr001",1,73,"1979MIN.EVA.regular.sub.csv",249
