"GAME_ID","GAME_DT","GAME_CT","GAME_DY","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","AWAY_START_PIT_ID","HOME_START_PIT_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","BASE3_UMP_ID","LF_UMP_ID","RF_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","TRANSLATOR_RECORD_ID","INPUTTER_RECORD_ID","INPUT_RECORD_TS","EDIT_RECORD_TS","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","INN_CT","AWAY_SCORE_CT","HOME_SCORE_CT","AWAY_HITS_CT","HOME_HITS_CT","AWAY_ERR_CT","HOME_ERR_CT","AWAY_LOB_CT","HOME_LOB_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID","GWRBI_BAT_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD","AWAY_FINISH_PIT_ID","HOME_FINISH_PIT_ID","AWAY_TEAM_LEAGUE_ID","HOME_TEAM_LEAGUE_ID","AWAY_TEAM_GAME_CT","HOME_TEAM_GAME_CT","OUTS_CT","COMPLETION_TX","FORFEIT_TX","PROTEST_TX","AWAY_LINE_TX","HOME_LINE_TX","AWAY_AB_CT","AWAY_2B_CT","AWAY_3B_CT","AWAY_HR_CT","AWAY_BI_CT","AWAY_SH_CT","AWAY_SF_CT","AWAY_HP_CT","AWAY_BB_CT","AWAY_IBB_CT","AWAY_SO_CT","AWAY_SB_CT","AWAY_CS_CT","AWAY_GDP_CT","AWAY_XI_CT","AWAY_PITCHER_CT","AWAY_ER_CT","AWAY_TER_CT","AWAY_WP_CT","AWAY_BK_CT","AWAY_PO_CT","AWAY_A_CT","AWAY_PB_CT","AWAY_DP_CT","AWAY_TP_CT","HOME_AB_CT","HOME_2B_CT","HOME_3B_CT","HOME_HR_CT","HOME_BI_CT","HOME_SH_CT","HOME_SF_CT","HOME_HP_CT","HOME_BB_CT","HOME_IBB_CT","HOME_SO_CT","HOME_SB_CT","HOME_CS_CT","HOME_GDP_CT","HOME_XI_CT","HOME_PITCHER_CT","HOME_ER_CT","HOME_TER_CT","HOME_WP_CT","HOME_BK_CT","HOME_PO_CT","HOME_A_CT","HOME_PB_CT","HOME_DP_CT","HOME_TP_CT","UMP_HOME_NAME_TX","UMP_1B_NAME_TX","UMP_2B_NAME_TX","UMP_3B_NAME_TX","UMP_LF_NAME_TX","UMP_RF_NAME_TX","AWAY_MANAGER_ID","AWAY_MANAGER_NAME_TX","HOME_MANAGER_ID","HOME_MANAGER_NAME_TX","WIN_PIT_NAME_TX","LOSE_PIT_NAME_TX","SAVE_PIT_NAME_TX","GOAHEAD_RBI_ID","GOAHEAD_RBI_NAME_TX","AWAY_LINEUP1_BAT_NAME_TX","AWAY_LINEUP2_BAT_NAME_TX","AWAY_LINEUP3_BAT_NAME_TX","AWAY_LINEUP4_BAT_NAME_TX","AWAY_LINEUP5_BAT_NAME_TX","AWAY_LINEUP6_BAT_NAME_TX","AWAY_LINEUP7_BAT_NAME_TX","AWAY_LINEUP8_BAT_NAME_TX","AWAY_LINEUP9_BAT_NAME_TX","HOME_LINEUP1_BAT_NAME_TX","HOME_LINEUP2_BAT_NAME_TX","HOME_LINEUP3_BAT_NAME_TX","HOME_LINEUP4_BAT_NAME_TX","HOME_LINEUP5_BAT_NAME_TX","HOME_LINEUP6_BAT_NAME_TX","HOME_LINEUP7_BAT_NAME_TX","HOME_LINEUP8_BAT_NAME_TX","HOME_LINEUP9_BAT_NAME_TX","ADD_INFO_TX","ACQ_INFO_TX","FILENAME_TX","LINE_NUMBER_CT"
"BSN191904230","19190423",0,"Wednesday",0,"F","D","BRO","BSN","BOS08","grimb101","filld101","klemb901","emslb101","(none)","(none)","","",10000,"73","Ron Fisher","Ron Fisher","2002/06/21 12:29PM","",1,0,0,0,-1,0,0,0,0,9,6,1,6,5,4,4,4,12,"grimb101","filld101","","","olsoi101",6,"magel101",4,"grift102",9,"wheaz101",7,"myerh102",8,"konee101",3,"malol101",5,"millo103",2,"grimb101",1,"kellj102",7,"herzb101",4,"power101",9,"smitr108",5,"riggj101",8,"holkw101",3,"marar101",6,"wilsa102",2,"filld101",1,"","ragap101","","",,,54,,,,010000005,000000001,33,2,0,0,6,2,0,0,2,0,3,0,1,0,0,1,1,1,0,1,27,12,0,0,0,34,1,0,0,1,1,0,0,5,0,7,4,1,0,0,3,5,5,0,0,27,12,0,0,0,,,,,,,,,,,"Burleigh Grimes","Dana Fillingim","(none)","konee101","Ed Konetchy","Ivy Olson","Lee Magee","Tommy Griffith","Zach Wheat","Hi Myers","Ed Konetchy","Lew Malone","Otto Miller","Burleigh Grimes","Joe Kelly","Buck Herzog","Ray Powell","Red Smith","Joe Riggert","Walter Holke","Rabbit Maranville","Art Wilson","Dana Fillingim",,,"1919BSN.EVN.regular.game.csv",2
"BSN191904280","19190428",0,"Monday",0,"F","D","NY1","BSN","BOS08","causr101","rudod101","riglc901","morac102","(none)","(none)","","",1500,"73,109","Ron Fisher, Mark Pankin","Ron Fisher, Mark Pankin","2002/01/03 6:26AM","",1,0,0,0,-1,0,0,0,0,9,5,4,8,11,1,4,9,11,"causr101","rudod101","bentr102","","burng101",7,"younr101",9,"chash101",3,"doyll101",4,"kaufb101",8,"zimmh101",5,"sicke101",6,"mccal102",2,"causr101",1,"kellj102",7,"herzb101",4,"power101",9,"smitr108",5,"riggj101",8,"holkw101",3,"marar101",6,"wilsa102",2,"rudod101",1,"bentr102","","","",,,54,,,,002001020,000100003,35,1,1,0,4,2,0,1,3,1,4,3,1,0,0,2,4,4,0,0,26,13,0,1,0,35,0,0,0,4,1,1,1,4,0,3,0,0,1,0,1,1,1,0,0,27,11,0,1,0,,,,,,,,,,,"Red Causey","Dick Rudolph","Rube Benton","","(none)","George Burns","Ross Youngs","Hal Chase","Larry Doyle","Benny Kauff","Heinie Zimmerman","Ed Sicking","Lew McCarty","Red Causey","Joe Kelly","Buck Herzog","Ray Powell","Red Smith","Joe Riggert","Walter Holke","Rabbit Maranville","Art Wilson","Dick Rudolph",,,"1919BSN.EVN.regular.game.csv",3
"BSN191904300","19190430",0,"Wednesday",0,"F","D","NY1","BSN","BOS08","smitg104","nehfa101","riglc901","morac102","(none)","(none)","","",1500,"73,96,71","Ron Fisher/Smith","Ron Fisher/Smith","2002/01/03 3:48PM","",1,0,0,0,-1,0,0,0,0,10,5,2,8,10,2,1,7,12,"causr101","nortj102","","","burng101",7,"younr101",9,"chash101",3,"doyll101",4,"kaufb101",8,"zimmh101",5,"sicke101",6,"mccal102",2,"smitg104",1,"kellj102",7,"herzb101",4,"power101",9,"smitr108",5,"riggj101",8,"holkw101",3,"marar101",6,"wilsa102",2,"nehfa101",1,"causr101","nortj102","","",,,60,,,,0000001013,0100001000,35,1,2,0,5,0,2,0,5,0,7,1,2,0,0,3,2,2,1,0,26,14,1,2,0,39,0,0,0,2,1,0,0,4,0,2,3,1,1,0,2,2,2,0,0,29,10,0,0,0,,,,,,,,,,,"Red Causey","Jake Northrop","(none)","kingl103","Lee King","George Burns","Ross Youngs","Hal Chase","Larry Doyle","Benny Kauff","Heinie Zimmerman","Ed Sicking","Lew McCarty","George Smith","Joe Kelly","Buck Herzog","Ray Powell","Red Smith","Joe Riggert","Walter Holke","Rabbit Maranville","Art Wilson","Art Nehf",,,"1919BSN.EVN.regular.game.csv",4
"BSN191905170","19190517",0,"Saturday",0,"F","D","PIT","BSN","BOS08","evanb102","keatr101","klemb901","emslb101","(none)","(none)","","",3000,"137","","DWV","","",1,0,0,0,-1,0,0,2,0,10,2,3,9,8,0,2,9,4,"keatr101","evanb102","","","bigbc101",8,"terrz101",6,"stenc101",9,"cutsg101",4,"mollf101",3,"boect101",5,"zitzb101",7,"schmw102",2,"evanb102",1,"marar101",6,"herzb101",4,"power101",9,"riggj101",8,"holkw101",3,"smitr108",5,"wilsa102",2,"kellj102",7,"keatr101",1,"","","","",,,59,,,,0001100000,0100001001,38,1,1,0,2,1,0,0,2,0,4,3,1,1,0,1,3,3,0,0,29,16,0,0,0,33,2,0,0,3,2,0,0,1,0,3,1,2,0,0,1,2,2,0,0,30,17,1,1,0,,,,,,,,,,,"Ray Keating","Bill Evans","(none)","keatr101","Ray Keating","Carson Bigbee","Zeb Terry","Casey Stengel","George Cutshaw","Fritz Mollwitz","Tony Boeckel","Billy Zitzmann","Walter Schmidt","Bill Evans","Rabbit Maranville","Buck Herzog","Ray Powell","Joe Riggert","Walter Holke","Red Smith","Art Wilson","Joe Kelly","Ray Keating",,,"1919BSN.EVN.regular.game.csv",5
"BSN191905190","19190519",0,"Monday",0,"F","D","PIT","BSN","BOS08","adamb104","nehfa101","klemb901","emslb101","(none)","(none)","","",2000,"137","","DWV","","",1,0,0,0,-1,0,0,0,0,9,1,2,5,5,1,1,7,5,"nehfa101","adamb104","","","bigbc101",8,"terrz101",6,"stenc101",9,"cutsg101",4,"mollf101",3,"boect101",5,"zitzb101",7,"sweej102",2,"adamb104",1,"marar101",6,"herzb101",4,"power101",9,"riggj101",8,"cruiw101",7,"holkw101",3,"smitr108",5,"wilsa102",2,"nehfa101",1,"millf102","","","",,,51,,,,001000000,01001000x,32,0,1,0,1,1,0,0,2,0,6,2,0,0,0,2,1,1,0,0,24,13,0,0,0,28,0,1,0,1,2,0,0,1,0,2,0,0,0,0,1,1,1,0,0,27,11,1,0,0,,,,,,,,,,,"Art Nehf","Babe Adams","(none)","nehfa101","Art Nehf","Carson Bigbee","Zeb Terry","Casey Stengel","George Cutshaw","Fritz Mollwitz","Tony Boeckel","Billy Zitzmann","Jeff Sweeney","Babe Adams","Rabbit Maranville","Buck Herzog","Ray Powell","Joe Riggert","Walton Cruise","Walter Holke","Red Smith","Art Wilson","Art Nehf",,,"1919BSN.EVN.regular.game.csv",6
"BSN191905200","19190520",0,"Tuesday",0,"F","D","PIT","BSN","BOS08","hamie101","rudod101","klemb901","emslb101","(none)","(none)","","",0,"137","","DWV","","",1,0,0,0,-1,0,0,0,0,9,3,2,5,10,2,2,4,7,"hamie101","rudod101","","","bigbc101",8,"terrz101",6,"stenc101",9,"cutsg101",4,"saiev101",3,"boect101",5,"lee-c101",7,"sweej102",2,"hamie101",1,"marar101",6,"herzb101",4,"power101",9,"riggj101",8,"kellj102",7,"holkw101",3,"smitr108",5,"wilsa102",2,"rudod101",1,"","","","",,,54,,,,200001000,000200000,29,1,0,0,3,3,1,0,1,0,3,1,1,0,0,1,2,2,0,0,27,15,1,2,0,35,1,1,0,2,1,0,0,0,0,3,2,0,1,0,1,3,3,1,0,27,17,0,0,0,,,,,,,,,,,"Earl Hamilton","Dick Rudolph","(none)","boect101","Tony Boeckel","Carson Bigbee","Zeb Terry","Casey Stengel","George Cutshaw","Vic Saier","Tony Boeckel","Cliff Lee","Jeff Sweeney","Earl Hamilton","Rabbit Maranville","Buck Herzog","Ray Powell","Joe Riggert","Joe Kelly","Walter Holke","Red Smith","Art Wilson","Dick Rudolph",,,"1919BSN.EVN.regular.game.csv",7
"BSN191905210","19190521",0,"Wednesday",0,"F","D","PIT","BSN","BOS08","coopw101","ragap101","klemb901","emslb101","(none)","(none)","","",1000,"137","","DWV","","",1,0,0,0,-1,0,3,2,0,9,4,2,6,7,1,2,4,6,"coopw101","nortj102","","","bigbc101",8,"terrz101",6,"stenc101",9,"cutsg101",4,"saiev101",3,"boect101",5,"lee-c101",7,"sweej102",2,"coopw101",1,"marar101",6,"herzb101",4,"power101",9,"riggj101",8,"cruiw101",7,"holkw101",3,"smitr108",5,"wilsa102",2,"ragap101",1,"","filld101","","",,,54,,,,200200000,011000000,31,1,0,0,4,2,0,0,2,0,5,0,1,1,0,1,2,2,0,0,27,12,0,1,0,32,2,0,0,2,1,0,1,1,0,5,1,1,0,0,3,4,4,1,0,27,14,1,1,0,,,,,,,,,,,"Wilbur Cooper","Jake Northrop","(none)","boect101","Tony Boeckel","Carson Bigbee","Zeb Terry","Casey Stengel","George Cutshaw","Vic Saier","Tony Boeckel","Cliff Lee","Jeff Sweeney","Wilbur Cooper","Rabbit Maranville","Buck Herzog","Ray Powell","Joe Riggert","Walton Cruise","Walter Holke","Red Smith","Art Wilson","Pat Ragan",,,"1919BSN.EVN.regular.game.csv",8
"BSN191905230","19190523",0,"Friday",0,"F","D","CIN","BSN","BOS08","luqud101","keatr101","riglc901","morac102","(none)","(none)","","",0,"487","Cliff Blau","Cliff Blau","2015/04/19 8:44AM","",1,0,0,0,-1,0,1,1,117,9,10,4,15,9,1,1,7,6,"luqud101","keatr101","","","rathm101",4,"nealg101",7,"grohh101",5,"rouse101",8,"kopfl101",6,"daubj101",3,"cuetm101",9,"wingi101",2,"luqud101",1,"marar101",6,"herzb101",4,"power101",9,"riggj101",8,"cruiw101",7,"holkw101",3,"smitr108",5,"wilsa102",2,"keatr101",1,"","mcquh101","","",,,54,,,,050310010,000111010,36,3,0,0,10,3,0,0,5,0,1,1,2,0,0,1,3,3,0,0,27,11,0,0,0,35,1,1,1,4,0,1,0,1,0,5,3,0,0,0,3,10,10,0,0,27,17,1,1,0,,,,,,,,,,,"Dolf Luque","Ray Keating","(none)","rathm101","Morrie Rath","Morrie Rath","Greasy Neale","Heinie Groh","Edd Roush","Larry Kopf","Jake Daubert","Manuel Cueto","Ivey Wingo","Dolf Luque","Rabbit Maranville","Buck Herzog","Ray Powell","Joe Riggert","Walton Cruise","Walter Holke","Red Smith","Art Wilson","Ray Keating",,,"1919BSN.EVN.regular.game.csv",9
"BSN191905240","19190524",0,"Saturday",0,"F","D","CIN","BSN","BOS08","fishr101","nehfa101","riglc901","morac102","(none)","(none)","","",0,"487","Cliff Blau","Cliff Blau","2015/04/19 1:23PM","",1,0,0,0,-1,0,1,1,102,9,1,4,5,7,1,0,8,4,"nehfa101","fishr101","","","rathm101",4,"nealg101",7,"grohh101",5,"rouse101",8,"kopfl101",6,"daubj101",3,"cuetm101",9,"rarib101",2,"fishr101",1,"riggj101",8,"herzb101",4,"power101",9,"cruiw101",7,"holkw101",3,"smitr108",5,"marar101",6,"gowdh101",2,"nehfa101",1,"bresr101","","","",,,51,,,,000000100,22000000x,32,1,0,0,1,0,0,1,3,0,4,0,0,0,0,2,2,2,0,0,24,13,0,0,0,30,1,0,0,4,1,0,0,1,0,3,1,1,0,0,1,1,1,0,0,27,10,0,0,0,,,,,,,,,,,"Art Nehf","Ray Fisher","(none)","holkw101","Walter Holke","Morrie Rath","Greasy Neale","Heinie Groh","Edd Roush","Larry Kopf","Jake Daubert","Manuel Cueto","Bill Rariden","Ray Fisher","Joe Riggert","Buck Herzog","Ray Powell","Walton Cruise","Walter Holke","Red Smith","Rabbit Maranville","Hank Gowdy","Art Nehf",,,"1919BSN.EVN.regular.game.csv",10
"BSN191905260","19190526",0,"Monday",0,"F","D","CHN","BSN","BOS08","dougp101","rudod101","harrp901","byrol901","(none)","(none)","","",0,"109,111,71","DWV/Smith","DWV/Smith","","",1,0,0,0,-1,0,0,0,0,9,1,0,10,1,0,1,6,6,"dougp101","rudod101","","","flacm101",9,"pickc103",4,"hollc101",6,"paskd101",8,"merkf101",3,"mannl101",7,"kildp101",5,"killb101",2,"dougp101",1,"riggj101",8,"herzb101",4,"power101",9,"cruiw101",7,"holkw101",3,"smitr108",5,"marar101",6,"tragw101",2,"rudod101",1,"","nortj102","","",,,54,,,,000100000,000000000,34,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,25,8,0,0,0,24,0,0,0,0,3,0,2,4,0,6,0,1,0,0,2,1,1,0,0,24,16,1,0,0,,,,,,,,,,,"Phil Douglas","Dick Rudolph","(none)","kildp101","Pete Kilduff","Max Flack","Charlie Pick","Charlie Hollocher","Dode Paskert","Fred Merkle","Les Mann","Pete Kilduff","Bill Killefer","Phil Douglas","Joe Riggert","Buck Herzog","Ray Powell","Walton Cruise","Walter Holke","Red Smith","Rabbit Maranville","Walt Tragesser","Dick Rudolph",,,"1919BSN.EVN.regular.game.csv",11
"BSN191905270","19190527",0,"Tuesday",0,"F","D","CHN","BSN","BOS08","hendc101","filld101","byrol901","harrp901","(none)","(none)","","",0,"109","","DWV","","",1,0,0,0,-1,0,0,0,0,9,5,0,13,6,0,2,8,6,"hendc101","filld101","","","flacm101",9,"pickc103",4,"hollc101",6,"paskd101",8,"merkf101",3,"mannl101",7,"kildp101",5,"dalyt102",2,"hendc101",1,"riggj101",8,"herzb101",4,"power101",9,"cruiw101",7,"holkw101",3,"smitr108",5,"marar101",6,"tragw101",2,"filld101",1,"","keatr101","","",,,54,,,,000410000,000000000,36,1,2,0,4,1,0,0,3,0,3,3,2,2,0,1,0,0,0,0,27,15,0,0,0,32,1,0,0,0,0,0,0,1,0,3,1,0,0,0,3,2,2,0,0,27,11,0,2,0,,,,,,,,,,,"Claude Hendrix","Dana Fillingim","(none)","","(none)","Max Flack","Charlie Pick","Charlie Hollocher","Dode Paskert","Fred Merkle","Les Mann","Pete Kilduff","Tom Daly","Claude Hendrix","Joe Riggert","Buck Herzog","Ray Powell","Walton Cruise","Walter Holke","Red Smith","Rabbit Maranville","Walt Tragesser","Dana Fillingim",,,"1919BSN.EVN.regular.game.csv",12
"BSN191905280","19190528",0,"Wednesday",0,"F","D","CHN","BSN","BOS08","vaugh101","nehfa101","harrp901","byrol901","(none)","(none)","","",0,"109","","DWV","","",1,0,0,0,-1,0,0,0,0,9,0,4,6,8,2,1,8,3,"nehfa101","vaugh101","","","flacm101",9,"pickc103",4,"hollc101",6,"paskd101",8,"merkf101",3,"mannl101",7,"kildp101",5,"killb101",2,"vaugh101",1,"riggj101",8,"herzb101",4,"power101",9,"thorj101",7,"holkw101",3,"blacl101",5,"marar101",6,"gowdh101",2,"nehfa101",1,"marts102","","","",,,51,,,,000000000,10002100x,31,1,0,0,0,1,0,1,2,0,1,0,0,2,0,3,2,2,0,0,24,16,1,1,0,30,0,3,0,3,0,0,0,1,0,1,0,2,1,0,1,0,0,0,0,27,14,0,2,0,,,,,,,,,,,"Art Nehf","Hippo Vaughn","(none)","","(none)","Max Flack","Charlie Pick","Charlie Hollocher","Dode Paskert","Fred Merkle","Les Mann","Pete Kilduff","Bill Killefer","Hippo Vaughn","Joe Riggert","Buck Herzog","Ray Powell","Jim Thorpe","Walter Holke","Lena Blackburne","Rabbit Maranville","Hank Gowdy","Art Nehf",,,"1919BSN.EVN.regular.game.csv",13
"BSN191905301","19190530",1,"Friday",0,"F","D","PHI","BSN","BOS08","packg101","mcquh101","harrp901","byrol901","(none)","(none)","","",0,"74","Cliff Blau","Cliff Blau","2019/06/26 4:52PM","",0,0,0,0,-1,0,0,0,0,9,3,6,7,15,1,2,5,11,"keatr101","packg101","","","pearh101",6,"willc103",8,"meusi101",7,"ludef101",3,"cravg101",9,"baird101",5,"whitp102",4,"cadyh101",2,"packg101",1,"smitr108",7,"herzb101",4,"power101",9,"thorj101",8,"holkw101",3,"blacl101",5,"marar101",6,"gowdh101",2,"mcquh101",1,"smitg104","keatr101","","",,,51,,,,000000003,00202110x,31,1,1,0,2,0,1,0,3,0,0,1,0,3,0,3,6,6,0,0,21,12,0,0,0,35,3,1,0,5,2,1,0,3,0,2,3,0,0,0,2,3,3,1,0,26,15,0,3,0,,,,,,,,,,,"Ray Keating","Gene Packard","(none)","power101","Ray Powell","Harry Pearce","Cy Williams","Irish Meusel","Fred Luderus","Gavvy Cravath","Doug Baird","Possum Whitted","Hick Cady","Gene Packard","Red Smith","Buck Herzog","Ray Powell","Jim Thorpe","Walter Holke","Lena Blackburne","Rabbit Maranville","Hank Gowdy","Hugh McQuillan",,,"1919BSN.EVN.regular.game.csv",14
"BSN191907081","19190708",1,"Tuesday",0,"F","D","CIN","BSN","BOS08","ringj101","rudod101","riglc901","byrol901","(none)","(none)","","",0,"488","Howard Johnson","Howard Johnson","2014/11/19 11:29PM","",1,0,0,0,-1,0,0,1,135,9,2,9,7,12,2,3,9,5,"rudod101","ringj101","","","rathm101",4,"daubj101",3,"grohh101",5,"rouse101",8,"nealg101",9,"kopfl101",6,"bresr101",7,"wingi101",2,"ringj101",1,"riggj101",8,"rawlj101",4,"power101",9,"cruiw101",7,"holkw101",3,"boect101",5,"marar101",6,"gowdh101",2,"rudod101",1,"mitcr101","","","",,,51,,,,000002000,30000123x,37,0,1,0,1,0,0,0,1,0,4,2,0,0,0,2,6,6,0,0,24,12,2,0,0,36,3,2,0,7,0,0,0,2,0,3,6,1,0,0,1,0,0,0,0,27,8,0,0,0,,,,,,,,,,,"Dick Rudolph","Jimmy Ring","(none)","power101","Ray Powell","Morrie Rath","Jake Daubert","Heinie Groh","Edd Roush","Greasy Neale","Larry Kopf","Rube Bressler","Ivey Wingo","Jimmy Ring","Joe Riggert","Johnny Rawlings","Ray Powell","Walton Cruise","Walter Holke","Tony Boeckel","Rabbit Maranville","Hank Gowdy","Dick Rudolph",,,"1919BSN.EVN.regular.game.csv",15
"BSN191907082","19190708",2,"Tuesday",0,"F","D","CIN","BSN","BOS08","elleh101","nehfa101","riglc901","byrol901","(none)","(none)","","",0,"488","Howard Johnson","Howard Johnson","2014/11/20 1:32PM","",1,0,0,0,-1,0,0,1,120,9,4,3,9,7,0,2,7,5,"elleh101","nehfa101","","","rathm101",4,"daubj101",3,"smitj107",5,"rouse101",8,"nealg101",9,"kopfl101",6,"bresr101",7,"rarib101",2,"elleh101",1,"riggj101",8,"rawlj101",4,"power101",9,"cruiw101",7,"holkw101",3,"boect101",5,"marar101",6,"gowdh101",2,"nehfa101",1,"","","","",,,54,,,,100200010,000100011,30,0,0,0,3,2,1,1,4,0,4,5,2,0,0,1,3,3,0,0,27,7,0,1,0,31,2,0,0,3,0,1,0,3,0,7,0,1,0,0,1,3,3,0,0,27,13,0,0,0,,,,,,,,,,,"Hod Eller","Art Nehf","(none)","","(none)","Morrie Rath","Jake Daubert","Jimmy Smith","Edd Roush","Greasy Neale","Larry Kopf","Rube Bressler","Bill Rariden","Hod Eller","Joe Riggert","Johnny Rawlings","Ray Powell","Walton Cruise","Walter Holke","Tony Boeckel","Rabbit Maranville","Hank Gowdy","Art Nehf",,,"1919BSN.EVN.regular.game.csv",16
"BSN191907090","19190709",0,"Wednesday",0,"F","D","CIN","BSN","BOS08","salls101","mcquh101","riglc901","byrol901","(none)","(none)","","",0,"488","Howard Johnson","Howard Johnson","2014/11/21 12:19AM","",1,0,0,0,-1,0,0,1,94,9,3,1,8,8,0,2,5,7,"salls101","mcquh101","","","rathm101",4,"daubj101",3,"grohh101",5,"rouse101",8,"nealg101",9,"kopfl101",6,"bresr101",7,"wingi101",2,"salls101",1,"riggj101",8,"rawlj101",4,"power101",9,"smitr108",7,"holkw101",3,"boect101",5,"marar101",6,"gowdh101",2,"mcquh101",1,"","chenl101","","",,,54,,,,000021000,000000010,32,1,1,0,1,0,0,0,3,0,3,0,1,1,0,1,1,1,0,0,27,16,0,1,0,31,1,0,0,1,1,0,0,3,0,0,0,2,0,0,2,1,1,0,0,27,13,0,2,0,,,,,,,,,,,"Slim Sallee","Hugh McQuillan","(none)","wingi101","Ivey Wingo","Morrie Rath","Jake Daubert","Heinie Groh","Edd Roush","Greasy Neale","Larry Kopf","Rube Bressler","Ivey Wingo","Slim Sallee","Joe Riggert","Johnny Rawlings","Ray Powell","Red Smith","Walter Holke","Tony Boeckel","Rabbit Maranville","Hank Gowdy","Hugh McQuillan",,,"1919BSN.EVN.regular.game.csv",17
