"GAME_ID","GAME_DT","GAME_CT","GAME_DY","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","AWAY_START_PIT_ID","HOME_START_PIT_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","BASE3_UMP_ID","LF_UMP_ID","RF_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","TRANSLATOR_RECORD_ID","INPUTTER_RECORD_ID","INPUT_RECORD_TS","EDIT_RECORD_TS","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","INN_CT","AWAY_SCORE_CT","HOME_SCORE_CT","AWAY_HITS_CT","HOME_HITS_CT","AWAY_ERR_CT","HOME_ERR_CT","AWAY_LOB_CT","HOME_LOB_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID","GWRBI_BAT_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD","AWAY_FINISH_PIT_ID","HOME_FINISH_PIT_ID","AWAY_TEAM_LEAGUE_ID","HOME_TEAM_LEAGUE_ID","AWAY_TEAM_GAME_CT","HOME_TEAM_GAME_CT","OUTS_CT","COMPLETION_TX","FORFEIT_TX","PROTEST_TX","AWAY_LINE_TX","HOME_LINE_TX","AWAY_AB_CT","AWAY_2B_CT","AWAY_3B_CT","AWAY_HR_CT","AWAY_BI_CT","AWAY_SH_CT","AWAY_SF_CT","AWAY_HP_CT","AWAY_BB_CT","AWAY_IBB_CT","AWAY_SO_CT","AWAY_SB_CT","AWAY_CS_CT","AWAY_GDP_CT","AWAY_XI_CT","AWAY_PITCHER_CT","AWAY_ER_CT","AWAY_TER_CT","AWAY_WP_CT","AWAY_BK_CT","AWAY_PO_CT","AWAY_A_CT","AWAY_PB_CT","AWAY_DP_CT","AWAY_TP_CT","HOME_AB_CT","HOME_2B_CT","HOME_3B_CT","HOME_HR_CT","HOME_BI_CT","HOME_SH_CT","HOME_SF_CT","HOME_HP_CT","HOME_BB_CT","HOME_IBB_CT","HOME_SO_CT","HOME_SB_CT","HOME_CS_CT","HOME_GDP_CT","HOME_XI_CT","HOME_PITCHER_CT","HOME_ER_CT","HOME_TER_CT","HOME_WP_CT","HOME_BK_CT","HOME_PO_CT","HOME_A_CT","HOME_PB_CT","HOME_DP_CT","HOME_TP_CT","UMP_HOME_NAME_TX","UMP_1B_NAME_TX","UMP_2B_NAME_TX","UMP_3B_NAME_TX","UMP_LF_NAME_TX","UMP_RF_NAME_TX","AWAY_MANAGER_ID","AWAY_MANAGER_NAME_TX","HOME_MANAGER_ID","HOME_MANAGER_NAME_TX","WIN_PIT_NAME_TX","LOSE_PIT_NAME_TX","SAVE_PIT_NAME_TX","GOAHEAD_RBI_ID","GOAHEAD_RBI_NAME_TX","AWAY_LINEUP1_BAT_NAME_TX","AWAY_LINEUP2_BAT_NAME_TX","AWAY_LINEUP3_BAT_NAME_TX","AWAY_LINEUP4_BAT_NAME_TX","AWAY_LINEUP5_BAT_NAME_TX","AWAY_LINEUP6_BAT_NAME_TX","AWAY_LINEUP7_BAT_NAME_TX","AWAY_LINEUP8_BAT_NAME_TX","AWAY_LINEUP9_BAT_NAME_TX","HOME_LINEUP1_BAT_NAME_TX","HOME_LINEUP2_BAT_NAME_TX","HOME_LINEUP3_BAT_NAME_TX","HOME_LINEUP4_BAT_NAME_TX","HOME_LINEUP5_BAT_NAME_TX","HOME_LINEUP6_BAT_NAME_TX","HOME_LINEUP7_BAT_NAME_TX","HOME_LINEUP8_BAT_NAME_TX","HOME_LINEUP9_BAT_NAME_TX","ADD_INFO_TX","ACQ_INFO_TX","FILENAME_TX","LINE_NUMBER_CT"
"MIN200004030","20000403",0,"Monday",705,"T","N","TBA","MIN","MIN03","tracs001","radkb001","reedr901","buckc901","clara901","wendh902","","",43830,"","","","","",0,1,72,2,0,4,1,5,170,9,7,0,14,8,1,0,7,7,"tracs001","radkb001","","","willg001",8,"martd002",9,"cansj001",10,"mcgrf001",3,"vaugg001",7,"perrh001",5,"flahj001",2,"stock001",6,"cairm001",4,"walkt002",4,"guzmc001",6,"lawtm002",9,"huskb001",10,"koskc001",5,"coomr001",3,"jonej003",7,"lecrm001",2,"huntt001",8,"morrj004","santj003","","",,,54,,,,100141000,000000000,39,2,0,2,7,1,1,0,0,0,6,0,0,0,0,3,0,0,0,0,27,14,0,1,0,34,1,0,0,0,0,0,0,0,0,8,1,0,1,0,4,7,7,1,0,27,10,0,0,0,,,,,,,,,,,"Steve Trachsel","Brad Radke","(none)","willg001","Gerald Williams","Gerald Williams","Dave Martinez","Jose Canseco","Fred McGriff","Greg Vaughn","Herbert Perry","John Flaherty","Kevin Stocker","Miguel Cairo","Todd Walker","Cristian Guzman","Matt Lawton","Butch Huskey","Corey Koskie","Ron Coomer","Jacque Jones","Matt LeCroy","Torii Hunter",,,"2000MIN.EVA.regular.game.csv",2
"MIN200004040","20000404",0,"Tuesday",705,"T","N","TBA","MIN","MIN03","ruper001","milte001","buckc901","clara901","wendh902","reedr901","","",7020,"","","","","",0,1,72,2,0,4,1,5,170,9,5,6,9,11,1,0,9,8,"carrh001","hernr001","","","willg001",8,"cairm001",4,"cansj001",10,"mcgrf001",3,"vaugg001",7,"perrh001",5,"flahj001",2,"tramb001",9,"stock001",6,"walkt002",4,"guzmc001",6,"lawtm002",9,"ortid001",3,"huskb001",10,"koskc001",5,"jonej003",7,"jensm001",2,"huntt001",8,"hernr001","carrh001","","",,,53,,,,030200000,020100012,36,3,0,1,5,0,0,1,4,0,3,0,0,0,0,4,4,4,0,0,26,8,0,0,0,38,4,0,0,6,0,0,0,2,0,1,2,0,0,0,4,5,5,0,0,27,12,0,0,0,,,,,,,,,,,"Hector Carrasco","Roberto Hernandez","(none)","ortid001","David Ortiz","Gerald Williams","Miguel Cairo","Jose Canseco","Fred McGriff","Greg Vaughn","Herbert Perry","John Flaherty","Bubba Trammell","Kevin Stocker","Todd Walker","Cristian Guzman","Matt Lawton","David Ortiz","Butch Huskey","Corey Koskie","Jacque Jones","Marcus Jensen","Torii Hunter",,,"2000MIN.EVA.regular.game.csv",3
"MIN200004050","20000405",0,"Wednesday",705,"T","N","TBA","MIN","MIN03","yan-e001","bergs001","clara901","wendh902","reedr901","buckc901","","",7089,"","","","","",0,1,72,5,0,4,1,5,169,9,7,10,13,12,1,0,7,5,"guare001","whitr002","","","willg001",8,"martd002",9,"cansj001",10,"mcgrf001",3,"vaugg001",7,"perrh001",5,"flahj001",2,"stock001",6,"cairm001",4,"walkt002",4,"guzmc001",6,"lawtm002",9,"huskb001",10,"koskc001",5,"coomr001",3,"jonej003",7,"lecrm001",2,"huntt001",8,"whitr002","guare001","","",,,51,,,,014011000,100000063,38,4,0,1,7,0,0,0,3,0,8,0,1,1,0,5,9,9,0,0,24,7,0,0,0,37,3,0,1,10,0,0,0,2,0,4,1,0,0,0,4,7,7,0,0,27,11,0,2,0,,,,,,,,,,,"Eddie Guardado","Rick White","(none)","lawtm002","Matt Lawton","Gerald Williams","Dave Martinez","Jose Canseco","Fred McGriff","Greg Vaughn","Herbert Perry","John Flaherty","Kevin Stocker","Miguel Cairo","Todd Walker","Cristian Guzman","Matt Lawton","Butch Huskey","Corey Koskie","Ron Coomer","Jacque Jones","Matt LeCroy","Torii Hunter",,,"2000MIN.EVA.regular.game.csv",4
"MIN200004060","20000406",0,"Thursday",1205,"T","D","TBA","MIN","MIN03","wheed001","maysj001","wendh902","reedr901","buckc901","clara901","","",8763,"","","","","",0,1,72,4,0,4,1,5,164,9,7,6,10,13,0,2,3,8,"mecij001","carrh001","hernr001","","willg001",8,"martd002",9,"cansj001",10,"mcgrf001",3,"vaugg001",7,"perrh001",5,"difem001",2,"stock001",6,"cairm001",4,"hockd001",5,"guzmc001",6,"lawtm002",9,"ortid001",3,"coomr001",10,"jonej003",7,"jensm001",2,"huntt001",8,"maxwj001",4,"hernr001","carrh001","","",,,54,,,,030000202,102010200,36,1,1,1,7,1,0,0,0,0,7,0,0,0,0,3,6,6,0,0,27,11,0,2,0,37,5,0,0,6,1,0,1,2,0,6,0,0,1,0,4,6,6,0,0,27,14,0,1,0,,,,,,,,,,,"Jim Mecir","Hector Carrasco","Roberto Hernandez","cairm001","Miguel Cairo","Gerald Williams","Dave Martinez","Jose Canseco","Fred McGriff","Greg Vaughn","Herbert Perry","Mike DiFelice","Kevin Stocker","Miguel Cairo","Denny Hocking","Cristian Guzman","Matt Lawton","David Ortiz","Ron Coomer","Jacque Jones","Marcus Jensen","Torii Hunter","Jason Maxwell",,,"2000MIN.EVA.regular.game.csv",5
"MIN200004140","20000414",0,"Friday",705,"T","N","BAL","MIN","MIN03","mercj001","milte001","welkb901","froeb901","wintm901","culbf901","","",15249,"","","","","",0,1,72,8,0,4,1,5,184,9,9,10,16,12,0,0,6,6,"redmm002","groob001","guare001","","amarr001",8,"deshd001",4,"surhb001",7,"bellj002",9,"bainh001",10,"ripkc001",5,"conij001",3,"johnc002",2,"bordm001",6,"walkt002",4,"guzmc001",6,"lawtm002",9,"coomr001",3,"koskc001",5,"ortid001",10,"lecrm001",2,"jonej003",7,"huntt001",8,"groob001","guare001","","",,,51,,,,030122100,01020106x,40,3,0,3,8,0,1,0,1,0,7,0,1,1,0,4,10,10,0,0,24,9,0,1,0,33,4,2,0,10,0,2,0,5,0,4,0,0,1,0,6,9,9,1,0,27,9,0,1,0,,,,,,,,,,,"Mark Redman","Buddy Groom","Eddie Guardado","lawtm002","Matt Lawton","Rich Amaral","Delino DeShields","B.J. Surhoff","Albert Belle","Harold Baines","Cal Ripken","Jeff Conine","Charles Johnson","Mike Bordick","Todd Walker","Cristian Guzman","Matt Lawton","Ron Coomer","Corey Koskie","David Ortiz","Matt LeCroy","Jacque Jones","Torii Hunter",,,"2000MIN.EVA.regular.game.csv",6
"MIN200004150","20000415",0,"Saturday",605,"T","N","BAL","MIN","MIN03","maduc001","bergs001","froeb901","wintm901","culbf901","welkb901","","",18745,"","","","","",0,1,72,4,0,4,1,5,169,9,6,4,15,9,0,1,9,6,"worrt002","millt001","tromm001","","andeb001",8,"bordm001",6,"surhb001",7,"bellj002",9,"bainh001",10,"ripkc001",5,"conij001",3,"johnc002",2,"garcj001",4,"walkt002",4,"guzmc001",6,"lawtm002",9,"huskb001",10,"koskc001",5,"coomr001",3,"lecrm001",2,"jonej003",7,"huntt001",8,"tromm001","redmm002","","",,,54,,,,110110101,000310000,41,4,0,2,5,0,0,1,0,0,4,1,0,1,0,4,4,4,0,0,27,12,0,2,0,33,1,2,0,4,1,0,1,2,0,6,1,0,2,0,4,6,6,0,0,27,13,1,2,0,,,,,,,,,,,"Tim Worrell","Travis Miller","Mike Trombley","","(none)","Brady Anderson","Mike Bordick","B.J. Surhoff","Albert Belle","Harold Baines","Cal Ripken","Jeff Conine","Charles Johnson","Jesse Garcia","Todd Walker","Cristian Guzman","Matt Lawton","Butch Huskey","Corey Koskie","Ron Coomer","Matt LeCroy","Jacque Jones","Torii Hunter",,,"2000MIN.EVA.regular.game.csv",7
"MIN200004160","20000416",0,"Sunday",105,"T","D","BAL","MIN","MIN03","ponss001","maysj001","wintm901","culbf901","welkb901","froeb901","","",14066,"","","","","",0,1,72,4,0,4,1,5,128,9,5,0,8,4,0,1,4,8,"ponss001","maysj001","","","andeb001",8,"bordm001",6,"surhb001",7,"bellj002",9,"bainh001",10,"conij001",5,"clarw001",3,"moraw001",2,"garcj001",4,"walkt002",4,"guzmc001",6,"lawtm002",9,"ortid001",3,"koskc001",5,"cummm001",10,"jensm001",2,"jonej003",7,"huntt001",8,"","guare001","","",,,54,,,,500000000,000000000,36,1,0,2,5,0,0,0,0,0,8,1,0,0,0,1,0,0,2,0,27,13,0,0,0,32,0,0,0,0,0,0,1,2,0,5,0,0,0,0,2,5,5,0,0,27,10,0,0,0,,,,,,,,,,,"Sidney Ponson","Joe Mays","(none)","andeb001","Brady Anderson","Brady Anderson","Mike Bordick","B.J. Surhoff","Albert Belle","Harold Baines","Jeff Conine","Will Clark","Willie Morales","Jesse Garcia","Todd Walker","Cristian Guzman","Matt Lawton","David Ortiz","Corey Koskie","Midre Cummings","Marcus Jensen","Jacque Jones","Torii Hunter",,,"2000MIN.EVA.regular.game.csv",8
"MIN200004180","20000418",0,"Tuesday",705,"T","N","KCA","MIN","MIN03","suppj001","radkb001","onorb901","iassd901","lampi901","bellw901","","",6630,"","","","","",0,1,72,4,0,4,1,5,143,9,1,3,6,7,1,0,6,6,"radkb001","suppj001","wellb002","","damoj001",7,"feblc001",4,"beltc001",8,"dye-j001",9,"sweem002",3,"randj002",5,"quinm001",10,"johnb002",2,"sancr001",6,"walkt002",4,"guzmc001",6,"lawtm002",9,"ortid001",10,"coomr001",3,"koskc001",5,"lecrm001",2,"jonej003",7,"huntt001",8,"bottr001","wellb002","","",,,51,,,,000010000,20000010x,32,1,1,0,1,0,0,0,2,0,5,1,0,1,0,3,3,3,0,0,24,9,0,0,0,30,1,0,0,3,1,0,0,2,0,6,0,0,0,0,2,1,1,1,0,27,7,0,1,0,,,,,,,,,,,"Brad Radke","Jeff Suppan","Bob Wells","lawtm002","Matt Lawton","Johnny Damon","Carlos Febles","Carlos Beltran","Jermaine Dye","Mike Sweeney","Joe Randa","Mark Quinn","Brian Johnson","Rey Sanchez","Todd Walker","Cristian Guzman","Matt Lawton","David Ortiz","Ron Coomer","Corey Koskie","Matt LeCroy","Jacque Jones","Torii Hunter",,,"2000MIN.EVA.regular.game.csv",9
"MIN200004190","20000419",0,"Wednesday",705,"T","N","KCA","MIN","MIN03","suzum001","milte001","iassd901","lampi901","bellw901","onorb901","","",7606,"","","","","",0,1,72,4,0,4,1,5,182,9,6,7,10,9,0,1,4,9,"carrh001","santj002","","","sancr001",6,"feblc001",4,"beltc001",8,"dye-j001",9,"sweem002",10,"randj002",5,"quinm001",7,"mccad001",3,"johnb002",2,"walkt002",4,"guzmc001",6,"lawtm002",9,"coomr001",3,"koskc001",5,"huskb001",10,"jonej003",7,"jensm001",2,"huntt001",8,"santj002","carrh001","","",,,53,,,,010200300,200100301,37,1,0,3,5,0,0,0,0,0,4,0,0,0,0,4,6,6,0,0,26,9,1,1,0,33,2,1,1,6,0,1,0,8,1,6,2,0,1,0,2,4,4,0,0,27,13,0,0,0,,,,,,,,,,,"Hector Carrasco","Jose Santiago","(none)","huskb001","Butch Huskey","Rey Sanchez","Carlos Febles","Carlos Beltran","Jermaine Dye","Mike Sweeney","Joe Randa","Mark Quinn","David McCarty","Brian Johnson","Todd Walker","Cristian Guzman","Matt Lawton","Ron Coomer","Corey Koskie","Butch Huskey","Jacque Jones","Marcus Jensen","Torii Hunter",,,"2000MIN.EVA.regular.game.csv",10
"MIN200004200","20000420",0,"Thursday",1205,"T","D","KCA","MIN","MIN03","rosaj001","bergs001","lampi901","bellw901","onorb901","iassd901","","",9213,"","","","","",0,1,72,4,0,4,1,5,183,9,7,9,12,13,1,1,6,6,"bergs001","rosaj001","wellb002","","damoj001",7,"feblc001",4,"beltc001",8,"dye-j001",9,"sweem002",3,"randj002",5,"quinm001",10,"fabrj001",2,"sancr001",6,"guzmc001",6,"hockd001",5,"lawtm002",7,"coomr001",3,"huskb001",9,"lecrm001",2,"ortid001",10,"huntt001",8,"maxwj001",4,"bottr001","wellb002","","",,,51,,,,003001210,02103210x,37,2,0,2,6,0,0,1,2,0,7,1,0,1,0,3,9,9,0,0,24,4,0,1,0,35,6,0,4,9,0,1,0,3,0,8,1,0,1,0,3,6,6,1,0,27,13,0,1,0,,,,,,,,,,,"Sean Bergman","Jose Rosado","Bob Wells","coomr001","Ron Coomer","Johnny Damon","Carlos Febles","Carlos Beltran","Jermaine Dye","Mike Sweeney","Joe Randa","Mark Quinn","Jorge Fabregas","Rey Sanchez","Cristian Guzman","Denny Hocking","Matt Lawton","Ron Coomer","Butch Huskey","Matt LeCroy","David Ortiz","Torii Hunter","Jason Maxwell",,,"2000MIN.EVA.regular.game.csv",11
"MIN200004280","20000428",0,"Friday",705,"T","N","OAK","MIN","MIN03","hereg001","radkb001","craft901","welkt901","schrp901","cuzzp901","","",10611,"","","","","",0,1,72,4,0,4,1,5,171,9,5,2,6,7,2,1,7,7,"hereg001","radkb001","isrij001","","longt002",8,"tejam001",6,"giamj001",3,"piata001",10,"staim001",9,"grieb001",7,"hernr002",2,"chave001",5,"menef001",4,"walkt002",4,"guzmc001",6,"lawtm002",9,"coomr001",3,"huskb001",10,"koskc001",5,"lecrm001",2,"jonej003",7,"huntt001",8,"isrij001","redmm002","","",,,54,,,,000000500,001010000,32,1,0,0,5,0,1,0,6,1,7,0,0,1,0,3,0,0,0,0,27,13,0,1,0,34,2,0,0,2,0,0,0,2,0,4,0,0,1,0,5,5,5,0,0,27,4,0,1,0,,,,,,,,,,,"Gil Heredia","Brad Radke","Jason Isringhausen","longt002","Terrence Long","Terrence Long","Miguel Tejada","Jason Giambi","Adam Piatt","Matt Stairs","Ben Grieve","Ramon Hernandez","Eric Chavez","Frank Menechino","Todd Walker","Cristian Guzman","Matt Lawton","Ron Coomer","Butch Huskey","Corey Koskie","Matt LeCroy","Jacque Jones","Torii Hunter",,,"2000MIN.EVA.regular.game.csv",12
"MIN200004290","20000429",0,"Saturday",605,"T","N","OAK","MIN","MIN03","muldm001","milte001","welkt901","schrp901","cuzzp901","craft901","","",15803,"","","","","",0,1,72,8,0,4,1,5,196,10,6,2,7,10,0,0,1,12,"matht002","guare001","","","longt002",8,"tejam001",6,"giamj001",3,"saeno001",10,"staim001",9,"piata001",5,"grieb001",7,"menef001",4,"fasas001",2,"guzmc001",6,"hockd001",5,"lawtm002",7,"coomr001",3,"huskb001",9,"cummm001",10,"lecrm001",2,"huntt001",8,"maxwj001",4,"matht002","hawkl001","","",,,60,,,,0000200004,1001000000,35,0,1,1,6,0,1,0,1,0,10,0,0,1,0,4,2,2,0,0,30,17,0,3,0,35,1,1,0,2,1,1,0,7,1,6,0,0,2,0,3,6,6,0,0,30,8,0,1,0,,,,,,,,,,,"T.J. Mathews","Eddie Guardado","(none)","grieb001","Ben Grieve","Terrence Long","Miguel Tejada","Jason Giambi","Olmedo Saenz","Matt Stairs","Adam Piatt","Ben Grieve","Frank Menechino","Sal Fasano","Cristian Guzman","Denny Hocking","Matt Lawton","Ron Coomer","Butch Huskey","Midre Cummings","Matt LeCroy","Torii Hunter","Jason Maxwell",,,"2000MIN.EVA.regular.game.csv",13
"MIN200004300","20000430",0,"Sunday",105,"T","D","OAK","MIN","MIN03","hudst001","bergs001","schrp901","cuzzp901","craft901","welkt901","","",10682,"","","","","",0,1,72,8,0,4,1,5,160,9,8,2,14,7,0,0,7,6,"hudst001","bergs001","","","longt002",8,"tejam001",6,"giamj001",3,"staim001",9,"piata001",10,"grieb001",7,"hernr002",2,"chave001",5,"menef001",4,"walkt002",10,"guzmc001",6,"lawtm002",9,"ortid001",3,"koskc001",5,"jensm001",2,"jonej003",7,"huntt001",8,"hockd001",4,"tam-j001","millt001","","",,,54,,,,302030000,000000020,38,3,2,3,8,0,1,0,3,0,7,0,0,2,0,2,2,2,0,0,27,7,0,0,0,34,3,0,0,1,0,0,0,1,0,12,3,0,0,0,5,8,8,1,0,27,12,0,2,0,,,,,,,,,,,"Tim Hudson","Sean Bergman","(none)","tejam001","Miguel Tejada","Terrence Long","Miguel Tejada","Jason Giambi","Matt Stairs","Adam Piatt","Ben Grieve","Ramon Hernandez","Eric Chavez","Frank Menechino","Todd Walker","Cristian Guzman","Matt Lawton","David Ortiz","Corey Koskie","Marcus Jensen","Jacque Jones","Torii Hunter","Denny Hocking",,,"2000MIN.EVA.regular.game.csv",14
"MIN200005020","20000502",0,"Tuesday",705,"T","N","SEA","MIN","MIN03","halaj001","maysj001","wendh902","vanvm901","clara901","reedr901","","",6780,"","","","","",0,1,72,5,0,4,1,5,205,9,5,4,9,10,2,0,12,6,"halaj001","maysj001","sasak001","","mclem001",7,"javis001",9,"rodra001",6,"olerj001",3,"marte001",10,"lampt001",2,"camem001",8,"belld002",4,"guilc001",5,"guzmc001",6,"hockd001",5,"lawtm002",7,"coomr001",3,"huskb001",9,"cummm001",10,"lecrm001",2,"huntt001",8,"maxwj001",4,"sasak001","wellb002","","",,,54,,,,000004100,000120100,33,0,0,1,4,0,0,1,10,0,6,0,1,1,0,5,3,3,0,0,27,15,0,3,0,31,1,2,0,3,1,1,0,4,0,5,1,1,3,0,5,5,5,0,0,27,11,1,1,0,,,,,,,,,,,"John Halama","Joe Mays","Kazuhiro Sasaki","rodra001","Alex Rodriguez","Mark McLemore","Stan Javier","Alex Rodriguez","John Olerud","Edgar Martinez","Tom Lampkin","Mike Cameron","David Bell","Carlos Guillen","Cristian Guzman","Denny Hocking","Matt Lawton","Ron Coomer","Butch Huskey","Midre Cummings","Matt LeCroy","Torii Hunter","Jason Maxwell",,,"2000MIN.EVA.regular.game.csv",15
"MIN200005030","20000503",0,"Wednesday",705,"T","N","SEA","MIN","MIN03","tomkb001","radkb001","clara901","vanvm901","reedr901","wendh902","","",6596,"","","","","",0,1,72,1,0,4,1,5,181,10,4,5,12,10,0,1,8,4,"guare001","mesaj001","","","mclem001",4,"javis001",9,"rodra001",6,"olerj001",3,"marte001",10,"ibanr001",7,"wilsd001",2,"belld002",5,"camem001",8,"walkt002",4,"guzmc001",6,"lawtm002",9,"coomr001",3,"ortid001",10,"koskc001",5,"jensm001",2,"jonej003",7,"huntt001",8,"mesaj001","guare001","","",,,59,,,,0010012000,0012100001,40,2,1,0,4,1,0,0,1,0,5,0,1,1,0,3,5,5,0,0,29,10,0,1,0,35,2,0,1,5,0,2,0,1,0,5,0,1,1,0,3,4,4,0,0,30,15,0,1,0,,,,,,,,,,,"Eddie Guardado","Jose Mesa","(none)","guzmc001","Cristian Guzman","Mark McLemore","Stan Javier","Alex Rodriguez","John Olerud","Edgar Martinez","Raul Ibanez","Dan Wilson","David Bell","Mike Cameron","Todd Walker","Cristian Guzman","Matt Lawton","Ron Coomer","David Ortiz","Corey Koskie","Marcus Jensen","Jacque Jones","Torii Hunter",,,"2000MIN.EVA.regular.game.csv",16
"MIN200005040","20000504",0,"Thursday",705,"T","N","DET","MIN","MIN03","mlicd001","milte001","fostm901","kulpr901","herna901","timmt901","","",6675,"","","","","",0,1,72,8,0,4,1,5,214,11,8,6,10,12,0,2,7,9,"andem002","wellb002","jonet003","","halts001",5,"ausmb001",2,"encaj001",8,"gonzj002",10,"higgb001",7,"easld001",4,"magew001",9,"jeffg001",3,"cruzd001",6,"guzmc001",6,"hockd001",4,"lawtm002",9,"coomr001",3,"koskc001",5,"ortid001",10,"lecrm001",2,"jonej003",7,"huntt001",8,"jonet003","guare001","","",,,66,,,,00200310002,30100101000,43,2,0,2,7,0,0,1,3,0,6,0,0,0,1,5,6,6,0,0,33,17,0,1,0,44,4,1,1,6,0,0,0,4,1,5,1,0,1,0,5,6,6,0,0,33,4,0,0,0,,,,,,,,,,,"Matt Anderson","Bob Wells","Todd Jones","ausmb001","Brad Ausmus","Shane Halter","Brad Ausmus","Juan Encarnacion","Juan Gonzalez","Bobby Higginson","Damion Easley","Wendell Magee","Gregg Jefferies","Deivi Cruz","Cristian Guzman","Denny Hocking","Matt Lawton","Ron Coomer","Corey Koskie","David Ortiz","Matt LeCroy","Jacque Jones","Torii Hunter",,,"2000MIN.EVA.regular.game.csv",17
"MIN200005050","20000505",0,"Friday",705,"T","N","DET","MIN","MIN03","nomoh001","bergs001","kulpr901","herna901","timmt901","fostm901","","",11500,"","","","","",0,1,72,0,0,4,1,5,224,9,10,8,14,11,0,2,14,7,"pattd001","carrh001","jonet003","","polol001",9,"ausmb001",2,"encaj001",8,"gonzj002",10,"higgb001",7,"easld001",4,"jeffg001",5,"clart002",3,"cruzd001",6,"guzmc001",6,"canij001",4,"lawtm002",9,"coomr001",3,"cummm001",10,"koskc001",5,"lecrm001",2,"jonej003",7,"huntt001",8,"jonet003","santj003","","",,,54,,,,000202501,111103100,40,3,0,1,9,0,1,0,9,0,4,2,0,0,1,6,8,8,2,0,27,16,0,1,0,36,3,1,2,8,0,0,1,5,0,7,0,1,1,0,4,8,8,2,0,27,7,0,1,0,,,,,,,,,,,"Danny Patterson","Hector Carrasco","Todd Jones","magew001","Wendell Magee","Luis Polonia","Brad Ausmus","Juan Encarnacion","Juan Gonzalez","Bobby Higginson","Damion Easley","Gregg Jefferies","Tony Clark","Deivi Cruz","Cristian Guzman","Jay Canizaro","Matt Lawton","Ron Coomer","Midre Cummings","Corey Koskie","Matt LeCroy","Jacque Jones","Torii Hunter",,,"2000MIN.EVA.regular.game.csv",18
"MIN200005060","20000506",0,"Saturday",605,"T","N","DET","MIN","MIN03","nitkc001","redmm002","herna901","timmt901","fostm901","kulpr901","","",14013,"","","","","",0,1,72,1,0,4,1,5,149,9,1,6,10,8,1,0,7,6,"redmm002","nitkc001","","","halts001",4,"ausmb001",2,"encaj001",8,"gonzj002",10,"palmd002",5,"higgb001",7,"magew001",9,"jeffg001",3,"cruzd001",6,"guzmc001",6,"hockd001",7,"lawtm002",9,"coomr001",3,"huskb001",10,"lecrm001",2,"huntt001",8,"maxwj001",5,"canij001",4,"blaiw001","hawkl001","","",,,51,,,,000010000,01020030x,35,4,0,0,1,0,0,0,0,0,8,0,0,0,0,2,5,5,1,1,24,12,0,0,0,32,1,0,0,4,0,0,0,4,0,3,1,1,0,0,2,1,1,0,0,27,7,0,1,0,,,,,,,,,,,"Mark Redman","C.J. Nitkowski","(none)","","(none)","Shane Halter","Brad Ausmus","Juan Encarnacion","Juan Gonzalez","Dean Palmer","Bobby Higginson","Wendell Magee","Gregg Jefferies","Deivi Cruz","Cristian Guzman","Denny Hocking","Matt Lawton","Ron Coomer","Butch Huskey","Matt LeCroy","Torii Hunter","Jason Maxwell","Jay Canizaro",,,"2000MIN.EVA.regular.game.csv",19
