"GAME_ID","AWAY_TEAM_ID","INN_CT","BAT_HOME_ID","OUTS_CT","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","AWAY_SCORE_CT","HOME_SCORE_CT","BAT_ID","BAT_HAND_CD","RESP_BAT_ID","RESP_BAT_HAND_CD","PIT_ID","PIT_HAND_CD","RESP_PIT_ID","RESP_PIT_HAND_CD","POS2_FLD_ID","POS3_FLD_ID","POS4_FLD_ID","POS5_FLD_ID","POS6_FLD_ID","POS7_FLD_ID","POS8_FLD_ID","POS9_FLD_ID","BASE1_RUN_ID","BASE2_RUN_ID","BASE3_RUN_ID","EVENT_TX","LEADOFF_FL","PH_FL","BAT_FLD_CD","BAT_LINEUP_ID","EVENT_CD","BAT_EVENT_FL","AB_FL","H_CD","SH_FL","SF_FL","EVENT_OUTS_CT","DP_FL","TP_FL","RBI_CT","WP_FL","PB_FL","FLD_CD","BATTEDBALL_CD","BUNT_FL","FOUL_FL","BATTEDBALL_LOC_TX","ERR_CT","ERR1_FLD_CD","ERR1_CD","ERR2_FLD_CD","ERR2_CD","ERR3_FLD_CD","ERR3_CD","BAT_DEST_ID","RUN1_DEST_ID","RUN2_DEST_ID","RUN3_DEST_ID","BAT_PLAY_TX","RUN1_PLAY_TX","RUN2_PLAY_TX","RUN3_PLAY_TX","RUN1_SB_FL","RUN2_SB_FL","RUN3_SB_FL","RUN1_CS_FL","RUN2_CS_FL","RUN3_CS_FL","RUN1_PK_FL","RUN2_PK_FL","RUN3_PK_FL","RUN1_RESP_PIT_ID","RUN2_RESP_PIT_ID","RUN3_RESP_PIT_ID","GAME_NEW_FL","GAME_END_FL","PR_RUN1_FL","PR_RUN2_FL","PR_RUN3_FL","REMOVED_FOR_PR_RUN1_ID","REMOVED_FOR_PR_RUN2_ID","REMOVED_FOR_PR_RUN3_ID","REMOVED_FOR_PH_BAT_ID","REMOVED_FOR_PH_BAT_FLD_CD","PO1_FLD_CD","PO2_FLD_CD","PO3_FLD_CD","ASS1_FLD_CD","ASS2_FLD_CD","ASS3_FLD_CD","ASS4_FLD_CD","ASS5_FLD_CD","EVENT_ID","HOME_TEAM_ID","BAT_TEAM_ID","FLD_TEAM_ID","BAT_LAST_ID","INN_NEW_FL","INN_END_FL","START_BAT_SCORE_CT","START_FLD_SCORE_CT","INN_RUNS_CT","GAME_PA_CT","INN_PA_CT","PA_NEW_FL","PA_TRUNC_FL","START_BASES_CD","END_BASES_CD","BAT_START_FL","RESP_BAT_START_FL","BAT_ON_DECK_ID","BAT_IN_HOLD_ID","PIT_START_FL","RESP_PIT_START_FL","RUN1_FLD_CD","RUN1_LINEUP_CD","RUN1_ORIGIN_EVENT_ID","RUN2_FLD_CD","RUN2_LINEUP_CD","RUN2_ORIGIN_EVENT_ID","RUN3_FLD_CD","RUN3_LINEUP_CD","RUN3_ORIGIN_EVENT_ID","RUN1_RESP_CAT_ID","RUN2_RESP_CAT_ID","RUN3_RESP_CAT_ID","PA_BALL_CT","PA_CALLED_BALL_CT","PA_INTENT_BALL_CT","PA_PITCHOUT_BALL_CT","PA_HITBATTER_BALL_CT","PA_OTHER_BALL_CT","PA_STRIKE_CT","PA_CALLED_STRIKE_CT","PA_SWINGMISS_STRIKE_CT","PA_FOUL_STRIKE_CT","PA_INPLAY_STRIKE_CT","PA_OTHER_STRIKE_CT","EVENT_RUNS_CT","FLD_ID","BASE2_FORCE_FL","BASE3_FORCE_FL","BASE4_FORCE_FL","BAT_SAFE_ERR_FL","BAT_FATE_ID","RUN1_FATE_ID","RUN2_FATE_ID","RUN3_FATE_ID","FATE_RUNS_CT","ASS6_FLD_CD","ASS7_FLD_CD","ASS8_FLD_CD","ASS9_FLD_CD","ASS10_FLD_CD","UNKNOWN_OUT_EXC_FL","UNCERTAIN_PLAY_EXC_FL"FILENAME_TX","LINE_NUMBER_CT"

"MON198504190","CHN",1,0,0,0,0,"",0,0,"dernb001","?","dernb001","?","smitb001","?","smitb001","?","fitzm001","dried001","law-v001","wallt001","brooh001","raint001","winnh001","dawsa001","","","","5/FL","T","F",8,1,2,"T","T",0,"F","F",1,"F","F",0,"F","F",5,"F","F","T","",0,0,"N",0,"N",0,"N",0,0,0,0,"5","","","","F","F","F","F","F","F","F","F","F","","","","T","F","F","F","F","","","","",0,5,0,0,0,0,0,0,0,1,"MON","CHN","MON",0,"T","F",0,0,0,0,0,"T","F",0,0,"T","T","sandr001","boslt001","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"wallt001","F","F","F","F",0,0,0,0,1,0,0,0,0,0,F,F1985MON.EVN.regular.event.csv",2

"MON198504190","CHN",1,0,1,0,0,"",0,0,"sandr001","?","sandr001","?","smitb001","?","smitb001","?","fitzm001","dried001","law-v001","wallt001","brooh001","raint001","winnh001","dawsa001","","","","S","F","F",4,2,20,"T","T",1,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,2,"MON","CHN","MON",0,"F","F",0,0,0,1,1,"T","F",0,1,"T","T","boslt001","durhl001","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"","F","F","F","F",4,0,0,0,1,0,0,0,0,0,F,F1985MON.EVN.regular.event.csv",3

"MON198504190","CHN",1,0,1,0,0,"",0,0,"boslt001","?","boslt001","?","smitb001","?","smitb001","?","fitzm001","dried001","law-v001","wallt001","brooh001","raint001","winnh001","dawsa001","sandr001","","","SB2","F","F",7,3,4,"F","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,2,0,0,"","","","","T","F","F","F","F","F","F","F","F","smitb001","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,3,"MON","CHN","MON",0,"F","F",0,0,0,2,2,"T","F",1,2,"T","T","durhl001","morek001","T","T",4,2,2,0,0,0,0,0,0,"fitzm001","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"","F","F","F","F",0,4,0,0,1,0,0,0,0,0,F,F1985MON.EVN.regular.event.csv",4

"MON198504190","CHN",1,0,1,0,0,"",0,0,"boslt001","?","boslt001","?","smitb001","?","smitb001","?","fitzm001","dried001","law-v001","wallt001","brooh001","raint001","winnh001","dawsa001","","sandr001","","T.2-H","F","F",7,3,22,"T","T",3,"F","F",0,"F","F",1,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",3,0,4,0,"","","","","F","F","F","F","F","F","F","F","F","","smitb001","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,4,"MON","CHN","MON",0,"F","F",0,0,0,2,2,"F","F",2,4,"T","T","durhl001","morek001","T","T",0,0,0,4,2,2,0,0,0,"","fitzm001","",0,0,0,0,0,0,0,0,0,0,0,0,1,"","F","F","F","F",0,0,4,0,0,0,0,0,0,0,F,F1985MON.EVN.regular.event.csv",5

"MON198504190","CHN",1,0,1,0,0,"",1,0,"durhl001","?","durhl001","?","smitb001","?","smitb001","?","fitzm001","dried001","law-v001","wallt001","brooh001","raint001","winnh001","dawsa001","","","boslt001","K","F","F",3,4,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,3,"2","","","","F","F","F","F","F","F","F","F","F","","","smitb001","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,5,"MON","CHN","MON",0,"F","F",1,0,1,3,3,"T","F",4,4,"T","T","morek001","cey-r001","T","T",0,0,0,0,0,0,7,3,4,"","","fitzm001",0,0,0,0,0,0,0,0,0,0,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F1985MON.EVN.regular.event.csv",6

"MON198504190","CHN",1,0,2,0,0,"",1,0,"morek001","?","morek001","?","smitb001","?","smitb001","?","fitzm001","dried001","law-v001","wallt001","brooh001","raint001","winnh001","dawsa001","","","boslt001","5","F","F",9,5,2,"T","T",0,"F","F",1,"F","F",0,"F","F",5,"F","F","F","",0,0,"N",0,"N",0,"N",0,0,0,3,"5","","","","F","F","F","F","F","F","F","F","F","","","smitb001","F","F","F","F","F","","","","",0,5,0,0,0,0,0,0,0,6,"MON","CHN","MON",0,"F","T",1,0,1,4,4,"T","F",4,4,"T","T","cey-r001","davij001","T","T",0,0,0,0,0,0,7,3,4,"","","fitzm001",0,0,0,0,0,0,0,0,0,0,0,0,0,"wallt001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F1985MON.EVN.regular.event.csv",7

"MON198504190","CHN",1,1,0,0,0,"",1,0,"raint001","?","raint001","?","sutcr001","?","sutcr001","?","davij001","durhl001","sandr001","cey-r001","dunss001","boslt001","dernb001","morek001","","","","43","T","F",7,1,2,"T","T",0,"F","F",1,"F","F",0,"F","F",4,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"43","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,4,0,0,0,0,7,"MON","MON","CHN",1,"T","F",0,1,0,0,0,"T","F",0,0,"T","T","winnh001","dawsa001","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"sandr001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F1985MON.EVN.regular.event.csv",8

"MON198504190","CHN",1,1,1,0,0,"",1,0,"winnh001","?","winnh001","?","sutcr001","?","sutcr001","?","davij001","durhl001","sandr001","cey-r001","dunss001","boslt001","dernb001","morek001","","","","6/L","F","F",8,2,2,"T","T",0,"F","F",1,"F","F",0,"F","F",6,"L","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"6","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,6,0,0,0,0,0,0,0,8,"MON","MON","CHN",1,"F","F",0,1,0,1,1,"T","F",0,0,"T","T","dawsa001","dried001","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"dunss001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F1985MON.EVN.regular.event.csv",9

