"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"MIL197004070",3,1,"rollr101",1,9,11,"kraul102",1,23
"MIL197004070",4,0,"gelnj101",1,9,1,"rollr101",11,28
"MIL197004070",4,0,"lauzg101",1,9,1,"gelnj101",1,32
"MIL197004070",4,0,"johnj002",0,4,11,"johna104",7,36
"MIL197004070",4,1,"johnj002",0,4,8,"johnj002",11,37
"MIL197004070",4,1,"repor101",0,6,7,"repor101",8,37
"MIL197004070",5,1,"savat101",1,9,11,"lauzg101",1,44
"MIL197004070",6,0,"meyeb102",1,9,1,"savat101",11,47
"MIL197004070",7,1,"valds101",1,9,11,"meyeb102",1,65
"MIL197004070",8,0,"morrj106",1,9,1,"valds101",11,66
"MIL197004080",7,1,"valds101",1,9,11,"pattm101",1,54
"MIL197004080",7,1,"goosg101",1,3,11,"hegam101",3,58
"MIL197004080",7,1,"may-r101",0,9,1,"murpt101",1,58
"MIL197004080",7,1,"kennj105",1,3,12,"goosg101",11,59
"MIL197004080",7,1,"tatuk101",0,9,1,"may-r101",1,59
"MIL197004080",8,0,"valds101",1,9,7,"valds101",11,61
"MIL197004080",8,0,"odonj101",1,4,1,"waltd101",7,61
"MIL197004080",8,0,"kennj105",1,3,3,"kennj105",12,61
"MIL197004080",8,0,"lockb102",1,4,1,"odonj101",1,65
"MIL197004160",3,1,"savat101",1,9,11,"kraul102",1,25
"MIL197004160",4,0,"gelnj101",1,9,1,"savat101",11,30
"MIL197004160",4,1,"kennj105",1,9,11,"gelnj101",1,41
"MIL197004160",5,0,"lauzg101",1,9,1,"kennj105",11,42
"MIL197004160",6,1,"nelsr101",0,9,1,"butlb101",1,55
"MIL197004160",6,1,"valds101",1,9,11,"lauzg101",1,58
"MIL197004160",7,0,"odonj101",1,9,1,"valds101",11,59
"MIL197004160",7,1,"fiorm101",0,2,3,"kirke102",3,64
"MIL197004160",7,1,"drabm101",0,9,1,"nelsr101",1,69
"MIL197004160",7,1,"snydr102",1,5,11,"comew101",9,69
"MIL197004160",8,0,"snydr102",1,5,8,"snydr102",11,72
"MIL197004160",8,0,"hovls101",1,2,9,"hovls101",8,72
"MIL197004160",8,0,"lockb102",1,6,1,"goosg101",3,77
"MIL197004160",8,0,"hegam101",1,9,3,"odonj101",1,77
"MIL197004160",9,0,"sprig101",0,7,11,"hernj102",6,84
"MIL197004160",9,1,"schap101",0,4,5,"olivb101",5,85
"MIL197004160",9,1,"sever101",0,7,6,"sprig101",11,85
"MIL197004180",2,1,"roung101",0,9,1,"wynnb102",1,24
"MIL197004180",3,0,"mccrt102",0,9,11,"roung101",1,32
"MIL197004180",3,1,"siskt101",0,9,1,"mccrt102",11,33
"MIL197004180",6,0,"chrib101",0,9,11,"siskt101",1,57
"MIL197004180",6,0,"gelnj101",1,9,1,"bolib101",1,61
"MIL197004180",6,1,"woodw103",0,9,1,"chrib101",11,63
"MIL197004180",7,0,"kennj105",1,1,4,"harpt101",4,66
"MIL197004180",7,0,"hopkg101",0,9,11,"woodw103",1,69
"MIL197004180",7,0,"lockb102",1,9,1,"gelnj101",1,71
"MIL197004180",7,1,"hopkg101",0,9,3,"hopkg101",11,75
"MIL197004180",7,1,"murpd105",0,3,1,"may-c101",7,75
"MIL197004180",7,1,"matij101",0,7,7,"matij101",3,75
"MIL197004180",8,1,"valds101",1,9,11,"lockb102",1,85
"MIL197004180",9,0,"odonj101",1,9,1,"valds101",11,86
"MIL197005050",6,1,"rollr101",1,9,11,"brabg101",1,45
"MIL197005050",7,0,"lockb102",1,9,1,"rollr101",11,47
"MIL197005050",9,1,"goosg101",1,9,11,"lockb102",1,68
"MIL197005050",9,1,"comew101",1,9,12,"goosg101",11,69
"MIL197005060",7,0,"schod101",0,7,11,"alval101",5,52
"MIL197005060",7,1,"schod101",0,7,5,"schod101",11,54
"MIL197005060",8,0,"derrm101",0,9,11,"peteg101",1,58
"MIL197005060",8,1,"phile103",0,9,1,"derrm101",11,63
"MIL197005060",8,1,"hegam101",1,6,11,"goosg101",3,64
"MIL197005060",9,0,"hegam101",1,6,3,"hegam101",11,68
