"GAME_ID","GAME_DT","GAME_CT","GAME_DY","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","AWAY_START_PIT_ID","HOME_START_PIT_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","BASE3_UMP_ID","LF_UMP_ID","RF_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","TRANSLATOR_RECORD_ID","INPUTTER_RECORD_ID","INPUT_RECORD_TS","EDIT_RECORD_TS","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","INN_CT","AWAY_SCORE_CT","HOME_SCORE_CT","AWAY_HITS_CT","HOME_HITS_CT","AWAY_ERR_CT","HOME_ERR_CT","AWAY_LOB_CT","HOME_LOB_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID","GWRBI_BAT_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD","AWAY_FINISH_PIT_ID","HOME_FINISH_PIT_ID","AWAY_TEAM_LEAGUE_ID","HOME_TEAM_LEAGUE_ID","AWAY_TEAM_GAME_CT","HOME_TEAM_GAME_CT","OUTS_CT","COMPLETION_TX","FORFEIT_TX","PROTEST_TX","AWAY_LINE_TX","HOME_LINE_TX","AWAY_AB_CT","AWAY_2B_CT","AWAY_3B_CT","AWAY_HR_CT","AWAY_BI_CT","AWAY_SH_CT","AWAY_SF_CT","AWAY_HP_CT","AWAY_BB_CT","AWAY_IBB_CT","AWAY_SO_CT","AWAY_SB_CT","AWAY_CS_CT","AWAY_GDP_CT","AWAY_XI_CT","AWAY_PITCHER_CT","AWAY_ER_CT","AWAY_TER_CT","AWAY_WP_CT","AWAY_BK_CT","AWAY_PO_CT","AWAY_A_CT","AWAY_PB_CT","AWAY_DP_CT","AWAY_TP_CT","HOME_AB_CT","HOME_2B_CT","HOME_3B_CT","HOME_HR_CT","HOME_BI_CT","HOME_SH_CT","HOME_SF_CT","HOME_HP_CT","HOME_BB_CT","HOME_IBB_CT","HOME_SO_CT","HOME_SB_CT","HOME_CS_CT","HOME_GDP_CT","HOME_XI_CT","HOME_PITCHER_CT","HOME_ER_CT","HOME_TER_CT","HOME_WP_CT","HOME_BK_CT","HOME_PO_CT","HOME_A_CT","HOME_PB_CT","HOME_DP_CT","HOME_TP_CT","UMP_HOME_NAME_TX","UMP_1B_NAME_TX","UMP_2B_NAME_TX","UMP_3B_NAME_TX","UMP_LF_NAME_TX","UMP_RF_NAME_TX","AWAY_MANAGER_ID","AWAY_MANAGER_NAME_TX","HOME_MANAGER_ID","HOME_MANAGER_NAME_TX","WIN_PIT_NAME_TX","LOSE_PIT_NAME_TX","SAVE_PIT_NAME_TX","GOAHEAD_RBI_ID","GOAHEAD_RBI_NAME_TX","AWAY_LINEUP1_BAT_NAME_TX","AWAY_LINEUP2_BAT_NAME_TX","AWAY_LINEUP3_BAT_NAME_TX","AWAY_LINEUP4_BAT_NAME_TX","AWAY_LINEUP5_BAT_NAME_TX","AWAY_LINEUP6_BAT_NAME_TX","AWAY_LINEUP7_BAT_NAME_TX","AWAY_LINEUP8_BAT_NAME_TX","AWAY_LINEUP9_BAT_NAME_TX","HOME_LINEUP1_BAT_NAME_TX","HOME_LINEUP2_BAT_NAME_TX","HOME_LINEUP3_BAT_NAME_TX","HOME_LINEUP4_BAT_NAME_TX","HOME_LINEUP5_BAT_NAME_TX","HOME_LINEUP6_BAT_NAME_TX","HOME_LINEUP7_BAT_NAME_TX","HOME_LINEUP8_BAT_NAME_TX","HOME_LINEUP9_BAT_NAME_TX","ADD_INFO_TX","ACQ_INFO_TX"
"KCA197104120","19710412",0,"Monday",0,"F","N","MIN","KCA","KAN05","blylb001","dragd101","barnl901","anthm901","malog901","soarh901","","",32728,"Royals","","Alan Boodman","1996/02/05 5:32PM","",0,0,84,0,-1,0,0,0,129,9,2,0,12,3,0,0,9,4,"blylb001","dragd101","","","tovac101",7,"carer001",4,"olivt102",9,"killh102",5,"reesr101",3,"holtj101",8,"cardl101",6,"mittg101",2,"blylb001",1,"patef101",6,"keouj101",9,"otisa001",8,"pinil001",7,"kirke102",2,"olivb101",3,"rojac101",4,"schap101",5,"dragd101",1,"","abert101","","",,,54,,,,010000100,000000000,36,4,0,0,2,0,0,1,1,1,4,0,2,1,0,1,0,0,0,0,27,11,0,1,0,28,1,0,0,0,1,0,0,2,0,3,0,0,0,0,3,2,2,0,0,27,15,0,1,0,,,,,,,,,,,"Bert Blyleven","Dick Drago","(none)","holtj101","Jim Holt","Cesar Tovar","Rod Carew","Tony Oliva","Harmon Killebrew","Rich Reese","Jim Holt","Leo Cardenas","George Mitterwald","Bert Blyleven","Freddie Patek","Joe Keough","Amos Otis","Lou Piniella","Ed Kirkpatrick","Bob Oliver","Cookie Rojas","Paul Schaal","Dick Drago",,
"KCA197104130","19710413",0,"Tuesday",0,"F","N","MIN","KCA","KAN05","barbs101","hedlm101","anthm901","malog901","soarh901","barnl901","","",6740,"Royals","","Alan Boodman","1996/02/06 10:19AM","",0,0,61,0,10,0,0,0,165,9,3,5,8,4,0,0,10,8,"hedlm101","wills102","abert101","","tovac101",7,"carer001",4,"olivt102",9,"killh102",5,"reesr101",3,"holtj101",8,"cardl101",6,"mittg101",2,"barbs101",1,"patef101",6,"keouj101",9,"otisa001",8,"pinil001",7,"kirke102",2,"olivb101",3,"rojac101",4,"schap101",5,"hedlm101",1,"perrr101","abert101","","",,,51,,,,100100010,00003020x,32,0,0,1,3,0,1,4,3,0,3,0,0,2,0,3,5,5,0,0,24,8,0,0,0,27,1,0,0,5,0,0,3,7,1,3,0,0,0,0,4,3,3,0,0,27,9,0,2,0,,,,,,,,,,,"Mike Hedlund","Stan Williams","Ted Abernathy","keouj101","Joe Keough","Cesar Tovar","Rod Carew","Tony Oliva","Harmon Killebrew","Rich Reese","Jim Holt","Leo Cardenas","George Mitterwald","Steve Barber","Freddie Patek","Joe Keough","Amos Otis","Lou Piniella","Ed Kirkpatrick","Bob Oliver","Cookie Rojas","Paul Schaal","Mike Hedlund",,
"KCA197104140","19710414",0,"Wednesday",0,"F","N","CAL","KCA","KAN05","wrigc102","rookj101","malog901","soarh901","barnl901","anthm901","","",6885,"Royals","","Alan Boodman","1996/02/07 8:15AM","",0,0,0,0,-1,0,0,0,148,9,4,1,8,6,1,1,6,5,"wrigc102","rookj101","queem102","","aloms101",4,"berrk101",8,"johna104",7,"conit101",9,"fregj101",6,"mcmuk101",5,"spenj101",3,"mosej101",2,"wrigc102",1,"patef101",6,"rojac101",4,"otisa001",8,"pinil001",7,"olivb101",3,"taylc102",9,"schap101",5,"may-j101",2,"rookj101",1,"queem102","fitza101","","",,,54,,,,000000400,000010000,33,2,0,0,4,2,0,0,2,1,1,0,0,0,0,2,0,0,0,0,27,14,0,1,0,32,0,0,0,1,1,0,0,0,0,5,0,0,1,0,4,4,4,0,0,27,15,0,1,0,,,,,,,,,,,"Clyde Wright","Jim Rooker","Mel Queen","gonzt101","Tony Gonzalez","Sandy Alomar","Ken Berry","Alex Johnson","Tony Conigliaro","Jim Fregosi","Ken McMullen","Jim Spencer","Jerry Moses","Clyde Wright","Freddie Patek","Cookie Rojas","Amos Otis","Lou Piniella","Bob Oliver","Carl Taylor","Paul Schaal","Jerry May","Jim Rooker",,
"KCA197104150","19710415",0,"Thursday",0,"F","N","CAL","KCA","KAN05","murpt101","dalcb101","soarh901","barnl901","anthm901","malog901","","",7510,"Royals","","Alan Boodman","1996/02/07 3:17PM","",0,0,78,0,17,0,0,0,210,11,5,2,11,11,1,0,10,9,"fishe102","yorkj101","allel101","","aloms101",4,"fregj101",6,"johna104",7,"conit101",9,"spenj101",3,"mcmuk101",5,"mosej101",2,"berrk101",8,"murpt101",1,"patef101",6,"kirke102",9,"otisa001",8,"pinil001",7,"olivb101",3,"rojac101",4,"schap101",5,"may-j101",2,"dalcb101",1,"allel101","yorkj101","","",,,66,,,,00100010003,00000000200,43,5,1,0,5,0,0,1,4,0,9,1,0,0,0,5,2,2,0,0,33,17,0,0,0,41,4,0,0,2,0,0,0,3,1,9,1,1,0,0,3,5,5,0,0,33,14,0,0,0,,,,,,,,,,,"Eddie Fisher","Jim York","Lloyd Allen","aloms101","Sandy Alomar","Sandy Alomar","Jim Fregosi","Alex Johnson","Tony Conigliaro","Jim Spencer","Ken McMullen","Jerry Moses","Ken Berry","Tom Murphy","Freddie Patek","Ed Kirkpatrick","Amos Otis","Lou Piniella","Bob Oliver","Cookie Rojas","Paul Schaal","Jerry May","Bruce DalCanton",,
"KCA197104230","19710423",0,"Friday",0,"F","N","CLE","KCA","KAN05","mcdos101","dragd101","hallb901","odonj901","umonf901","dimul901","","",7696,"Royals","","Alan Boodman","1996/02/15 10:31AM","",0,0,65,0,10,0,0,0,163,9,2,5,8,4,0,1,7,10,"dragd101","mcdos101","burgt001","","lowej001",4,"fostr101",9,"pinsv101",8,"fossr101",2,"nettg001",5,"harrk101",3,"uhlat101",7,"browl104",6,"mcdos101",1,"patef101",6,"rojac101",4,"pinil001",7,"olivb101",3,"paepd101",9,"schap101",5,"kirke102",8,"may-j101",2,"dragd101",1,"mings101","abert101","","",,,51,,,,001000100,00030002x,35,0,0,0,2,0,0,0,1,0,3,1,0,1,0,4,5,5,0,0,24,8,0,0,0,27,0,1,0,5,1,0,0,11,1,6,0,0,0,0,3,2,2,0,0,27,15,0,1,0,,,,,,,,,,,"Dick Drago","Sam McDowell","Tom Burgmeier","dragd101","Dick Drago","John Lowenstein","Roy Foster","Vada Pinson","Ray Fosse","Graig Nettles","Ken Harrelson","Ted Uhlaender","Larry Brown","Sam McDowell","Freddie Patek","Cookie Rojas","Lou Piniella","Bob Oliver","Dennis Paepke","Paul Schaal","Ed Kirkpatrick","Jerry May","Dick Drago",,
"KCA197104240","19710424",0,"Saturday",0,"F","D","CLE","KCA","KAN05","fosta101","hedlm101","odonj901","umonf901","dimul901","hallb901","","",7625,"Royals","","Alan Boodman","1996/02/16 5:18PM","",0,0,77,0,12,0,0,0,137,9,0,6,3,9,1,0,6,6,"hedlm101","fosta101","","","fordt102",9,"pinsv101",7,"fossr101",2,"nettg001",5,"harrk101",3,"lowej001",6,"leone102",4,"bradb105",8,"fosta101",1,"patef101",6,"rojac101",4,"kirke102",8,"pinil001",7,"olivb101",3,"schap101",5,"keouj101",9,"may-j101",2,"hedlm101",1,"mings101","","","",,,51,,,,000000000,01104000x,28,0,0,0,0,1,0,0,4,0,1,0,0,0,0,4,6,6,0,0,24,10,0,1,0,31,2,0,0,6,0,1,1,3,0,5,0,0,1,0,1,0,0,0,0,27,19,0,0,0,,,,,,,,,,,"Mike Hedlund","Alan Foster","(none)","may-j101","Jerry May","Ted Ford","Vada Pinson","Ray Fosse","Graig Nettles","Ken Harrelson","John Lowenstein","Eddie Leon","Buddy Bradford","Alan Foster","Freddie Patek","Cookie Rojas","Ed Kirkpatrick","Lou Piniella","Bob Oliver","Paul Schaal","Joe Keough","Jerry May","Mike Hedlund",,
"KCA197104250","19710425",0,"Sunday",0,"F","D","CLE","KCA","KAN05","hargs101","bunkw101","umonf901","dimul901","hallb901","odonj901","","",9648,"Royals","","Alan Boodman","1996/02/19 11:04AM","",0,0,61,0,9,0,4,0,129,9,4,6,10,9,0,0,4,3,"bunkw101","hargs101","wrigk101","","uhlat101",7,"pinsv101",8,"fossr101",2,"nettg001",5,"harrk101",3,"fostr101",9,"lowej001",6,"leone102",4,"hargs101",1,"patef101",6,"rojac101",4,"otisa001",8,"kirke102",7,"olivb101",3,"schap101",5,"keouj101",9,"may-j101",2,"bunkw101",1,"mings101","wrigk101","","",,,51,,,,000102100,60000000x,34,1,0,1,3,0,0,0,1,0,3,1,0,3,0,3,6,6,1,0,24,6,0,0,0,32,1,0,2,6,0,0,0,1,0,1,2,0,0,0,3,4,4,0,0,27,14,0,3,0,,,,,,,,,,,"Wally Bunker","Steve Hargan","Ken Wright","kirke102","Ed Kirkpatrick","Ted Uhlaender","Vada Pinson","Ray Fosse","Graig Nettles","Ken Harrelson","Roy Foster","John Lowenstein","Eddie Leon","Steve Hargan","Freddie Patek","Cookie Rojas","Amos Otis","Ed Kirkpatrick","Bob Oliver","Paul Schaal","Joe Keough","Jerry May","Wally Bunker",,
"KCA197104260","19710426",0,"Monday",0,"F","N","DET","KCA","KAN05","niekj001","rookj101","ricej901","kunkb101","lucir901","flahr901","","",6424,"Royals","","Alan Boodman","1996/02/20 4:02PM","",0,0,77,0,14,0,0,0,184,9,8,3,11,10,0,1,9,7,"niekj001","rookj101","zeppb101","","stanm101",8,"nortj101",3,"kalia101",9,"hortw101",7,"freeb103",2,"rodra101",5,"mcaud101",4,"brine101",6,"niekj001",1,"patef101",6,"rojac101",4,"otisa001",8,"kirke102",7,"olivb101",3,"schap101",5,"keouj101",9,"paepd101",2,"rookj101",1,"zeppb101","burgt001","","",,,54,,,,014000003,010002000,36,4,0,0,7,0,0,1,7,1,6,1,0,1,0,2,3,3,0,0,27,14,0,3,0,34,2,0,0,3,0,0,0,3,0,5,0,0,3,0,4,8,8,1,0,27,9,0,1,0,,,,,,,,,,,"Joe Niekro","Jim Rooker","Bill Zepp","kalia101","Al Kaline","Mickey Stanley","Jim Northrup","Al Kaline","Willie Horton","Bill Freehan","Aurelio Rodriguez","Dick McAuliffe","Ed Brinkman","Joe Niekro","Freddie Patek","Cookie Rojas","Amos Otis","Ed Kirkpatrick","Bob Oliver","Paul Schaal","Joe Keough","Dennis Paepke","Jim Rooker",,
"KCA197104270","19710427",0,"Tuesday",0,"F","N","DET","KCA","KAN05","chand102","dalcb101","kunkb101","lucir901","flahr901","ricej901","","",6275,"Royals","","Alan Boodman","1996/02/21 8:41AM","",0,0,0,0,-1,0,0,0,156,9,1,8,6,12,2,0,7,11,"dalcb101","chand102","","","mcaud101",4,"kalia101",9,"nortj101",8,"hortw101",7,"cashn101",3,"freeb103",2,"rodra101",5,"brine101",6,"chand102",1,"patef101",6,"rojac101",4,"otisa001",8,"kirke102",2,"olivb101",3,"pinil001",7,"keouj101",9,"schap101",5,"dalcb101",1,"boswd101","","","",,,51,,,,001000000,02000042x,31,0,1,0,1,1,0,0,3,0,5,0,0,0,0,3,7,7,0,1,24,12,1,0,0,35,0,1,1,6,2,1,1,4,0,7,1,0,0,0,1,1,1,1,0,27,12,0,1,0,,,,,,,,,,,"Bruce DalCanton","Dean Chance","(none)","schap101","Paul Schaal","Dick McAuliffe","Al Kaline","Jim Northrup","Willie Horton","Norm Cash","Bill Freehan","Aurelio Rodriguez","Ed Brinkman","Dean Chance","Freddie Patek","Cookie Rojas","Amos Otis","Ed Kirkpatrick","Bob Oliver","Lou Piniella","Joe Keough","Paul Schaal","Bruce DalCanton",,
"KCA197104280","19710428",0,"Wednesday",0,"F","N","DET","KCA","KAN05","lolim101","dragd101","lucir901","flahr901","ricej901","kunkb101","","",7006,"Royals","","Alan Boodman","1996/02/23 7:51AM","",0,0,62,0,12,0,0,0,163,10,2,1,8,10,0,0,6,10,"lolim101","abert101","","","mcaud101",4,"rodra101",5,"nortj101",8,"kalia101",9,"hortw101",7,"cashn101",3,"freeb103",2,"brine101",6,"lolim101",1,"patef101",6,"rojac101",4,"otisa001",8,"pinil001",7,"olivb101",3,"taylc102",9,"schap101",5,"kirke102",2,"dragd101",1,"","abert101","","",,,60,,,,0000000101,0000000100,35,1,0,0,2,0,1,0,2,0,7,0,1,1,0,1,1,1,0,0,30,12,0,0,0,38,0,0,0,1,1,0,0,2,0,8,0,1,0,0,2,2,2,0,0,30,15,0,1,0,,,,,,,,,,,"Mickey Lolich","Ted Abernathy","(none)","mcaud101","Dick McAuliffe","Dick McAuliffe","Aurelio Rodriguez","Jim Northrup","Al Kaline","Willie Horton","Norm Cash","Bill Freehan","Ed Brinkman","Mickey Lolich","Freddie Patek","Cookie Rojas","Amos Otis","Lou Piniella","Bob Oliver","Carl Taylor","Paul Schaal","Ed Kirkpatrick","Dick Drago",,
"KCA197104300","19710430",0,"Friday",0,"F","N","BAL","KCA","KAN05","dobsp101","hedlm101","flahr901","ricej901","kunkb101","lucir901","","",9432,"Orioles","","Alan Boodman","1996/02/26 9:16AM","",0,0,69,0,9,0,0,0,141,9,4,5,6,9,0,0,3,6,"abert101","duket101","","","bufod101",7,"blaip101",8,"poweb101",3,"robib104",5,"hende103",2,"johnd105",4,"rettm101",9,"belam101",6,"dobsp101",1,"patef101",6,"keouj101",9,"otisa001",8,"kirke102",2,"pinil001",7,"olivb101",3,"rojac101",4,"schap101",5,"hedlm101",1,"duket101","abert101","","",,,53,,,,200001001,103000001,28,2,0,0,4,1,1,0,4,0,2,0,0,2,0,2,5,5,1,0,26,14,0,0,0,35,1,0,0,5,0,0,0,2,0,4,3,0,0,0,4,4,4,0,0,27,15,0,2,0,,,,,,,,,,,"Ted Abernathy","Tom Dukes","(none)","patef101","Freddie Patek","Don Buford","Paul Blair","Boog Powell","Brooks Robinson","Ellie Hendricks","Dave Johnson","Merv Rettenmund","Mark Belanger","Pat Dobson","Freddie Patek","Joe Keough","Amos Otis","Ed Kirkpatrick","Lou Piniella","Bob Oliver","Cookie Rojas","Paul Schaal","Mike Hedlund",,
"KCA197105010","19710501",0,"Saturday",0,"F","D","BAL","KCA","KAN05","mcnad102","bunkw101","ricej901","kunkb101","lucir901","flahr901","","",8151,"Orioles","","Alan Boodman","1996/02/27 12:31PM","",0,0,66,0,9,0,0,0,149,9,2,5,7,11,0,0,9,8,"bunkw101","mcnad102","abert101","","bufod101",7,"johnd105",4,"poweb101",3,"robif103",9,"blaip101",8,"robib104",5,"etcha101",2,"belam101",6,"mcnad102",1,"patef101",6,"rojac101",4,"otisa001",8,"pinil001",7,"olivb101",3,"schap101",5,"taylc102",9,"kirke102",2,"bunkw101",1,"watte101","abert101","","",,,51,,,,000002000,00031010x,34,2,0,2,2,0,0,0,4,0,3,0,0,0,0,3,5,5,0,0,24,13,1,1,0,33,6,0,0,5,1,0,0,3,0,6,0,0,1,0,3,2,2,1,0,27,6,0,0,0,,,,,,,,,,,"Wally Bunker","Dave McNally","Ted Abernathy","pinil001","Lou Piniella","Don Buford","Dave Johnson","Boog Powell","Frank Robinson","Paul Blair","Brooks Robinson","Andy Etchebarren","Mark Belanger","Dave McNally","Freddie Patek","Cookie Rojas","Amos Otis","Lou Piniella","Bob Oliver","Paul Schaal","Carl Taylor","Ed Kirkpatrick","Wally Bunker",,
"KCA197105020","19710502",0,"Sunday",0,"F","D","BAL","KCA","KAN05","cuelm101","wrigk101","kunkb101","lucir901","flahr901","ricej901","","",29120,"Orioles","","Alan Boodman","1996/03/03 8:41AM","",0,0,57,0,12,0,0,0,145,9,5,3,7,10,0,2,9,9,"cuelm101","wrigk101","","","bufod101",7,"johnd105",4,"poweb101",3,"robif103",9,"blaip101",8,"robib104",5,"hende103",2,"belam101",6,"cuelm101",1,"patef101",6,"rojac101",4,"otisa001",8,"pinil001",7,"olivb101",3,"schap101",5,"taylc102",9,"kirke102",2,"wrigk101",1,"","burgt001","","",,,54,,,,010211000,000201000,32,2,0,1,4,2,1,0,6,1,10,2,0,0,0,1,3,3,1,0,27,10,0,0,0,35,1,1,0,3,1,1,0,2,0,3,0,0,0,0,4,4,4,0,0,27,6,0,0,0,,,,,,,,,,,"Mike Cuellar","Ken Wright","(none)","","(none)","Don Buford","Dave Johnson","Boog Powell","Frank Robinson","Paul Blair","Brooks Robinson","Ellie Hendricks","Mark Belanger","Mike Cuellar","Freddie Patek","Cookie Rojas","Amos Otis","Lou Piniella","Bob Oliver","Paul Schaal","Carl Taylor","Ed Kirkpatrick","Ken Wright",,
"KCA197105130","19710513",0,"Thursday",0,"F","N","OAK","KCA","KAN05","huntj101","bunkw101","odomj901","mccol901","sprim901","honoj901","","",9796,"Royals","","Alan Boodman","1996/04/12 2:40PM","",0,0,76,0,9,0,0,0,144,9,6,3,9,6,2,0,8,4,"huntj101","bunkw101","","","campb101",6,"rudij101",9,"epstm101",3,"davit103",7,"bands101",5,"mondr001",8,"duncd101",2,"greed102",4,"huntj101",1,"patef101",6,"keouj101",9,"otisa001",8,"hopkg101",3,"kirke102",7,"rojac101",4,"schap101",5,"may-j101",2,"bunkw101",1,"","yorkj101","","",,,54,,,,001050000,000200100,34,1,0,0,6,2,0,0,5,1,6,0,0,0,0,1,1,1,0,0,27,10,0,0,0,33,2,0,0,3,0,1,0,0,0,4,0,0,0,0,4,6,6,0,0,27,11,0,1,0,,,,,,,,,,,"Jim Hunter","Wally Bunker","(none)","epstm101","Mike Epstein","Bert Campaneris","Joe Rudi","Mike Epstein","Tommy Davis","Sal Bando","Rick Monday","Dave Duncan","Dick Green","Jim Hunter","Freddie Patek","Joe Keough","Amos Otis","Gail Hopkins","Ed Kirkpatrick","Cookie Rojas","Paul Schaal","Jerry May","Wally Bunker",,
"KCA197105140","19710514",0,"Friday",0,"F","N","OAK","KCA","KAN05","bluev001","wrigk101","mccol901","sprim901","honoj901","odomj901","","",21237,"Royals","","Alan Boodman","1996/04/13 10:31AM","",0,0,77,0,5,0,0,0,175,9,5,3,6,10,1,2,6,6,"lockb102","abert101","knowd101","","campb101",6,"rudij101",7,"jackr001",9,"epstm101",3,"bands101",5,"mondr001",8,"duncd101",2,"greed102",4,"bluev001",1,"patef101",6,"rojac101",4,"otisa001",8,"olivb101",3,"paepd101",9,"schap101",5,"savat101",7,"may-j101",2,"wrigk101",1,"knowd101","yorkj101","","",,,54,,,,000000005,001110000,27,0,0,0,5,1,0,0,10,0,7,2,0,5,0,3,3,3,1,0,27,16,0,3,0,32,2,1,0,3,1,1,0,2,1,5,1,0,2,0,5,5,5,0,0,27,17,1,6,0,,,,,,,,,,,"Bob Locker","Ted Abernathy","Darold Knowles","campb101","Bert Campaneris","Bert Campaneris","Joe Rudi","Reggie Jackson","Mike Epstein","Sal Bando","Rick Monday","Dave Duncan","Dick Green","Vida Blue","Freddie Patek","Cookie Rojas","Amos Otis","Bob Oliver","Dennis Paepke","Paul Schaal","Ted Savage","Jerry May","Ken Wright",,
"KCA197105150","19710515",0,"Saturday",0,"F","D","OAK","KCA","KAN05","fingr001","dalcb101","sprim901","honoj901","odomj901","mccol901","","",12667,"Royals","","Alan Boodman","1996/04/14 12:28PM","",0,0,81,0,14,0,0,0,170,9,4,5,7,8,0,3,8,8,"dalcb101","knowd101","abert101","","campb101",6,"rudij101",7,"jackr001",9,"epstm101",3,"bands101",5,"hovls101",8,"duncd101",2,"greed102",4,"fingr001",1,"patef101",6,"keouj101",9,"otisa001",8,"hopkg101",3,"kirke102",7,"rojac101",4,"schap101",5,"may-j101",2,"dalcb101",1,"lockb102","abert101","","",,,51,,,,001020010,00010040x,33,0,1,0,3,1,0,0,5,0,5,0,1,0,0,3,5,5,0,0,24,15,0,0,0,30,2,0,0,5,0,0,2,5,0,4,1,1,0,0,3,2,2,0,0,27,10,0,0,0,,,,,,,,,,,"Bruce DalCanton","Darold Knowles","Ted Abernathy","hopkg101","Gail Hopkins","Bert Campaneris","Joe Rudi","Reggie Jackson","Mike Epstein","Sal Bando","Steve Hovley","Dave Duncan","Dick Green","Rollie Fingers","Freddie Patek","Joe Keough","Amos Otis","Gail Hopkins","Ed Kirkpatrick","Cookie Rojas","Paul Schaal","Jerry May","Bruce DalCanton",,
"KCA197105161","19710516",1,"Sunday",0,"F","D","OAK","KCA","KAN05","dobsc101","dragd101","honoj901","odomj901","mccol901","sprim901","","",0,"Royals","","Alan Boodman","1996/04/18 1:16PM","",0,0,76,0,7,0,0,2,162,9,4,2,8,6,2,2,8,8,"dobsc101","rookj101","lockb102","","campb101",6,"rudij101",7,"jackr001",9,"epstm101",3,"bands101",5,"manga101",8,"duncd101",2,"greed102",4,"dobsc101",1,"patef101",6,"keouj101",9,"otisa001",8,"hopkg101",3,"kirke102",7,"rojac101",4,"schap101",5,"may-j101",2,"dragd101",1,"lockb102","yorkj101","","",,,54,,,,100100200,010001000,34,2,0,0,4,0,1,0,4,0,6,0,0,1,0,2,2,2,0,0,27,12,0,1,0,32,0,0,2,2,0,0,0,5,0,2,1,0,1,0,3,2,2,0,0,27,13,0,1,0,,,,,,,,,,,"Chuck Dobson","Jim Rooker","Bob Locker","campb101","Bert Campaneris","Bert Campaneris","Joe Rudi","Reggie Jackson","Mike Epstein","Sal Bando","Angel Mangual","Dave Duncan","Dick Green","Chuck Dobson","Freddie Patek","Joe Keough","Amos Otis","Gail Hopkins","Ed Kirkpatrick","Cookie Rojas","Paul Schaal","Jerry May","Dick Drago",,
"KCA197105162","19710516",2,"Sunday",0,"F","D","OAK","KCA","KAN05","odomj101","mccom103","odomj901","mccol901","sprim901","honoj901","","",21316,"Royals","","Alan Boodman","1996/04/18 1:37PM","",0,0,85,0,-1,0,0,0,174,9,4,10,11,12,0,1,7,6,"yorkj101","lockb102","abert101","","campb101",6,"rudij101",7,"jackr001",9,"davit103",3,"bands101",5,"manga101",8,"tenag101",2,"browl104",4,"odomj101",1,"patef101",6,"keouj101",9,"otisa001",8,"hopkg101",3,"kirke102",7,"rojac101",4,"schap101",5,"paepd101",2,"mccom103",1,"rolaj101","abert101","","",,,51,,,,300000100,02000044x,34,0,0,0,4,1,0,0,3,0,4,5,2,1,0,5,10,10,3,0,24,8,0,0,0,34,2,0,1,9,1,1,1,3,2,3,1,0,0,0,5,4,4,0,0,27,15,0,1,0,,,,,,,,,,,"Jim York","Bob Locker","Ted Abernathy","knoob101","Bobby Knoop","Bert Campaneris","Joe Rudi","Reggie Jackson","Tommy Davis","Sal Bando","Angel Mangual","Gene Tenace","Larry Brown","Johnny Odom","Freddie Patek","Joe Keough","Amos Otis","Gail Hopkins","Ed Kirkpatrick","Cookie Rojas","Paul Schaal","Dennis Paepke","Mike McCormick",,
