"GAME_ID","GAME_DT","GAME_CT","GAME_DY","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","AWAY_START_PIT_ID","HOME_START_PIT_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","BASE3_UMP_ID","LF_UMP_ID","RF_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","TRANSLATOR_RECORD_ID","INPUTTER_RECORD_ID","INPUT_RECORD_TS","EDIT_RECORD_TS","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","INN_CT","AWAY_SCORE_CT","HOME_SCORE_CT","AWAY_HITS_CT","HOME_HITS_CT","AWAY_ERR_CT","HOME_ERR_CT","AWAY_LOB_CT","HOME_LOB_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID","GWRBI_BAT_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD","AWAY_FINISH_PIT_ID","HOME_FINISH_PIT_ID","AWAY_TEAM_LEAGUE_ID","HOME_TEAM_LEAGUE_ID","AWAY_TEAM_GAME_CT","HOME_TEAM_GAME_CT","OUTS_CT","COMPLETION_TX","FORFEIT_TX","PROTEST_TX","AWAY_LINE_TX","HOME_LINE_TX","AWAY_AB_CT","AWAY_2B_CT","AWAY_3B_CT","AWAY_HR_CT","AWAY_BI_CT","AWAY_SH_CT","AWAY_SF_CT","AWAY_HP_CT","AWAY_BB_CT","AWAY_IBB_CT","AWAY_SO_CT","AWAY_SB_CT","AWAY_CS_CT","AWAY_GDP_CT","AWAY_XI_CT","AWAY_PITCHER_CT","AWAY_ER_CT","AWAY_TER_CT","AWAY_WP_CT","AWAY_BK_CT","AWAY_PO_CT","AWAY_A_CT","AWAY_PB_CT","AWAY_DP_CT","AWAY_TP_CT","HOME_AB_CT","HOME_2B_CT","HOME_3B_CT","HOME_HR_CT","HOME_BI_CT","HOME_SH_CT","HOME_SF_CT","HOME_HP_CT","HOME_BB_CT","HOME_IBB_CT","HOME_SO_CT","HOME_SB_CT","HOME_CS_CT","HOME_GDP_CT","HOME_XI_CT","HOME_PITCHER_CT","HOME_ER_CT","HOME_TER_CT","HOME_WP_CT","HOME_BK_CT","HOME_PO_CT","HOME_A_CT","HOME_PB_CT","HOME_DP_CT","HOME_TP_CT","UMP_HOME_NAME_TX","UMP_1B_NAME_TX","UMP_2B_NAME_TX","UMP_3B_NAME_TX","UMP_LF_NAME_TX","UMP_RF_NAME_TX","AWAY_MANAGER_ID","AWAY_MANAGER_NAME_TX","HOME_MANAGER_ID","HOME_MANAGER_NAME_TX","WIN_PIT_NAME_TX","LOSE_PIT_NAME_TX","SAVE_PIT_NAME_TX","GOAHEAD_RBI_ID","GOAHEAD_RBI_NAME_TX","AWAY_LINEUP1_BAT_NAME_TX","AWAY_LINEUP2_BAT_NAME_TX","AWAY_LINEUP3_BAT_NAME_TX","AWAY_LINEUP4_BAT_NAME_TX","AWAY_LINEUP5_BAT_NAME_TX","AWAY_LINEUP6_BAT_NAME_TX","AWAY_LINEUP7_BAT_NAME_TX","AWAY_LINEUP8_BAT_NAME_TX","AWAY_LINEUP9_BAT_NAME_TX","HOME_LINEUP1_BAT_NAME_TX","HOME_LINEUP2_BAT_NAME_TX","HOME_LINEUP3_BAT_NAME_TX","HOME_LINEUP4_BAT_NAME_TX","HOME_LINEUP5_BAT_NAME_TX","HOME_LINEUP6_BAT_NAME_TX","HOME_LINEUP7_BAT_NAME_TX","HOME_LINEUP8_BAT_NAME_TX","HOME_LINEUP9_BAT_NAME_TX","ADD_INFO_TX","ACQ_INFO_TX","FILENAME_TX","LINE_NUMBER_CT"
"BRO193304160","19330416",0,"Sunday",0,"F","D","NY1","BRO","NYC15","hubbc101","shauj101","quige901","pfirc901","(none)","barrg901","","",32000,"365","Comly","Comly","2012/03/08 6:59PM","",1,0,0,0,-1,0,0,0,180,15,1,1,11,10,0,2,11,4,"","","","","davik101",8,"crith101",4,"terrb101",3,"leibh101",7,"ott-m101",9,"vergj101",5,"mancg101",2,"ryanb101",6,"hubbc101",1,"tayld101",8,"strij101",5,"odoul101",7,"wilsh102",9,"cucct101",4,"flowj101",6,"bissd101",3,"lopea102",2,"shauj101",1,"bellh101","mungv101","","",,,84,,,,010000000000000,00000010000000x,51,2,0,0,1,1,0,0,2,0,4,0,0,0,0,3,1,1,0,0,42,19,0,2,0,46,0,1,0,1,1,0,0,0,0,8,0,2,1,0,2,0,0,0,0,42,15,1,0,0,,,,,,,,,,,"(none)","(none)","(none)","","(none)","Kiddo Davis","Hughie Critz","Bill Terry","Hank Leiber","Mel Ott","Johnny Vergez","Gus Mancuso","Blondy Ryan","Carl Hubbell","Danny Taylor","Joe Stripp","Lefty O'Doul","Hack Wilson","Tony Cuccinello","Jake Flowers","Del Bissonette","Al Lopez","Joe Shaute",,,"1933BRO.EVN.regular.game.csv",2
"BRO193304200","19330420",0,"Thursday",0,"F","D","PHI","BRO","NYC15","ellij103","clarw101","klemb901","stard901","(none)","(none)","","",22000,"98","","DWV","","",1,0,0,0,-1,0,0,0,145,9,10,2,13,4,3,2,12,10,"pearf101","clarw101","","","fullc101",8,"bartd101",6,"kleic101",9,"dugag101",3,"davis101",2,"lee-h101",7,"finnn101",4,"warnj101",5,"ellij103",1,"tayld101",8,"strij101",5,"odoul101",7,"wilsh102",9,"cucct101",4,"flowj101",6,"bissd101",3,"lopea102",2,"clarw101",1,"pearf101","lucar101","","",,,54,,,,032202001,000200000,37,5,1,0,7,4,0,2,6,0,3,2,1,0,0,2,1,1,0,0,27,11,0,1,0,30,0,0,0,2,0,0,0,9,0,1,0,0,0,0,4,9,9,0,0,27,15,0,0,0,,,,,,,,,,,"Frank Pearce","Watty Clark","(none)","ellij103","Jumbo Elliott","Chick Fullis","Dick Bartell","Chuck Klein","Gus Dugas","Spud Davis","Hal Lee","Neal Finn","Jack Warner","Jumbo Elliott","Danny Taylor","Joe Stripp","Lefty O'Doul","Hack Wilson","Tony Cuccinello","Jake Flowers","Del Bissonette","Al Lopez","Watty Clark",,,"1933BRO.EVN.regular.game.csv",3
"BRO193304220","19330422",0,"Saturday",0,"F","D","PHI","BRO","NYC15","rhemf101","carro101","stard901","klemb901","(none)","(none)","","",15000,"98","","DWV","","",1,0,0,0,-1,0,0,0,120,9,2,6,9,7,3,1,11,6,"carro101","rhemf101","","","fullc101",8,"bartd101",6,"kleic101",9,"dugag101",3,"davis101",2,"bricf101",7,"finnn101",4,"warnj101",5,"rhemf101",1,"tayld101",8,"strij101",5,"odoul101",7,"wilsh102",9,"cucct101",4,"flowj101",6,"bissd101",3,"sukec101",2,"carro101",1,"hanss101","","","",,,51,,,,100000100,20020200x,33,0,0,0,1,3,0,0,4,0,3,0,0,0,0,4,5,5,0,0,24,11,0,0,0,31,2,0,0,5,1,0,0,4,0,0,3,1,0,0,1,1,1,0,0,27,10,0,0,0,,,,,,,,,,,"Ownie Carroll","Flint Rhem","(none)","wilsh102","Hack Wilson","Chick Fullis","Dick Bartell","Chuck Klein","Gus Dugas","Spud Davis","Fred Brickell","Neal Finn","Jack Warner","Flint Rhem","Danny Taylor","Joe Stripp","Lefty O'Doul","Hack Wilson","Tony Cuccinello","Jake Flowers","Del Bissonette","Clyde Sukeforth","Ownie Carroll",,,"1933BRO.EVN.regular.game.csv",4
"BRO193304230","19330423",0,"Sunday",0,"F","D","BSN","BRO","NYC15","brane101","beckb104","klemb901","stard901","(none)","(none)","","",20000,"365","Comly","Comly","2012/03/08 9:21PM","",1,0,0,0,-1,0,0,0,90,9,2,1,8,3,0,0,5,3,"brane101","beckb104","","","marar101",4,"clare103",8,"urbab101",6,"jordb101",3,"schuw101",9,"hogas101",2,"holld101",7,"gysed101",5,"brane101",1,"tayld101",8,"strij101",5,"odoul101",7,"wilsh102",9,"cucct101",4,"wrigg102",6,"bissd101",3,"lopea102",2,"beckb104",1,"","bengr101","","",,,54,,,,002000000,000010000,31,2,1,0,2,2,0,0,1,0,1,0,1,1,0,1,1,1,0,0,27,6,0,0,0,30,2,0,0,1,0,0,0,1,0,5,0,0,0,0,2,2,2,0,0,27,10,0,1,0,,,,,,,,,,,"Ed Brandt","Boom-boom Beck","(none)","clare103","Earl Clark","Rabbit Maranville","Earl Clark","Billy Urbanski","Buck Jordan","Wes Schulmerich","Shanty Hogan","Dutch Holland","Richard Gyselman","Ed Brandt","Danny Taylor","Joe Stripp","Lefty O'Doul","Hack Wilson","Tony Cuccinello","Glenn Wright","Del Bissonette","Al Lopez","Boom-boom Beck",,,"1933BRO.EVN.regular.game.csv",5
"BRO193304260","19330426",0,"Wednesday",0,"F","D","BSN","BRO","NYC15","seibs101","carro101","barrg901","quige901","(none)","pfirc901","","",2800,"98","","DWV","","",1,0,0,0,-1,0,0,0,90,9,1,5,4,11,1,1,5,6,"carro101","seibs101","","","marar101",4,"clare103",7,"urbab101",6,"jordb101",3,"bergw101",8,"hogas101",2,"wortr102",9,"gysed101",5,"seibs101",1,"strij101",5,"tayld101",8,"odoul101",7,"fredj101",9,"cucct101",4,"wrigg102",6,"bissd101",3,"sukec101",2,"carro101",1,"franf101","","","",,,51,,,,000000100,02000111x,30,1,0,1,1,0,0,0,3,0,3,0,0,1,0,2,4,4,0,0,24,13,0,1,0,32,2,1,1,5,1,0,0,2,1,1,0,2,1,0,1,1,1,0,0,27,10,0,2,0,,,,,,,,,,,"Ownie Carroll","Socks Seibold","(none)","bissd101","Del Bissonette","Rabbit Maranville","Earl Clark","Billy Urbanski","Buck Jordan","Wally Berger","Shanty Hogan","Red Worthington","Richard Gyselman","Socks Seibold","Joe Stripp","Danny Taylor","Lefty O'Doul","Johnny Frederick","Tony Cuccinello","Glenn Wright","Del Bissonette","Clyde Sukeforth","Ownie Carroll",,,"1933BRO.EVN.regular.game.csv",6
"BRO193304270","19330427",0,"Thursday",0,"F","D","BSN","BRO","NYC15","brane101","beckb104","quige901","pfirc901","(none)","barrg901","","",3000,"98","","DWV","","",1,0,0,0,-1,0,0,0,83,9,0,1,7,4,0,1,8,4,"beckb104","brane101","","","urbab101",6,"jordb101",3,"wortr102",9,"bergw101",8,"hogas101",2,"gysed101",5,"clare103",7,"marar101",4,"brane101",1,"strij101",5,"tayld101",8,"odoul101",7,"fredj101",9,"cucct101",4,"wrigg102",6,"bissd101",3,"lopea102",2,"beckb104",1,"","","","",,,51,,,,000000000,01000000x,33,1,0,0,0,0,0,0,2,0,3,0,0,1,0,1,1,1,0,0,24,7,0,0,0,26,0,0,0,1,2,0,0,1,0,4,0,0,0,0,1,0,0,0,0,27,6,0,1,0,,,,,,,,,,,"Boom-boom Beck","Ed Brandt","(none)","bissd101","Del Bissonette","Billy Urbanski","Buck Jordan","Red Worthington","Wally Berger","Shanty Hogan","Richard Gyselman","Earl Clark","Rabbit Maranville","Ed Brandt","Joe Stripp","Danny Taylor","Lefty O'Doul","Johnny Frederick","Tony Cuccinello","Glenn Wright","Del Bissonette","Al Lopez","Boom-boom Beck",,,"1933BRO.EVN.regular.game.csv",7
"BRO193304290","19330429",0,"Saturday",0,"F","D","NY1","BRO","NYC15","fitzf101","bengr101","stard901","klemb901","(none)","(none)","","",27000,"98","","DWV","","",1,0,0,0,-1,0,0,0,110,9,2,1,8,6,1,0,4,9,"fitzf101","bengr101","luqud101","","davik101",8,"crith101",4,"ott-m101",9,"lesls101",3,"moorj103",7,"vergj101",5,"mancg101",2,"ryanb101",6,"fitzf101",1,"strij101",5,"tayld101",8,"odoul101",7,"fredj101",9,"cucct101",4,"wrigg102",6,"bissd101",3,"sukec101",2,"bengr101",1,"luqud101","shauj101","","",,,54,,,,010001000,010000000,32,2,0,0,2,0,0,0,1,0,3,0,1,1,0,2,0,0,1,0,27,18,0,1,0,33,0,0,0,0,0,0,0,4,0,0,0,1,1,0,2,2,2,0,0,27,7,0,2,0,,,,,,,,,,,"Freddie Fitzsimmons","Ray Benge","Dolf Luque","lesls101","Sam Leslie","Kiddo Davis","Hughie Critz","Mel Ott","Sam Leslie","Jo-jo Moore","Johnny Vergez","Gus Mancuso","Blondy Ryan","Freddie Fitzsimmons","Joe Stripp","Danny Taylor","Lefty O'Doul","Johnny Frederick","Tony Cuccinello","Glenn Wright","Del Bissonette","Clyde Sukeforth","Ray Benge",,,"1933BRO.EVN.regular.game.csv",8
"BRO193304300","19330430",0,"Sunday",0,"F","D","PHI","BRO","NYC15","holle101","carro101","klemb901","stard901","(none)","(none)","","",18000,"365","Comly","Comly","2012/03/08 11:16PM","",1,0,0,0,-1,0,0,0,130,9,3,6,6,7,1,2,5,7,"carro101","holle101","clarw101","","fullc101",8,"bartd101",6,"kleic101",9,"lee-h101",7,"davis101",2,"finnn101",4,"dugag101",3,"warnj101",5,"holle101",1,"strij101",5,"tayld101",8,"odoul101",7,"fredj101",9,"wrigg102",6,"cucct101",4,"bissd101",3,"sukec101",2,"carro101",1,"grabr101","clarw101","","",,,51,,,,001001001,00000600x,32,1,0,0,2,0,0,0,3,0,2,2,0,0,0,4,6,6,1,0,24,11,0,0,0,30,1,0,1,5,1,0,1,5,0,4,0,0,0,0,2,1,1,0,0,27,10,0,1,0,,,,,,,,,,,"Ownie Carroll","Ed Holley","Watty Clark","bissd101","Del Bissonette","Chick Fullis","Dick Bartell","Chuck Klein","Hal Lee","Spud Davis","Neal Finn","Gus Dugas","Jack Warner","Ed Holley","Joe Stripp","Danny Taylor","Lefty O'Doul","Johnny Frederick","Glenn Wright","Tony Cuccinello","Del Bissonette","Clyde Sukeforth","Ownie Carroll",,,"1933BRO.EVN.regular.game.csv",9
"BRO193305020","19330502",0,"Tuesday",0,"F","D","SLN","BRO","NYC15","deand102","beckb104","rearb901","mageg901","(none)","(none)","","",8000,"98","","DWV","","",1,0,0,0,-1,0,0,0,137,9,13,4,14,10,0,2,7,6,"deand102","beckb104","","","martp103",5,"frisf101",6,"crawp101",3,"hornr101",4,"allee101",8,"medwj101",7,"crabe101",9,"wilsj105",2,"deand102",1,"strij101",5,"tayld101",8,"odoul101",7,"fredj101",9,"wrigg102",6,"cucct101",4,"bissd101",3,"sukec101",2,"beckb104",1,"","lucar101","","",,,54,,,,002212321,100000030,38,0,1,2,12,0,0,2,7,0,1,2,2,1,0,1,4,4,0,0,27,6,0,0,0,37,2,0,1,4,0,0,0,0,0,7,0,0,0,0,3,12,12,1,0,27,16,0,2,0,,,,,,,,,,,"Dizzy Dean","Boom-boom Beck","(none)","wilsj105","Jimmy Wilson","Pepper Martin","Frankie Frisch","Pat Crawford","Rogers Hornsby","Ethan Allen","Joe Medwick","Estel Crabtree","Jimmy Wilson","Dizzy Dean","Joe Stripp","Danny Taylor","Lefty O'Doul","Johnny Frederick","Glenn Wright","Tony Cuccinello","Del Bissonette","Clyde Sukeforth","Boom-boom Beck",,,"1933BRO.EVN.regular.game.csv",10
"BRO193305040","19330504",0,"Thursday",0,"F","D","PIT","BRO","NYC15","meinh101","clarw101","mageg901","rearb901","(none)","(none)","","",12000,"98","","DWV","","",1,0,0,0,-1,0,0,0,128,10,2,1,8,6,0,0,4,8,"meinh101","clarw101","","","wanel101",7,"lindf101",8,"wanep101",9,"trayp101",5,"suhrg101",3,"vauga101",6,"piett101",4,"finnh101",2,"meinh101",1,"strij101",5,"fredj101",9,"odoul101",7,"wilsh102",8,"wrigg102",6,"cucct101",4,"bissd101",3,"lopea102",2,"clarw101",1,"","","","",,,60,,,,0000000101,0100000000,36,2,1,0,2,0,0,0,0,0,2,0,2,0,0,1,1,1,0,0,30,12,1,0,0,35,0,0,0,1,1,0,1,2,0,4,1,0,0,0,1,2,2,0,0,30,16,0,0,0,,,,,,,,,,,"Heinie Meine","Watty Clark","(none)","finnh101","Hal Finney","Lloyd Waner","Freddy Lindstrom","Paul Waner","Pie Traynor","Gus Suhr","Arky Vaughan","Tony Piet","Hal Finney","Heinie Meine","Joe Stripp","Johnny Frederick","Lefty O'Doul","Hack Wilson","Glenn Wright","Tony Cuccinello","Del Bissonette","Al Lopez","Watty Clark",,,"1933BRO.EVN.regular.game.csv",11
"BRO193305050","19330505",0,"Friday",0,"F","D","PIT","BRO","NYC15","swifb101","mungv101","riglc901","barrg901","(none)","stard901","","",4000,"98","","DWV","","",1,0,0,0,-1,0,0,0,110,9,4,2,8,7,0,1,8,4,"swifb101","mungv101","","","wanel101",7,"lindf101",8,"wanep101",9,"trayp101",5,"suhrg101",3,"vauga101",6,"piett101",4,"grace101",2,"swifb101",1,"strij101",5,"fredj101",9,"odoul101",7,"wilsh102",8,"wrigg102",6,"cucct101",4,"bissd101",3,"outec101",2,"mungv101",1,"","bengr101","","",,,54,,,,101020000,020000000,34,0,1,0,4,0,0,0,5,0,0,1,0,0,0,1,2,2,0,0,27,9,0,1,0,32,0,1,0,2,0,0,0,1,0,2,0,0,1,0,3,4,4,1,0,27,16,1,0,0,,,,,,,,,,,"Bill Swift","Van Mungo","(none)","trayp101","Pie Traynor","Lloyd Waner","Freddy Lindstrom","Paul Waner","Pie Traynor","Gus Suhr","Arky Vaughan","Tony Piet","Earl Grace","Bill Swift","Joe Stripp","Johnny Frederick","Lefty O'Doul","Hack Wilson","Glenn Wright","Tony Cuccinello","Del Bissonette","Chink Outen","Van Mungo",,,"1933BRO.EVN.regular.game.csv",12
"BRO193305071","19330507",1,"Sunday",0,"F","D","SLN","BRO","NYC15","deand102","thurs101","barrg901","stard901","(none)","riglc901","","",0,"","Comly","Comly","2012/03/09 12:33AM","",0,0,0,0,-1,0,0,0,140,9,12,5,17,11,0,5,11,6,"deand102","thurs101","","","martp103",5,"frisf101",4,"crawp101",3,"medwj101",7,"allee101",8,"watkg101",9,"wilsj105",2,"durol101",6,"deand102",1,"strij101",5,"fredj101",9,"odoul101",7,"wilsh102",8,"wrigg102",6,"cucct101",4,"bissd101",3,"piciv101",2,"thurs101",1,"","ryanr101","","",,,54,,,,201030033,110200100,43,4,0,1,11,2,0,2,3,0,2,1,1,1,0,1,5,5,0,0,27,8,0,1,0,37,2,1,0,5,0,0,0,1,0,6,0,0,1,0,3,8,8,0,0,27,9,0,1,0,,,,,,,,,,,"Dizzy Dean","Sloppy Thurston","(none)","wilsj105","Jimmy Wilson","Pepper Martin","Frankie Frisch","Pat Crawford","Joe Medwick","Ethan Allen","George Watkins","Jimmy Wilson","Leo Durocher","Dizzy Dean","Joe Stripp","Johnny Frederick","Lefty O'Doul","Hack Wilson","Glenn Wright","Tony Cuccinello","Del Bissonette","Val Picinich","Sloppy Thurston",,,"1933BRO.EVN.regular.game.csv",13
"BRO193305072","19330507",2,"Sunday",0,"F","D","SLN","BRO","NYC15","vancd101","carro101","stard901","riglc901","(none)","barrg901","","",35000,"365","Comly","Comly","2012/03/09 1:18AM","",0,0,0,0,-1,0,0,0,110,9,2,4,10,6,1,0,9,3,"carro101","hallb104","","","martp103",5,"frisf101",4,"crawp101",3,"medwj101",7,"allee101",8,"watkg101",9,"wilsj105",2,"durol101",6,"vancd101",1,"strij101",5,"fredj101",9,"odoul101",7,"rosem101",8,"flowj101",6,"cucct101",4,"bissd101",3,"sukec101",2,"carro101",1,"hainj101","","","",,,51,,,,010000100,00020020x,35,1,0,0,2,0,0,1,2,0,2,0,0,2,0,3,3,3,0,0,24,16,0,1,0,25,2,0,0,3,2,0,0,4,1,1,1,2,1,0,1,2,2,0,0,27,14,0,2,0,,,,,,,,,,,"Ownie Carroll","Bill Hallahan","(none)","cucct101","Tony Cuccinello","Pepper Martin","Frankie Frisch","Pat Crawford","Joe Medwick","Ethan Allen","George Watkins","Jimmy Wilson","Leo Durocher","Dazzy Vance","Joe Stripp","Johnny Frederick","Lefty O'Doul","Max Rosenfeld","Jake Flowers","Tony Cuccinello","Del Bissonette","Clyde Sukeforth","Ownie Carroll",,,"1933BRO.EVN.regular.game.csv",14
"BRO193305110","19330511",0,"Thursday",0,"F","D","CIN","BRO","NYC15","derrp101","bengr101","mcgrt901","pfirc901","(none)","(none)","","",3000,"98","","DWV","","",1,0,0,0,-1,0,0,0,121,9,6,7,10,12,0,0,5,9,"shauj101","derrp101","","","adams101",5,"grang102",4,"bottj101",3,"hafec101",7,"moorj104",8,"riceh101",9,"lombe101",2,"morrj102",6,"derrp101",1,"strij101",5,"tayld101",8,"odoul101",7,"fredj101",9,"flowj101",6,"cucct101",4,"bissd101",3,"sukec101",2,"bengr101",1,"","shauj101","","",,,52,,,,003110010,202000102,36,0,0,1,6,0,0,0,2,0,7,1,0,0,0,1,7,7,1,0,25,12,3,1,0,34,0,0,1,7,1,0,0,6,1,1,0,1,1,0,2,6,6,0,1,27,8,0,1,0,,,,,,,,,,,"Joe Shaute","Paul Derringer","(none)","flowj101","Jake Flowers","Sparky Adams","George Grantham","Jim Bottomley","Chick Hafey","Johnny Moore","Harry Rice","Ernie Lombardi","Jo-Jo Morrissey","Paul Derringer","Joe Stripp","Danny Taylor","Lefty O'Doul","Johnny Frederick","Jake Flowers","Tony Cuccinello","Del Bissonette","Clyde Sukeforth","Ray Benge",,,"1933BRO.EVN.regular.game.csv",15
"BRO193305120","19330512",0,"Friday",0,"F","D","CIN","BRO","NYC15","smitb110","beckb104","pfirc901","mcgrt901","(none)","(none)","","",14000,"98","","DWV","","",1,0,0,0,-1,0,0,0,115,9,7,3,9,11,0,0,6,8,"smitb110","beckb104","","","adams101",5,"grang102",4,"bottj101",3,"hafec101",7,"moorj104",8,"riceh101",9,"lombe101",2,"morrj102",6,"smitb110",1,"strij101",5,"tayld101",8,"odoul101",7,"fredj101",9,"flowj101",6,"cucct101",4,"bissd101",3,"sukec101",2,"beckb104",1,"","heimf101","","",,,54,,,,600000001,010100100,35,3,0,2,7,1,0,0,4,0,3,0,0,0,0,1,3,3,0,0,27,11,0,1,0,37,1,2,1,3,0,0,0,1,0,1,0,0,0,0,2,7,7,0,1,27,6,0,0,0,,,,,,,,,,,"Bob Smith","Boom-boom Beck","(none)","hafec101","Chick Hafey","Sparky Adams","George Grantham","Jim Bottomley","Chick Hafey","Johnny Moore","Harry Rice","Ernie Lombardi","Jo-Jo Morrissey","Bob Smith","Joe Stripp","Danny Taylor","Lefty O'Doul","Johnny Frederick","Jake Flowers","Tony Cuccinello","Del Bissonette","Clyde Sukeforth","Boom-boom Beck",,,"1933BRO.EVN.regular.game.csv",16
"BRO193305130","19330513",0,"Saturday",0,"F","D","CIN","BRO","NYC15","kolpr101","carro101","mcgrt901","pfirc901","(none)","(none)","","",8000,"98","","DWV","","",1,0,0,0,-1,0,0,0,111,10,1,1,6,3,1,1,5,7,"","","","","adams101",5,"grang102",4,"bottj101",3,"hafec101",7,"moorj104",8,"riceh101",9,"lombe101",2,"morrj102",6,"kolpr101",1,"strij101",5,"tayld101",8,"odoul101",7,"fredj101",9,"flowj101",6,"cucct101",4,"bissd101",3,"sukec101",2,"carro101",1,"bentl101","","","",,,60,,,,1000000000,0000010000,33,0,0,0,1,1,0,0,2,0,2,0,0,2,0,2,0,0,0,0,30,14,0,0,0,32,1,0,0,1,2,0,1,3,0,1,0,0,0,0,1,0,0,0,0,30,18,0,2,0,,,,,,,,,,,"(none)","(none)","(none)","","(none)","Sparky Adams","George Grantham","Jim Bottomley","Chick Hafey","Johnny Moore","Harry Rice","Ernie Lombardi","Jo-Jo Morrissey","Ray Kolp","Joe Stripp","Danny Taylor","Lefty O'Doul","Johnny Frederick","Jake Flowers","Tony Cuccinello","Del Bissonette","Clyde Sukeforth","Ownie Carroll",,,"1933BRO.EVN.regular.game.csv",17
"BRO193305140","19330514",0,"Sunday",0,"F","D","PHI","BRO","NYC15","pearf101","beckb104","pfirc901","mcgrt901","(none)","(none)","","",12000,"365","Comly","Comly","2012/03/09 2:14AM","",0,0,0,0,-1,0,4,0,165,9,6,8,11,10,2,1,7,9,"thurs101","collp102","","","fullc101",8,"bartd101",6,"kleic101",9,"davis101",2,"hursd101",3,"cohea102",7,"whitp103",5,"finnn101",4,"pearf101",1,"strij101",5,"tayld101",8,"odoul101",7,"fredj101",9,"flowj101",6,"cucct101",4,"bissd101",3,"sukec101",2,"beckb104",1,"liska101","thurs101","","",,,51,,,,003000120,201001004,37,0,0,0,6,0,0,1,2,0,3,0,0,1,0,4,7,7,0,0,24,7,0,0,0,34,0,0,2,8,1,0,0,6,1,3,1,0,0,0,4,6,6,0,0,27,12,0,1,0,,,,,,,,,,,"Sloppy Thurston","Phil Collins","(none)","wilsh102","Hack Wilson","Chick Fullis","Dick Bartell","Chuck Klein","Spud Davis","Don Hurst","Alta Cohen","Pinky Whitney","Neal Finn","Frank Pearce","Joe Stripp","Danny Taylor","Lefty O'Doul","Johnny Frederick","Jake Flowers","Tony Cuccinello","Del Bissonette","Clyde Sukeforth","Boom-boom Beck",,,"1933BRO.EVN.regular.game.csv",18
"BRO193305280","19330528",0,"Sunday",0,"F","D","NY1","BRO","NYC15","hubbc101","carro101","mageg901","rearb901","(none)","(none)","","",15000,"365","Comly","Comly","2012/03/10 2:02AM","",0,0,0,0,-1,0,0,0,118,9,4,5,9,13,1,1,4,6,"carro101","hubbc101","thurs101","","moorj103",7,"jameb104",4,"ott-m101",9,"lesls101",3,"davik101",8,"vergj101",5,"mancg101",2,"ryanb101",6,"hubbc101",1,"tayld101",8,"fredj101",9,"strij101",5,"wilsh102",7,"cucct101",4,"jordj101",6,"bissd101",3,"lopea102",2,"carro101",1,"speng101","thurs101","","",,,51,,,,000000040,10102010x,34,0,1,1,4,0,0,0,1,0,1,0,0,3,0,3,5,5,0,0,24,14,0,0,0,34,4,0,1,5,1,0,0,0,0,3,0,0,0,0,2,4,4,0,0,27,17,0,3,0,,,,,,,,,,,"Ownie Carroll","Carl Hubbell","Sloppy Thurston","strij101","Joe Stripp","Jo-jo Moore","Bernie James","Mel Ott","Sam Leslie","Kiddo Davis","Johnny Vergez","Gus Mancuso","Blondy Ryan","Carl Hubbell","Danny Taylor","Johnny Frederick","Joe Stripp","Hack Wilson","Tony Cuccinello","Jimmy Jordan","Del Bissonette","Al Lopez","Ownie Carroll",,,"1933BRO.EVN.regular.game.csv",19
