"GAME_ID","AWAY_TEAM_ID","INN_CT","BAT_HOME_ID","OUTS_CT","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","AWAY_SCORE_CT","HOME_SCORE_CT","BAT_ID","BAT_HAND_CD","RESP_BAT_ID","RESP_BAT_HAND_CD","PIT_ID","PIT_HAND_CD","RESP_PIT_ID","RESP_PIT_HAND_CD","POS2_FLD_ID","POS3_FLD_ID","POS4_FLD_ID","POS5_FLD_ID","POS6_FLD_ID","POS7_FLD_ID","POS8_FLD_ID","POS9_FLD_ID","BASE1_RUN_ID","BASE2_RUN_ID","BASE3_RUN_ID","EVENT_TX","LEADOFF_FL","PH_FL","BAT_FLD_CD","BAT_LINEUP_ID","EVENT_CD","BAT_EVENT_FL","AB_FL","H_CD","SH_FL","SF_FL","EVENT_OUTS_CT","DP_FL","TP_FL","RBI_CT","WP_FL","PB_FL","FLD_CD","BATTEDBALL_CD","BUNT_FL","FOUL_FL","BATTEDBALL_LOC_TX","ERR_CT","ERR1_FLD_CD","ERR1_CD","ERR2_FLD_CD","ERR2_CD","ERR3_FLD_CD","ERR3_CD","BAT_DEST_ID","RUN1_DEST_ID","RUN2_DEST_ID","RUN3_DEST_ID","BAT_PLAY_TX","RUN1_PLAY_TX","RUN2_PLAY_TX","RUN3_PLAY_TX","RUN1_SB_FL","RUN2_SB_FL","RUN3_SB_FL","RUN1_CS_FL","RUN2_CS_FL","RUN3_CS_FL","RUN1_PK_FL","RUN2_PK_FL","RUN3_PK_FL","RUN1_RESP_PIT_ID","RUN2_RESP_PIT_ID","RUN3_RESP_PIT_ID","GAME_NEW_FL","GAME_END_FL","PR_RUN1_FL","PR_RUN2_FL","PR_RUN3_FL","REMOVED_FOR_PR_RUN1_ID","REMOVED_FOR_PR_RUN2_ID","REMOVED_FOR_PR_RUN3_ID","REMOVED_FOR_PH_BAT_ID","REMOVED_FOR_PH_BAT_FLD_CD","PO1_FLD_CD","PO2_FLD_CD","PO3_FLD_CD","ASS1_FLD_CD","ASS2_FLD_CD","ASS3_FLD_CD","ASS4_FLD_CD","ASS5_FLD_CD","EVENT_ID","HOME_TEAM_ID","BAT_TEAM_ID","FLD_TEAM_ID","BAT_LAST_ID","INN_NEW_FL","INN_END_FL","START_BAT_SCORE_CT","START_FLD_SCORE_CT","INN_RUNS_CT","GAME_PA_CT","INN_PA_CT","PA_NEW_FL","PA_TRUNC_FL","START_BASES_CD","END_BASES_CD","BAT_START_FL","RESP_BAT_START_FL","BAT_ON_DECK_ID","BAT_IN_HOLD_ID","PIT_START_FL","RESP_PIT_START_FL","RUN1_FLD_CD","RUN1_LINEUP_CD","RUN1_ORIGIN_EVENT_ID","RUN2_FLD_CD","RUN2_LINEUP_CD","RUN2_ORIGIN_EVENT_ID","RUN3_FLD_CD","RUN3_LINEUP_CD","RUN3_ORIGIN_EVENT_ID","RUN1_RESP_CAT_ID","RUN2_RESP_CAT_ID","RUN3_RESP_CAT_ID","PA_BALL_CT","PA_CALLED_BALL_CT","PA_INTENT_BALL_CT","PA_PITCHOUT_BALL_CT","PA_HITBATTER_BALL_CT","PA_OTHER_BALL_CT","PA_STRIKE_CT","PA_CALLED_STRIKE_CT","PA_SWINGMISS_STRIKE_CT","PA_FOUL_STRIKE_CT","PA_INPLAY_STRIKE_CT","PA_OTHER_STRIKE_CT","EVENT_RUNS_CT","FLD_ID","BASE2_FORCE_FL","BASE3_FORCE_FL","BASE4_FORCE_FL","BAT_SAFE_ERR_FL","BAT_FATE_ID","RUN1_FATE_ID","RUN2_FATE_ID","RUN3_FATE_ID","FATE_RUNS_CT","ASS6_FLD_CD","ASS7_FLD_CD","ASS8_FLD_CD","ASS9_FLD_CD","ASS10_FLD_CD","UNKNOWN_OUT_EXC_FL","UNCERTAIN_PLAY_EXC_FL","FILENAME_TX","LINE_NUMBER_CT"
"ANA201604040","CHN",1,0,0,1,0,"BX",0,0,"fowld001","?","fowld001","?","richg002","?","richg002","?","perec003","cronc002","giavj001","escoy001","simma001","navad002","troum001","calhk001","","","","D9/G+","T","F",8,1,21,"T","T",2,"F","F",0,"F","F",0,"F","F",9,"G","F","F","",0,0,"N",0,"N",0,"N",2,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","T","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,1,"ANA","CHN","ANA",0,"T","F",0,0,0,0,0,"T","F",0,2,"T","T","heywj001","zobrb001","T","T",0,0,0,0,0,0,0,0,0,"","","",1,1,0,0,0,0,1,0,0,0,1,0,0,"calhk001","F","F","F","F",4,0,0,0,1,0,0,0,0,0,F,F,"2016ANA.EVA.regular.event.csv",2
"ANA201604040","CHN",1,0,0,0,0,"X",0,0,"heywj001","?","heywj001","?","richg002","?","richg002","?","perec003","cronc002","giavj001","escoy001","simma001","navad002","troum001","calhk001","","fowld001","","63/G.2-3","F","F",9,2,2,"T","T",0,"F","F",1,"F","F",0,"F","F",6,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,3,0,"63","","","","F","F","F","F","F","F","F","F","F","","richg002","","F","F","F","F","F","","","","",0,3,0,0,6,0,0,0,0,2,"ANA","CHN","ANA",0,"F","F",0,0,0,1,1,"T","F",2,4,"T","T","zobrb001","rizza001","T","T",0,0,0,8,1,1,0,0,0,"","perec003","",0,0,0,0,0,0,1,0,0,0,1,0,0,"simma001","F","F","F","F",0,0,4,0,1,0,0,0,0,0,F,F,"2016ANA.EVA.regular.event.csv",3
"ANA201604040","CHN",1,0,1,0,2,"SFS",0,0,"zobrb001","?","zobrb001","?","richg002","?","richg002","?","perec003","cronc002","giavj001","escoy001","simma001","navad002","troum001","calhk001","","","fowld001","K","F","F",4,3,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,3,"2","","","","F","F","F","F","F","F","F","F","F","","","richg002","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,3,"ANA","CHN","ANA",0,"F","F",0,0,0,2,2,"T","F",4,4,"T","T","rizza001","bryak001","T","T",0,0,0,0,0,0,8,1,1,"","","perec003",0,0,0,0,0,0,3,0,2,1,0,0,0,"","F","F","F","F",0,0,0,4,1,0,0,0,0,0,F,F,"2016ANA.EVA.regular.event.csv",4
"ANA201604040","CHN",1,0,2,1,1,"BCX",0,0,"rizza001","?","rizza001","?","richg002","?","richg002","?","perec003","cronc002","giavj001","escoy001","simma001","navad002","troum001","calhk001","","","fowld001","S8/G.3-H","F","F",3,4,20,"T","T",1,"F","F",0,"F","F",1,"F","F",8,"G","F","F","",0,0,"N",0,"N",0,"N",1,0,0,4,"","","","","F","F","F","F","F","F","F","F","F","","","richg002","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,4,"ANA","CHN","ANA",0,"F","F",0,0,0,3,3,"T","F",4,1,"T","T","bryak001","schwk001","T","T",0,0,0,0,0,0,8,1,1,"","","perec003",1,1,0,0,0,0,2,1,0,0,1,0,1,"troum001","F","F","F","F",0,0,0,4,0,0,0,0,0,0,F,F,"2016ANA.EVA.regular.event.csv",5
"ANA201604040","CHN",1,0,2,2,2,"BSS*B1S",1,0,"bryak001","?","bryak001","?","richg002","?","richg002","?","perec003","cronc002","giavj001","escoy001","simma001","navad002","troum001","calhk001","rizza001","","","K23","F","F",5,5,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,1,0,0,"23","","","","F","F","F","F","F","F","F","F","F","richg002","","","F","F","F","F","F","","","","",0,3,0,0,2,0,0,0,0,5,"ANA","CHN","ANA",0,"F","T",1,0,1,4,4,"T","F",1,1,"T","T","schwk001","solej001","T","T",3,4,4,0,0,0,0,0,0,"perec003","","",2,2,0,0,0,0,3,0,3,0,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"2016ANA.EVA.regular.event.csv",6
"ANA201604040","CHN",1,1,0,2,0,"BBX",1,0,"escoy001","?","escoy001","?","arrij001","?","arrij001","?","montm001","rizza001","zobrb001","bryak001","russa002","schwk001","fowld001","heywj001","","","","13/G-","T","F",5,1,2,"T","T",0,"F","F",1,"F","F",0,"F","F",1,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"13","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,1,0,0,0,0,6,"ANA","ANA","CHN",1,"T","F",0,1,0,0,0,"T","F",0,0,"T","T","navad002","troum001","T","T",0,0,0,0,0,0,0,0,0,"","","",2,2,0,0,0,0,1,0,0,0,1,0,0,"arrij001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"2016ANA.EVA.regular.event.csv",7
"ANA201604040","CHN",1,1,1,1,1,"BCX",1,0,"navad002","?","navad002","?","arrij001","?","arrij001","?","montm001","rizza001","zobrb001","bryak001","russa002","schwk001","fowld001","heywj001","","","","8/F","F","F",7,2,2,"T","T",0,"F","F",1,"F","F",0,"F","F",8,"F","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"8","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,8,0,0,0,0,0,0,0,7,"ANA","ANA","CHN",1,"F","F",0,1,0,1,1,"T","F",0,0,"T","T","troum001","pujoa001","T","T",0,0,0,0,0,0,0,0,0,"","","",1,1,0,0,0,0,2,1,0,0,1,0,0,"fowld001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"2016ANA.EVA.regular.event.csv",8
"ANA201604040","CHN",1,1,2,0,1,"CX",1,0,"troum001","?","troum001","?","arrij001","?","arrij001","?","montm001","rizza001","zobrb001","bryak001","russa002","schwk001","fowld001","heywj001","","","","4/L","F","F",8,3,2,"T","T",0,"F","F",1,"F","F",0,"F","F",4,"L","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"4","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,4,0,0,0,0,0,0,0,8,"ANA","ANA","CHN",1,"F","T",0,1,0,2,2,"T","F",0,0,"T","T","pujoa001","calhk001","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,2,1,0,0,1,0,0,"zobrb001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"2016ANA.EVA.regular.event.csv",9
"ANA201604040","CHN",2,0,0,1,2,"BCCS",1,0,"schwk001","?","schwk001","?","richg002","?","richg002","?","perec003","cronc002","giavj001","escoy001","simma001","navad002","troum001","calhk001","","","","K","T","F",7,6,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"2","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,9,"ANA","CHN","ANA",0,"T","F",1,0,0,5,0,"T","F",0,0,"T","T","solej001","montm001","T","T",0,0,0,0,0,0,0,0,0,"","","",1,1,0,0,0,0,3,2,1,0,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"2016ANA.EVA.regular.event.csv",10
"ANA201604040","CHN",2,0,1,1,2,"SBFX",1,0,"solej001","?","solej001","?","richg002","?","richg002","?","perec003","cronc002","giavj001","escoy001","simma001","navad002","troum001","calhk001","","","","13/G-","F","F",10,7,2,"T","T",0,"F","F",1,"F","F",0,"F","F",1,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"13","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,1,0,0,0,0,10,"ANA","CHN","ANA",0,"F","F",1,0,0,6,1,"T","F",0,0,"T","T","montm001","russa002","T","T",0,0,0,0,0,0,0,0,0,"","","",1,1,0,0,0,0,3,0,1,1,1,0,0,"richg002","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"2016ANA.EVA.regular.event.csv",11
