"GAME_ID","AWAY_TEAM_ID","INN_CT","BAT_HOME_ID","OUTS_CT","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","AWAY_SCORE_CT","HOME_SCORE_CT","BAT_ID","BAT_HAND_CD","RESP_BAT_ID","RESP_BAT_HAND_CD","PIT_ID","PIT_HAND_CD","RESP_PIT_ID","RESP_PIT_HAND_CD","POS2_FLD_ID","POS3_FLD_ID","POS4_FLD_ID","POS5_FLD_ID","POS6_FLD_ID","POS7_FLD_ID","POS8_FLD_ID","POS9_FLD_ID","BASE1_RUN_ID","BASE2_RUN_ID","BASE3_RUN_ID","EVENT_TX","LEADOFF_FL","PH_FL","BAT_FLD_CD","BAT_LINEUP_ID","EVENT_CD","BAT_EVENT_FL","AB_FL","H_CD","SH_FL","SF_FL","EVENT_OUTS_CT","DP_FL","TP_FL","RBI_CT","WP_FL","PB_FL","FLD_CD","BATTEDBALL_CD","BUNT_FL","FOUL_FL","BATTEDBALL_LOC_TX","ERR_CT","ERR1_FLD_CD","ERR1_CD","ERR2_FLD_CD","ERR2_CD","ERR3_FLD_CD","ERR3_CD","BAT_DEST_ID","RUN1_DEST_ID","RUN2_DEST_ID","RUN3_DEST_ID","BAT_PLAY_TX","RUN1_PLAY_TX","RUN2_PLAY_TX","RUN3_PLAY_TX","RUN1_SB_FL","RUN2_SB_FL","RUN3_SB_FL","RUN1_CS_FL","RUN2_CS_FL","RUN3_CS_FL","RUN1_PK_FL","RUN2_PK_FL","RUN3_PK_FL","RUN1_RESP_PIT_ID","RUN2_RESP_PIT_ID","RUN3_RESP_PIT_ID","GAME_NEW_FL","GAME_END_FL","PR_RUN1_FL","PR_RUN2_FL","PR_RUN3_FL","REMOVED_FOR_PR_RUN1_ID","REMOVED_FOR_PR_RUN2_ID","REMOVED_FOR_PR_RUN3_ID","REMOVED_FOR_PH_BAT_ID","REMOVED_FOR_PH_BAT_FLD_CD","PO1_FLD_CD","PO2_FLD_CD","PO3_FLD_CD","ASS1_FLD_CD","ASS2_FLD_CD","ASS3_FLD_CD","ASS4_FLD_CD","ASS5_FLD_CD","EVENT_ID","HOME_TEAM_ID","BAT_TEAM_ID","FLD_TEAM_ID","BAT_LAST_ID","INN_NEW_FL","INN_END_FL","START_BAT_SCORE_CT","START_FLD_SCORE_CT","INN_RUNS_CT","GAME_PA_CT","INN_PA_CT","PA_NEW_FL","PA_TRUNC_FL","START_BASES_CD","END_BASES_CD","BAT_START_FL","RESP_BAT_START_FL","BAT_ON_DECK_ID","BAT_IN_HOLD_ID","PIT_START_FL","RESP_PIT_START_FL","RUN1_FLD_CD","RUN1_LINEUP_CD","RUN1_ORIGIN_EVENT_ID","RUN2_FLD_CD","RUN2_LINEUP_CD","RUN2_ORIGIN_EVENT_ID","RUN3_FLD_CD","RUN3_LINEUP_CD","RUN3_ORIGIN_EVENT_ID","RUN1_RESP_CAT_ID","RUN2_RESP_CAT_ID","RUN3_RESP_CAT_ID","PA_BALL_CT","PA_CALLED_BALL_CT","PA_INTENT_BALL_CT","PA_PITCHOUT_BALL_CT","PA_HITBATTER_BALL_CT","PA_OTHER_BALL_CT","PA_STRIKE_CT","PA_CALLED_STRIKE_CT","PA_SWINGMISS_STRIKE_CT","PA_FOUL_STRIKE_CT","PA_INPLAY_STRIKE_CT","PA_OTHER_STRIKE_CT","EVENT_RUNS_CT","FLD_ID","BASE2_FORCE_FL","BASE3_FORCE_FL","BASE4_FORCE_FL","BAT_SAFE_ERR_FL","BAT_FATE_ID","RUN1_FATE_ID","RUN2_FATE_ID","RUN3_FATE_ID","FATE_RUNS_CT","ASS6_FLD_CD","ASS7_FLD_CD","ASS8_FLD_CD","ASS9_FLD_CD","ASS10_FLD_CD","UNKNOWN_OUT_EXC_FL","UNCERTAIN_PLAY_EXC_FL"
"NYA200110100","OAK",1,0,0,2,2,"BCFBX",0,0,"damoj001","?","damoj001","?","clemr001","?","clemr001","?","posaj001","martt002","soria001","bross001","jeted001","knobc001","willb002","justd001","","","","S7","T","F",8,1,20,"T","T",1,"F","F",0,"F","F",0,"F","F",7,"","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","T","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,1,"NYA","OAK","NYA",0,"T","F",0,0,0,0,0,"T","F",0,1,"T","T","tejam001","giamj001","T","T",0,0,0,0,0,0,0,0,0,"","","",2,2,0,0,0,0,3,1,0,1,1,0,0,"knobc001","F","F","F","F",4,0,0,0,1,0,0,0,0,0,F,F
"NYA200110100","OAK",1,0,0,0,0,"B",0,0,"tejam001","?","tejam001","?","clemr001","?","clemr001","?","posaj001","martt002","soria001","bross001","jeted001","knobc001","willb002","justd001","damoj001","","","SB2","F","F",6,2,4,"F","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,2,0,0,"","","","","T","F","F","F","F","F","F","F","F","clemr001","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,2,"NYA","OAK","NYA",0,"F","F",0,0,0,1,1,"T","F",1,2,"T","T","giamj001","dye-j001","T","T",8,1,1,0,0,0,0,0,0,"posaj001","","",1,1,0,0,0,0,0,0,0,0,0,0,0,"","F","F","F","F",0,4,0,0,1,0,0,0,0,0,F,F
"NYA200110100","OAK",1,0,0,2,2,"BFBFX",0,0,"tejam001","?","tejam001","?","clemr001","?","clemr001","?","posaj001","martt002","soria001","bross001","jeted001","knobc001","willb002","justd001","","damoj001","","43/G.2-3","F","F",6,2,2,"T","T",0,"F","F",1,"F","F",0,"F","F",4,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,3,0,"43","","","","F","F","F","F","F","F","F","F","F","","clemr001","","F","F","F","F","F","","","","",0,3,0,0,4,0,0,0,0,3,"NYA","OAK","NYA",0,"F","F",0,0,0,1,1,"F","F",2,4,"T","T","giamj001","dye-j001","T","T",0,0,0,8,1,1,0,0,0,"","posaj001","",2,2,0,0,0,0,3,0,0,2,1,0,0,"soria001","F","F","F","F",0,0,4,0,1,0,0,0,0,0,F,F
"NYA200110100","OAK",1,0,1,0,1,"CX",0,0,"giamj001","?","giamj001","?","clemr001","?","clemr001","?","posaj001","martt002","soria001","bross001","jeted001","knobc001","willb002","justd001","","","damoj001","7/SF.3-H","F","F",3,3,2,"T","F",0,"F","T",1,"F","F",1,"F","F",7,"F","F","F","",0,0,"N",0,"N",0,"N",0,0,0,4,"7","","","","F","F","F","F","F","F","F","F","F","","","clemr001","F","F","F","F","F","","","","",0,7,0,0,0,0,0,0,0,4,"NYA","OAK","NYA",0,"F","F",0,0,0,2,2,"T","F",4,0,"T","T","dye-j001","chave001","T","T",0,0,0,0,0,0,8,1,1,"","","posaj001",0,0,0,0,0,0,2,1,0,0,1,0,1,"knobc001","F","F","F","F",0,0,0,4,0,0,0,0,0,0,F,F
"NYA200110100","OAK",1,0,2,3,2,"BBBCSFB",1,0,"dye-j001","?","dye-j001","?","clemr001","?","clemr001","?","posaj001","martt002","soria001","bross001","jeted001","knobc001","willb002","justd001","","","","W","F","F",9,4,14,"T","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,5,"NYA","OAK","NYA",0,"F","F",1,0,1,3,3,"T","F",0,1,"T","T","chave001","giamj002","T","T",0,0,0,0,0,0,0,0,0,"","","",4,4,0,0,0,0,3,1,1,1,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"NYA200110100","OAK",1,0,2,0,1,"CX",1,0,"chave001","?","chave001","?","clemr001","?","clemr001","?","posaj001","martt002","soria001","bross001","jeted001","knobc001","willb002","justd001","dye-j001","","","3/G","F","F",5,5,2,"T","T",0,"F","F",1,"F","F",0,"F","F",3,"G","F","F","",0,0,"N",0,"N",0,"N",0,1,0,0,"3","","","","F","F","F","F","F","F","F","F","F","clemr001","","","F","F","F","F","F","","","","",0,3,0,0,0,0,0,0,0,6,"NYA","OAK","NYA",0,"F","T",1,0,1,4,4,"T","F",1,1,"T","T","giamj002","longt002","T","T",9,4,5,0,0,0,0,0,0,"posaj001","","",0,0,0,0,0,0,2,1,0,0,1,0,0,"martt002","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"NYA200110100","OAK",1,1,0,3,1,"BBCBX",1,0,"knobc001","?","knobc001","?","muldm001","?","muldm001","?","hernr002","giamj001","menef001","chave001","tejam001","longt002","damoj001","dye-j001","","","","E4/G","T","F",7,1,18,"T","T",0,"F","F",0,"F","F",0,"F","F",4,"G","F","F","",1,4,"F",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,7,"NYA","NYA","OAK",1,"T","F",0,1,0,0,0,"T","F",0,1,"T","T","jeted001","willb002","T","T",0,0,0,0,0,0,0,0,0,"","","",3,3,0,0,0,0,2,1,0,0,1,0,0,"menef001","F","F","F","T",0,0,0,0,0,0,0,0,0,0,F,F
"NYA200110100","OAK",1,1,0,0,2,"FFX",1,0,"jeted001","?","jeted001","?","muldm001","?","muldm001","?","hernr002","giamj001","menef001","chave001","tejam001","longt002","damoj001","dye-j001","knobc001","","","S8.1-2","F","F",6,2,20,"T","T",1,"F","F",0,"F","F",0,"F","F",8,"","F","F","",0,0,"N",0,"N",0,"N",1,2,0,0,"","","","","F","F","F","F","F","F","F","F","F","muldm001","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,8,"NYA","NYA","OAK",1,"F","F",0,1,0,1,1,"T","F",1,3,"T","T","willb002","martt002","T","T",7,1,7,0,0,0,0,0,0,"hernr002","","",0,0,0,0,0,0,3,0,0,2,1,0,0,"damoj001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"NYA200110100","OAK",1,1,0,0,1,"CX",1,0,"willb002","?","willb002","?","muldm001","?","muldm001","?","hernr002","giamj001","menef001","chave001","tejam001","longt002","damoj001","dye-j001","jeted001","knobc001","","6(1)3/GDP.2-3","F","F",8,3,2,"T","T",0,"F","F",2,"T","F",0,"F","F",6,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,3,0,"63","6","","","F","F","F","F","F","F","F","F","F","muldm001","muldm001","","F","F","F","F","F","","","","",0,6,3,0,6,0,0,0,0,9,"NYA","NYA","OAK",1,"F","F",0,1,0,2,2,"T","F",3,4,"T","T","martt002","posaj001","T","T",6,2,8,7,1,7,0,0,0,"hernr002","hernr002","",0,0,0,0,0,0,2,1,0,0,1,0,0,"tejam001","T","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"NYA200110100","OAK",1,1,2,1,2,"CSBS",1,0,"martt002","?","martt002","?","muldm001","?","muldm001","?","hernr002","giamj001","menef001","chave001","tejam001","longt002","damoj001","dye-j001","","","knobc001","K","F","F",3,4,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,3,"2","","","","F","F","F","F","F","F","F","F","F","","","muldm001","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,10,"NYA","NYA","OAK",1,"F","T",0,1,0,3,3,"T","F",4,4,"T","T","posaj001","oneip001","T","T",0,0,0,0,0,0,7,1,7,"","","hernr002",1,1,0,0,0,0,3,1,2,0,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
