GAME_ID,EVENT_ID,COMMENT_TX
"PHA192404240",22,"Not certain when Fisher entered."
"PHA192404240",35,"$Muddy Ruel made wild return to pitcher"
"PHA192404260",45,"Not clear when Leibold entered."
"PHA192404280",60,"$Bob Meusel slightly injured his right ankle"
"PHA192405030",64,"Not certain when O'Neill entered."
"PHA192405100",64,"ej,fewsc101,P,owenb901,Balls and strikes $Chick Fewster ejected by HP umpire Brick Owens"
"PHA192405190",0,"$Eddie Collins was appointed temporary manager; Johnny Evers at home with appendicitis"
"PHA192405230",40,"$Frank Ellerbe lined to Max Bishop, who threw to 1B doubling Jack Tobin; the Browns thought the ball was trapped and when Joe Hauser threw to LF, Ellerbe instead of Tobin ran to 3B and it was called a DP"
"PHA192405240",25,"$Ken Williams rounded 3B too far"
"PHA192405240",58,"Rain began falling"
"PHA192405240",58,"3-minute rain delay"
"PHA192405240",62,"The following events did not count: play,9,0,mcmin101,??,,63 play,9,0,jacow101,??,,8/L play,9,0,seveh101,??,,S8 play,9,0,gerbw101,??,,NP sub,bennh102,'Herschel Bennett',0,7,12 play,9,0,gerbw101,??,,E4/G.1-2 play,9,0,prueh101,??,,NP sub,robeg101,'Gene Robertson',0,9,11 play,9,0,robeg101,??,,S7/5L.2-H(UR);1-2 play,9,0,tobij101,??,,8/F play,9,1,hausj101,??,,NP sub,regot101,'Tony Rego',0,7,2 Would've been Rego's ML debut play,9,1,hausj101,??,,NP sub,kolpr101,'Ray Kolp',0,9,1 play,9,1,hausj101,??,,S9 play,9,1,simma101,??,,S8.1-3 play,9,1,millb110,??,,NP sub,vange101,'Elam Vangilder',0,9,1  $the game was stopped by rain in the bottom of the 9th; after a 15 minute delay, the game was called off, the score reverting back to the end of the 8th inning data,er,kolpr101,0 data,er,vange101,0"
"PHA192406020",70,"$Goose Goslin rounded 2B too far"
"PHA192406301",3,"$the ball landed on the rooftop of a 2-story house on the far side of Twentieth Street"
"PHA192407021",71,"$the Athletics thought there were 3 outs and Aaron Ward scored"
"PHA192407021",90,"$Waite Hoyt tripped and dropped the ball while running to cover 1B"
"PHA192407030",27,"$Sam Gray tried to tag Babe Ruth but dropped the ball"
"PHA192407030",29,"$the throw hit Babe Ruth and rolled to CF"
"PHA192407080",58,"play,8,0,fewsc101,??,,NP sub,mcnup101,'Pat McNulty',0,8,11 play,8,0,mcnup101,??,,9/F play,8,0,shauj101,??,,NP sub,browf102,'Frank Brower',0,9,11 play,8,0,browf102,??,,4/P play,8,0,summh101,??,,43 play,8,1,hausj101,??,,NP sub,ellef101,'Frank Ellerbe',0,8,4 play,8,1,hausj101,??,,NP sub,roy-l101,'Luther Roy',0,9,1 play,8,1,hausj101,??,,W play,8,1,simma101,??,,FLE3 play,8,1,simma101,??,,K play,8,1,ricoh101,??,,SB2 play,8,1,ricoh101,??,,W play,8,1,gallc101,??,,46(1)/FO.2-3 $the game was called on account of rain with 2 outs in the 8th; the game reverted to the end of the seventh"
"PHA192407092",8,"missing event"
"PHA192407100",7,"$Frank Welch and Stan Coveleski collided; Welch was called out for interference"
"PHA192407110",50,"ej,speat101,M,dinnb101,Balls and strikes $Indians Manager Tris Speaker ejected by HP umpire Bill Dinneen"
"PHA192407120",74,"$Hauser ran to third to make play"
"PHA192407170",79,"$lost in the sun"
"PHA192407220",9,"Light rain began to fall"
"PHA192408131",5,"$Lu Blue left with an injured ankle"
"PHA192408180",69,"$Chick Galloway badly spiked on his instep"
"PHA192408190",12,"previous two plays really one"
"PHA192408211",87,"previous two plays really one"
"PHA192408220",65,"$Chick Galloway batted left-handed"
"PHA192408230",40,"$Jimmy Dykes' 7th straight hit"
"PHA192408260",82,"$a finger on Eddie Rommel's pitching hand was injured on the deflected drive by Johnny Mostil"
"PHA192408260",89,"$Buck Crouse struck on the right hand by a foul ball"
"PHA192408272",79,"pbp account ends here, rest deduced"
"PHA192409080",18,"$lost in the sun"
"PHA192409260",54,"$Joe Dugan hurt his left leg sliding into 3B"
