GAME_ID,EVENT_ID,COMMENT_TX
"TEX201505030",31,"ej,gentc001,P,fleta901,Balls and strikes Athletics left fielder Craig Gentry ejected by HP umpire Andy Fletcher"
"TEX201505030",54,"replay,6,peguc001,TEX,mealj901,ARL02,,N,M,OAK,D $when Sam Fuld was ruled to have dropped the ball, Athletics manager Bob Melvin challenged the ruling; the call was upheld by replay"
"TEX201505120",20,"$Lorenzo Cain called for interference for running in fair territory and was struck by the throw"
"TEX201505120",75,"replay,8,choos001,TEX,barrt901,ARL02,,N,M,TEX,A $when Delino DeShields was called out at 2B, Rangers manager Jeff Banister challenged the ruling; the call was upheld by replay"
"TEX201505120",86,"replay,9,corpc001,TEX,barrt901,ARL02,,Y,M,KCA,A $when Adrian Beltre was called safe at 1B, Royals manager Ned Yost challenged the ruling; the call was overturned by replay"
"TEX201505150",47,"Indians Ryan Raburn left the game due to an injured knee"
"TEX201505160",3,"replay,1,branm003,CLE,westj901,ARL02,,N,M,CLE,O $when Michael Brantley's fly to LF was called foul, Indians manager Terry Francona challenged the ruling; the call was overturned by replay to a fair ball and a double; Brantley ran the bases after the ruling, touching 1B on the way to 2B"
"TEX201505170",15,"replay,2,morem001,TEX,westj901,ARL02,O,N,U,,H $Mitch Moreland's fly to RF struck at the top of the padded wall and caromed back onto the field; it was ruled in play but crew chief Joe West requested a review; the call was upheld by replay"
"TEX201505170",22,"$Nick Martinez threw to an uncovered base"
"TEX201505170",69,"replay,8,belta001,TEX,westj901,ARL02,,N,M,TEX,D $when David Murphy caught the fly against the LF wall, Rangers manager Jeff Banister challenged the ruling; the call was upheld by replay; the ball did not hit the wall"
"TEX201505280",26,"Red Sox shortstop Xander Bogaerts left the game due to an injured arm"
"TEX201505280",69,"replay,9,bettm001,BOS,welkt901,ARL02,,N,M,TEX,A $when Mookie Betts was called safe at 3B, Rangers manager Jeff Banister challenged the ruling; the call was upheld by replay"
"TEX201505290",55,"replay,7,chirr001,TEX,welkt901,ARL02,,Y,M,BOS,A $when Mitch Moreland was called safe on a pickoff attempt at 2B, Red Sox manager John Farrell challenged the ruling; the call was overturned by replay"
"TEX201505290",65,"ej,napom001,P,ticht901,Called third strike ej,farrj001,M,ticht901,Called third strike Mike Napoli and Red Sox manager John Farrell ejected by HP umpire Todd Tichenor"
"TEX201505310",47,"Rangers third baseman Adrian Beltre left the game due to an injured hand"
"TEX201505310",63,"replay,7,ortid001,BOS,welkt901,ARL02,,N,M,TEX,A $when Mookie Betts was called safe at 2B, Rangers manager Jeff Banister challenged the ruling; the call was upheld by replay"
"TEX201505310",77,"ej,banij001,M,ticht901,Call at 2B Rangers Manager Jeff Banister ejected by 2B umpire Todd Tichenor after Tichenor ruled that Elvis Andrus pushed Rusney Castillo off the 2B bag"
"TEX201506020",28,"Rangers catcher Robinson Chirinos left the game due to an injured hand"
"TEX201506030",31,"replay,3,andre001,TEX,demud901,ARL02,,N,M,TEX,O $when Elvis Andrus' line drive to LF was called foul, Rangers manager Jeff Banister challenged the ruling; the call was upheld by replay"
"TEX201506120",63,"$originally scored as E8 with no RBI; changed to double on 06-13-2015, giving batter 2 RBI and making all 4 runs in inning now earned"
"TEX201506130",74,"replay,9,nunee002,MIN,wendh902,ARL02,O,N,U,,H $Eduardo Nunez' fly to RF hit the top of the wall and caromed back onto the field; it was ruled in play; acting crew chief Hunter Wendelstedt requested a review, which upheld the call"
"TEX201506140",46,"Rangers left fielder Delino DeShields left the game due to an injured leg"
"TEX201506160",22,"replay,3,andre001,TEX,joycj901,ARL02,,Y,M,TEX,C $when Elvis Andrus was called out at 1B, Rangers manager Jeff Banister challenged the ruling; the call was overturned by replay"
"TEX201506230",29,"replay,4,butlb003,OAK,scotd901,ARL02,,Y,M,OAK,C $when Billy Butler was called out at 1B, Athletics manager Bob Melvin challenged the ruling; the call was overturned by replay"
"TEX201506240",35,"umpchange,4,ump2b,(None) $the line drive struck 2B umpire Dale Scott; he left the game temporarily"
"TEX201506240",50,"replay,5,rua-r001,TEX,iassd901,ARL02,,N,M,TEX,C $when Rougned Odor was called out at 2B, Rangers manager Jeff Banister challenged the ruling; the call was upheld by replay"
"TEX201506240",57,"umpchange,7,ump2b,scotd901"
"TEX201506240",57,"umpchange,7,ump2b,scotd901"
"TEX201506240",58,"$2B umpire Dale Scott returned to the field"
"TEX201507040",52,"replay,6,pujoa001,ANA,welkt901,ARL02,,N,M,TEX,A $when Albert Pujols was called safe at 2B, Rangers manager Jeff Banister challenged the ruling; the call was upheld by replay"
"TEX201507050",6,"replay,1,freed001,ANA,welkt901,ARL02,,Y,M,TEX,C $when David Freese was called safe at 1B, Rangers manager Jeff Banister challenged the ruling; the call was overturned by replay"
"TEX201507080",37,"replay,4,odorr001,TEX,kellj901,ARL02,,Y,M,TEX,C $when Elvis Andrus was called out at 2B, Rangers manager Jeff Banister challenged the ruling; the call was overturned by replay as it was not considered a neighborhood play"
"TEX201507080",45,"Diamondbacks pitcher Jeremy Hellickson left the game due to an injured hand"
"TEX201507100",52,"replay,6,odorr001,TEX,culbf901,ARL02,,N,M,SDN,C $when Rougned Odor was called safe at 1B, Padres interim manager Pat Murphy challenged the ruling; the call was upheld by replay"
"TEX201507110",4,"replay,1,kempm001,SDN,culbf901,ARL02,,N,M,TEX,A $when Yangervis Solarte was called safe at 3B, Rangers manager Jeff Bannister challenged the ruling; the call was upheld by replay"
"TEX201507110",73,"replay,9,uptob001,SDN,culbf901,ARL02,,N,M,SDN,A $when Andrew Cashner was called out at 3B, Padres interim manager Pat Murphy chalenged the ruling; call was upheld by replay"
"TEX201507120",56,"replay,7,venaw001,SDN,culbf901,ARL02,,N,M,SDN,A $when Jedd Gyorko was called out at 2B, Padres manager Pat Murphy challenged the ruling; the call was upheld by replay"
"TEX201507120",58,"replay,7,belta001,TEX,culbf901,ARL02,,N,U,,A $when Adrian Beltre was called safe at 2B, crew chief Fieldin Culbreth requested a review; the call was upheld by replay"
"TEX201507270",45,"$Alex Rodriguez became the fourth player to homer as a teenager and after his 40th birthday (Ty Cobb, Rusty Staub and Gary Sheffield)"
"TEX201507290",51,"replay,6,choos001,TEX,mealj901,ARL02,,Y,M,NYA,A $when Shin-Soo Choo was called safe at 2B, Yankees manager Joe Girardi challenged the ruling; the call was overturned by replay"
"TEX201507310",40,"$Delino DeShields therw his bat after popping out; Madison Bumgarner yelled at DeShields and both benches cleared briefly; Adrian Beltre exchanged words with Bumgarner"
"TEX201508010",63,"replay,7,choos001,TEX,kellj901,ARL02,,Y,M,TEX,C $when Shin-Soo Choo was called out at 1B, Rangers manager Jeff Banister challenged the ruling; the call was overturned by replay"
"TEX201508030",56,"$Adrian Beltre hit for the cycle for the third time"
"TEX201508140",21,"replay,3,guyeb001,TBA,carlm901,ARL02,,Y,M,TBA,C $when Brandon Guyer was called out at 1B, Rays manager Kevin Cash challenged the ruling; the call was overturned by replay"
"TEX201508140",39,"replay,5,guyeb001,TBA,carlm901,ARL02,,Y,M,TEX,A $when Brandon Guyer was called safe at 2B, Rangers manager Jeff Banister challenged the ruling; the call was overturned by replay"
"TEX201508140",56,"replay,7,sizeg001,TBA,carlm901,ARL02,,Y,M,TEX,A $when Curt Casali was called safe at 3B, Rays manager Jeff Banister challenged the ruling; the call was overturned by replay"
"TEX201508170",74,"replay,9,deshd002,TEX,hirsj901,ARL02,,N,M,SEA,C $when Delino DeShields was called safe at 1B, Mariners manager Lloyd McClendon challenged the ruling; the call was upheld by replay"
"TEX201508190",49,"$Rougned Odor called for interference for running into his own bunt"
"TEX201508250",51,"Rangers second baseman Rougned Odor left the game due to an injured hand"
"TEX201508260",84,"replay,9,donaj001,TOR,demud901,ARL02,,Y,M,TEX,C $when Josh Donaldson was called safe at 1B, Rangers manager Jeff Banister challenged the ruling; the call was overturned by replay"
"TEX201508270",23,"replay,3,choos001,TEX,demud901,ARL02,,Y,M,TOR,A $when Delino DeShields was called safe at 2B, Blue Jays manager John Gibbons challenged the ruling; the call was overturned by replay"
"TEX201508270",60,"replay,7,deshd002,TEX,demud901,ARL02,,N,M,TOR,B $when Delino DeSheilds was called safe at 3B on appeal, Blue Jays manager John Gibbons challenged the ruling; the call was upheld by replay"
"TEX201508270",73,"replay,8,wilsb002,TEX,demud901,ARL02,,Y,U,,I $when Bobby Wilson was ruled to have been hit by a pitch, crew chief Dana DeMuth requested a review; the call was overturned by replay to a foul ball"
"TEX201508300",37,"replay,5,schoj001,BAL,culbf901,ARL02,,N,M,TEX,C $when Jonathan Schoop was called safe at 1B, Rangers manager Jeff Banister challenged the ruling; the call was upheld by replay"
"TEX201509110",55,"$the first runner of the game for the Athletics"
"TEX201509130",43,"Athletics pitcher Edward Mujica left the game due to an injured leg"
"TEX201509130",85,"Rangers right fielder Shin-Soo Choo left the game due to an injured neck"
"TEX201509150",38,"replay,4,congh001,HOU,davig901,ARL02,,N,M,HOU,O $Hank Conger's line drive down the LF line was called foul; Astros manager A.J. Hinch challenged the ruling; the call was upheld by replay"
"TEX201509180",17,"ej,banij001,M,guccc901,Fair/foul call Rangers Manager Jeff Banister ejected by 3B umpire Chris Guccione agruing that Ketel Marte's double was foul; the call was in front of Guccione and thus not a challengeable call"
"TEX201509180",66,"replay,8,venaw001,TEX,nelsj901,ARL02,,Y,M,SEA,A $when Adrian Beltre was called safe at 3B, Mariners manager Lloyd McClendon challenged the ruling; the call was overturned by replay"
"TEX201509190",66,"Rangers left fielder Delino DeShields left the game due to an injured knee"
"TEX201509200",62,"Mariners pitcher Felix Hernandez left the game due to an injured elbow"
"TEX201509280",53,"Tigers designated hitter Victor Martinez left the game due to an injured leg"
"TEX201509290",22,"Tigers third baseman Nick Castellanos left the game due to an injured hand"
"TEX201509300",74,"replay,9,avila001,DET,hallt901,ARL02,,N,M,TEX,U $when Nick Castellanos was ruled not to have left 2B early, Rangers manager Jeff Banister challenged the ruling; the call was upheld by replay"
"TEX201510020",10,"replay,1,fielp001,TEX,cedeg901,ARL02,,Y,M,ANA,A $when Delino DeShields was called safe at 3B, Angels manager Mike Scioscia challenged the ruling; the call was overturned by replay"
"TEX201510020",18,"replay,2,andre001,TEX,cedeg901,ARL02,,Y,M,ANA,C $when Elvis Andrus was called safe at 1B, Angels manager Mike Scioscia challenged the ruling; the call was overturned by replay"
"TEX201510030",94,"replay,9,odorr001,TEX,cedeg901,ARL02,,N,M,TEX,A $when Elvis Andrus was called out at 2B, Rangers manager Jeff Banister challenged the ruling; the call was upheld by replay"
