GAME_ID,EVENT_ID,COMMENT_TX
"TEX197204290",56,"$Toby Harrah called for obstruction"
"TEX197205211",6,"umpchange,1,ump2b,(None) $2B umpire John Rice was injured and left the game"
"TEX197205212",0,"Umpire John Rice was injured in game 1 and did not work game 2"
"TEX197205220",90,"$Don Mincher singled with Toby Harrah reaching 3B; White Sox manager Chuck Tanner pointed out that Mincher batter out of turn, so the proper batter, Paul Lindblad, was called out"
"TEX197205240",8,"umpchange,1,umphome,barnl901 umpchange,1,ump2b,(None) $Joe Lovitto's throw to HP bounced over catcher Dick Billings and struck HP umpire Jim Evans on the right eye; Evans left the game 2B umpire Larry Barnett replaced Evans"
"TEX197205291",37,"ej,mincd101,P,odomj901,Called third strike Don Mincher ejected by HP umpire Jim Odom"
"TEX197205292",1,"Debut game for Dave Hamilton"
"TEX197206060",36,"$Toby Harrah safe on error by Ron Blomberg, who then picked off Lenny Randle who had rounded 2B too far"
"TEX197206090",56,"$Toby Harrah caught Paul Blair with the hidden ball trick"
"TEX197206110",40,"53 minute rain delay"
"TEX197206240",3,"missing play in TEX197206240"
"TEX197207170",71,"ej,blaip101,P,denkd901,Balls and strikes Paul Blair ejected by HP umpire Don Denkinger"
"TEX197207210",50,"Debut game for Vic Harris"
"TEX197207220",69,"$Don Stanhouse's throw to HP hit Eddie Brinkman"
"TEX197208030",35,"Debut game for Steve Lawson"
"TEX197208120",53,"Hard rain came with 3-2 count on Dave Nelson; game called after 52 minute delay"
"TEX197210010",50,"ej,johnj002,P,kunkb101,Called third strike Jay Johnstone ejected by HP umpire Bill Kunkel"
