GAME_ID,EVENT_ID,COMMENT_TX
"SLN197504170",65,"$Ted Sizemore tied a major league record for second basemen with 3 errors in one inning"
"SLN197504180",52,"ej,simmt001,P,tatat901,Balls and strikes (while catching) Ted Simmons ejected by HP umpire Terry Tata"
"SLN197506020",43,"Earl Williams left with a pulled muscle"
"SLN197506200",0,"1:05 rain delay before start of game"
"SLN197506200",44,"ej,guerm101,P,varge901,Call at 2B Mario Guerrero ejected by 1B umpire Ed Vargo protesting a safe call on Rick Monday when the Cardinals attempted a pickoff"
"SLN197507051",59,"missing play in SLN197507051"
"SLN197507060",0,"ej,brisd801,C,engeb901,Fight during exchange of lineups Expos Coach Dave Bristol ejected by HP umpire Bob Engel; Reggie Smith blamed Bristol for his role in a fight the previous day and they fought during the pre-game meeting"
"SLN197507270",59,"umpchange,6,umphome,steld901 umpchange,6,ump2b,(None) $HP umpire Shag Crawford left the game with heat exhaustion; 2B umpire Dick Stello moved to HP"
"SLN197508050",7,"2:00 rain delay"
"SLN197508060",17,"Bake McBride left the game with the flu"
"SLN197508230",33,"$Rowland Office called for interference"
"SLN197508240",6,"$Lou Brock's 800th career stolen base"
"SLN197508250",91,"$in the top of the 11th, Cliff Johnson hit a two-out home run to give the Astros a 4-3 lead; however, with two outs in the bottom of the 11th, and the Astros one out from victory, a thunderstorm hit, and after a 2:19 rain delay, the game was called; under existing rules, if a lead had changed and an inning was not yet complete, the score reverted back to the last completed inning; therefore, Johnson lost his home run, which would have given him one in his 6th consecutive game"
"SLN197509020",2,"Debut game for Joe Wallis"
"SLN197509030",1,"Debut game for Willie Prall"
"SLN197509030",61,"Debut game for Buddy Schultz"
"SLN197509120",10,"Debut game for Roy Staiger"
"SLN197509160",53,"Bob Forsch left with a blister"
"SLN197509160",98,"$Dave Cash called for obstruction"
"SLN197509170",53,"$Tim Foli called for interference"
