GAME_ID,EVENT_ID,COMMENT_TX
"CLE201404060",13,"Twins left fielder Josh Willingham left the game due to an injured wrist"
"CLE201404060",89,"replay,9,hicka001,MIN,mealj901,CLE08,,N,M,CLE,A $Indians manager Terry Francona challenged the safe call at HP, which was confirmed by replay"
"CLE201404092",2,"replay,1,denoc001,SDN,davib902,CLE08,,N,M,CLE,X $Elliot Johnson caught the ball, hit the fence and dropped the ball; it was ruled no catch; Indians manager Terry Francona challenged the call, which was upheld by replay"
"CLE201404240",8,"replay,1,kipnj001,CLE,millb901,CLE08,,N,M,CLE,P $crew chief Bill Miller requested a review of the play at HP; the call was upheld by replay"
"CLE201405020",41,"White Sox center fielder Adam Eaton left the game due to an injured leg"
"CLE201405030",24,"Indians center fielder Michael Bourn left the game due to an injured groin"
"CLE201405030",47,"replay,6,cabra002,CLE,hallt901,CLE08,,N,M,CHA,I $when Asdrubal Cabrera was ruled to have been hit by pitch, White Sox manager Robin Ventura challenged the call; it was upheld by replay"
"CLE201405030",47,"Indians designated hitter Jason Giambi left the game due to an injured leg"
"CLE201405050",50,"replay,7,herrc001,MIN,onorb901,CLE08,,N,M,CLE,A $when Danny Santana was called safe at 2B on a pickoff attempt, Indians manager Terry Francona challenged the ruling; it was upheld by replay"
"CLE201405070",25,"replay,3,branm003,CLE,onorb901,CLE08,,N,M,MIN,A $when Michael Brantley was called safe at 2B, Twins manager Ron Gardenhire challenged the call; it was upheld by replay"
"CLE201405170",17,"ej,kazms001,P,laynj901,Balls and strikes Athletics pitcher Scott Kazmir ejected by HP umpire Jerry Layne"
"CLE201405170",56,"replay,7,donaj001,OAK,laynj901,CLE08,O,N,M,OAK,H $Josh Donaldson's fly ball struck the top of the wall and caromed back onto the field; it was ruled in play but the Athletics asked about the call; crew chief Jerry Layne asked for a review, which upheld the call"
"CLE201405180",14,"Athletics shortstop Jed Lowrie left the game due to an injured neck"
"CLE201405190",69,"replay,8,martv001,DET,welkt901,CLE08,,N,M,DET,C $when Miguel Cabrera was called out at 2B, Tigers manager Brad Ausmus challenged the ruling; it was upheld by replay"
"CLE201405200",15,"$fan interference"
"CLE201405200",40,"replay,5,avila001,DET,welkt901,CLE08,O,N,U,,H $Alex Avila's fly ball to center struck the railing on top of the wall and caromed back onto the field; it was ruled a home run but crew chief Tim Welke requested a review; the call was upheld by replay"
"CLE201405200",52,"replay,6,castn001,DET,welkt901,CLE08,,Y,M,CLE,C $when Nick Castellanos was called safe at 1B, Indians manager Terry Francona challenged the ruling; it was overturned by replay"
"CLE201405210",62,"ej,cabrm001,P,timmt901,Checked swing ej,ausmb001,M,timmt901,Checked swing $the Tigers were upset with the checked swing call for strike three on Ian Kinsler; the first pitch to Miguel Cabrera was another checked swing strike; Cabrera objected and was told to get back in the batter's box by HP umpire Tim Timmons; when Cabrera kept talking, he was ejected by Timmons; Tigers Manager Brad Ausmus also ejected by Timmons"
"CLE201405210",64,"replay,6,martv001,DET,welkt901,CLE08,,N,M,DET,C $when Victor Martinez was called out at 1B, Tigers acting manager Gene Lamont challenged the ruling; it was upheld by replay"
"CLE201405300",14,"replay,2,gomey001,CLE,davib901,CLE08,,N,M,CLE,C $when Yan Gomes was called out at 1B, Indians manager Terry Francona challenged the ruling; the call was upheld by replay"
"CLE201405300",47,"ej,weisw001,M,tumpj901,Called third strike Rockies Manager Walt Weiss ejected by HP umpire John Tumpane"
"CLE201406020",27,"replay,3,branm003,CLE,davig901,CLE08,,Y,M,BOS,C $when Michael Brantley was called safe at 1B, Red Sox manager John Farrell challenged the ruling; the call was overturned by replay"
"CLE201406020",56,"replay,7,bourm001,CLE,davig901,CLE08,,N,M,BOS,A $when Mike Aviles was called safe at 2B, Red Sox manager John Farrell challenged the ruling; the call was upheld by replay"
"CLE201406040",0,"2:28 rain delay before the start of the game"
"CLE201406040",39,"replay,5,avilm001,CLE,davig901,CLE08,,Y,M,BOS,C $when Mike Aviles was called safe at 1B, Red Sox manager John Farrell challenged the ruling; the call was overturned by replay"
"CLE201406040",46,"ej,piera001,P,wolcq901,Balls and strikes Red Sox catcher A. J. Pierzynski ejected by HP umpire Quinn Wolcott"
"CLE201406160",6,"replay,1,cabra002,CLE,westj901,CLE08,O,N,U,,H $Asdrubal Cabrera's fly ball struck the railing above the yellow line in left center; the ball was ruled a home run; crew chief Joe West requested a review; the call was upheld by replay"
"CLE201406210",16,"originally scored as E4, change to double on 06-23-2014, gives batter RBI and makes run earned"
"CLE201406210",53,"replay,7,kinsi001,DET,mealj901,CLE08,O,N,U,,H $Ian Kinsler hit a fly to left center that was touched by a fan over the top of the wall in front of the railing; the ball was ruled a home run but acting crew chief Jerry Meals requested a review; the call was upheld by replay"
"CLE201406220",39,"replay,5,cabrm001,DET,mealj901,CLE08,,Y,M,DET,C $when Austin Jackson was called out at 2B, Tigers manager Brad Ausmus challenged the ruling; the call was overturned by replay"
"CLE201406220",51,"replay,5,bourm001,CLE,mealj901,CLE08,,Y,M,CLE,C $when Michael Bourn was called out at 1B, Indians manager Terry Francona challenged the ruling; the call was overturned by replay"
"CLE201406220",79,"replay,9,romia001,DET,mealj901,CLE08,,Y,M,DET,C $when Andrew Romine was called out at 1B, Tigers manager Brad Ausmus challenged the ruling; the call was overturned by replay"
"CLE201407090",78,"replay,10,robeb003,NYA,culbf901,CLE08,,Y,M,NYA,C $when Brian Roberts was called out at 1B, Yankees manager Joe Girardi challenged the ruling; the call was overturned by replay"
"CLE201407100",75,"replay,8,perer003,CLE,culbf901,CLE08,O,Y,M,CLE,H $Roberto Perez hit a fly ball that caromed off the railing behind the wall back onto the field; the ball was ruled in play but crew chief Fieldin Culbreth requested a review; the call was overturned to a home run; it was the first of Perez' career"
"CLE201407100",77,"$a foul ball off the bat of Asdrubal Cabrera struck HP umpire Brian Knight on the mask; Knight fell to the ground and was attended to by trainers; Knight remained in the game"
"CLE201407110",9,"$fan interference"
"CLE201407110",48,"replay,5,chisl001,CLE,cedeg901,CLE08,,Y,M,CLE,A $when Asdrubal Cabrera was called out at 2B, Indians manager Terry Francona challenged the ruling; the call was overturned by replay"
"CLE201407120",22,"White Sox shortstop Alexei Ramirez left the game due to an injured back"
"CLE201407120",42,"White Sox pitcher Scott Carroll left the game due to an injured back"
"CLE201407120",51,"replay,7,gomey001,CLE,cedeg901,CLE08,,Y,M,CLE,T $when Dayan Viciedo was ruled to have caught the ball, Indians manager Terry Francona challenged the ruling; the call was overturned by replay; Viciedo threw the ball to 2B and a possible force play was completed but both runners were allowed to advance one base on the trap play"
"CLE201407130",20,"originally scored as error, changed to single on 07-30-2014"
"CLE201407290",38,"replay,5,zunim001,SEA,vanol901,CLE08,O,N,U,,H $Mike Zunino hit a line drive that struck the metal railing just above the yellow line in LF and caromed to a fan; the ball was ruled a home run; acting crew chief Larry Vanover requested a review, which upheld the call"
"CLE201407290",58,"replay,7,murpd005,CLE,vanol901,CLE08,O,N,U,,H $David Murphy's fly ball struck the yellow line at the top of the RF wall and caromed back onto the field; the ball was ruled in play; acting crew chief Larry Vanover requested a review, which upheld the call"
"CLE201407310",16,"$Corey Dickerson left with sprained knee"
"CLE201408010",26,"replay,3,chisl001,CLE,joycj901,CLE08,,Y,M,TEX,C $when Lonnie Chisenhall was called safe at 1B, Rangers manager Ron Washington challenged the ruling; the call was overturned by replay"
"CLE201408010",37,"replay,4,branm003,CLE,joycj901,CLE08,,Y,M,TEX,A $when Mike Aviles was called safe at 3B, Rangers manager Ron Washington challenged the ruling; the call was overturned by replay; Adrian Beltre 'caught' the throw between his thighs, got the ball with his bare hand, tagged Aviles with his glove and then touched the runner with the ball"
"CLE201408030",71,"Indians designated hitter Nick Swisher left the game due to an injured wrist"
"CLE201408040",46,"replay,6,frazt001,CIN,davig901,CLE08,,Y,M,CLE,C $when Todd Frazier was called safe at 1B, Indians manager Terry Francona challenged the ruling; the call was overturned by replay"
"CLE201408050",58,"$Indians David Murphy slid into 3B on the double by Yan Gomes and saw a ball which had gotten loose from the Reds bullpen; Jumbo Diaz had thrown a wild pitch which landed in shallow right center; Murphy thought it was the ball in play, broke for HP and was thrown out as he tried to return to 3B"
"CLE201408050",74,"replay,9,negrk001,CIN,davig901,CLE08,,N,M,CIN,A $when Brayan Pena was called out at HP, Reds manager Bryan Price challenged the ruling; the call was upheld by replay"
"CLE201408050",78,"replay,9,murpd005,CLE,davig901,CLE08,,Y,U,,C $when David Murphy was called safe at 1B, crew chief Gerry Davis requested a review; the call was overturned by replay and the game was over"
"CLE201408150",36,"replay,5,waltz001,CLE,demud901,CLE08,O,N,U,,H $Zach Walters' fly ball to LF went through a fan's hands and struck the rail above the yellow line; the ball was ruled a home run; crew chief Dana DeMuth requested a review, which upheld the call"
"CLE201408240",52,"replay,7,corpc001,HOU,cedeg901,CLE08,F,N,U,,H $Carlos Corporan's fly to RF was ruled a foul ball; crew chief Gary Cederstrom requested a review, which upheld the call"
