GAME_ID,EVENT_ID,COMMENT_TX
"TEX201204060",0,"$White Sox manager Robin Ventura's debut as a skipper"
"TEX201204290",19,"Rangers left fielder Josh Hamilton left the game due to an injured back"
"TEX201204290",59,"ej,washr001,M,belld901,Called third strike $Ian Kinsler argued the third strike with HP umpire Dan Bellino; Rangers manager Ron Washington came out to protect Kinsler; Washington was ejected by Bellino on his 60th birthday"
"TEX201204290",76,"$Originally scored as E1, changed to single on 5-01"
"TEX201205110",3,"$Albert Pujols hit catcher Yorvit Torrealba with his bat on his follow-through as he popped out; the bat knocked off Torrealba's mask; the catcher went to all fours and was treated by the trainer"
"TEX201205110",10,"1:56 rain delay"
"TEX201205110",12,"Rangers catcher Yorvit Torrealba left the game due to a head contusion"
"TEX201205170",60,"ej,melvb001,M,diazl901,Catch/trap call $pitcher Brandon McCarthy made a diving catch of the bunt and his glove folded under his arm; he rolled on his back and threw to 3B to double up Craig Gentry, who had crossed the plate on the safety squeeze play; HP umpire Laz Diaz ruled that McCarthy trapped the ball; all runners were safe; McCarthy was angry and yelled at Diaz; Athletics manager Bob Melvin ran out and held a long argument with Diaz before being ejected by Diaz"
"TEX201205260",57,"ej,alvah001,P,fostm901,Throwing at a batter $the fifth pitch by Henderson Alvarez to Ian Kinsler was at his knees; Alvarez ejected by HP umpire Marty Foster who thought Alvarez was throwing at Kinsler after surrendering three consecutive home runs"
"TEX201205270",50,"Blue Jays shortstop Yunel Escobar left the game due to an injured groin"
"TEX201205270",72,"Rangers pitcher Alexi Ogando left the game due to an injured hand"
"TEX201206140",50,"ej,kinsi001,P,coope901,Called third strike Rangers designated hitter Ian Kinsler ejected by HP umpire Eric Cooper"
"TEX201206170",84,"ej,brocd001,C,scotd901,Balls and strikes Astros Pitching Coach Doug Brocail ejected by HP umpire Dale Scott after the first pitch to Matt Downs was called a strike"
"TEX201206230",30,"Rangers center fielder Craig Gentry left the game due to an injured ankle"
"TEX201206240",51,"Rangers pitcher Matt Harrison left the game due to an injured back"
"TEX201206270",79,"$originally scored E4, changed to single on 7-02-2012, which makes all runs in inning earned"
"TEX201207060",48,"Rangers left fielder Josh Hamilton left the game due to an injured back"
"TEX201207070",53,"umpchange,7,umphome,kellj901 umpchange,7,ump2b,(None) $HP umpire Marty Foster left the game with an unknown illness after the first three pitches of the seventh inning; Jeff Kellogg moved from 2B to HP"
"TEX201207080",25,"$a blinding flash of lightning that seemed to be directly above the stadium was followed immediately by a tremendously loud boom of thunder; Josh Willingham hit the ground while most players, coaches and umpires ran for cover in the dugouts; the grounds crew rushed out and started to roll the tarp onto the field even though it was not raining; they stopped but then it did start to rain, causing a 46-minute delay"
"TEX201207080",75,"Rangers pitcher Michael Kirkman left the game due to an injured leg"
"TEX201207230",57,"replay,7,saltj001,BOS,tscht901,ARL02,O,N,I,,H $Jarrod Saltalamacchia's fly to CF bounced off the top of the padded wall and caromed back onto the field; when it was ruled in play, the Red Sox asked about the call so crew chief Tim Tschida watched the replay and upheld the call"
"TEX201207240",5,"ej,kinsi001,P,tscht901,Call at 1B Rangers second baseman Ian Kinsler ejected by 1B umpire Tim Tschida"
"TEX201207240",32,"$the ball dropped into short CF with both the SS and 2B running in the outfield; 3B Will Middlebrooks covered the 2B bag but Beltre ducked around the tag"
"TEX201207240",66,"Adrian Beltre hit on the back of the head by a 92-MPH fastball"
"TEX201207300",54,"$Kendrys Morales hit two homers in the inning, one left-handed and one right-handed; he is the third player to perform this feat - Carlos Baerga (1993) and Mark Bellhorn (2002)"
"TEX201208100",63,"Rangers right fielder Nelson Cruz left the game due to an injured back"
"TEX201208220",59,"Orioles catcher Matt Wieters left the game due to an injured shoulder"
"TEX201208230",23,"$Joe Lauer hit on the upper back; Twins Manager Ron Gardenhire visibly upset in the dugout"
"TEX201208230",26,"ej,diams001,P,bellw901,Throwing at batter ej,gardr001,M,bellw901,Throwing at batter $Scott Diamond's first pitch to Josh Hamilton was behind the batter's head; Diamond ejected by HP umpire Wally Bell; Twins Manager Ron Gardenhire ran out yelling about the way this situation was handled and was ejected by Bell"
"TEX201208280",12,"Rays right fielder Matt Joyce left the game due to an injured arm"
"TEX201209110",44,"replay,5,belta001,TEX,herna901,ARL02,O,Y,I,,H $Adrian Beltre's fly hit the top of the wall in LF, bounced off the railing above it and caromed onto the field; it was ruled in play but the Rangers asked about the call; acting crew chief Angel Hernandez watched the replay and overturned the call to a home run"
"TEX201209110",60,"$Thomas Neal called for interference"
"TEX201209120",37,"Rangers third baseman Adrian Beltre left the game due to an injured shoulder"
"TEX201209140",4,"replay,1,kinsi001,TEX,welkt901,ARL02,O,Y,I,,H $Ian Kinsler's fly ball hit the top of the wall in front of the visitor's bullpen; the ball went over the wall and caromed off a chair back onto the field; it was ruled in play and Kinsler stopped at 2B; crew chief Tim Welke watched the replay and overturned the call to a home run"
"TEX201209280",67,"Angels designated hitter Kendrys Morales left the game due to an injured chest"
"TEX201209302",20,"Angels shortstop Erick Aybar left the game due to an injured leg"
"TEX201209302",65,"Rangers third baseman Adrian Beltre left the game due to an injured shoulder"
